Product ID,UPC ID,Category,Department,Product,Price,Sale Price,Unit Price,Unit
1000373536248,5057172845682,Chilled Food,"Party Food, Pies, Salads & Dips","ASDA King Prawns in a Coconut, Chilli & Lime Flavoured Marinade",£3.30,£3.30,£2.54/100g,Each
1000364145658,5057172845316,Chilled Food,"Party Food, Pies, Salads & Dips",ASDA Spanish Inspired 4 Chicken & Chorizo Empanadas,£2.00,£2.00,£1.56/100g,Each
1000368333036,5057172845484,Chilled Food,"Party Food, Pies, Salads & Dips",ASDA Korean Inspired 4 Smoky Cheese Sticks,£2.75,£2.75,£11.46/kg,Each
1000368332999,5057172845491,Chilled Food,"Party Food, Pies, Salads & Dips",ASDA Italian Inspired 6 Four Cheese Arancini Bites with a Tomato Crumb,£2.75,£2.75,91.7p/100g,Each
1000362425346,5057172845095,Chilled Food,"Party Food, Pies, Salads & Dips",ASDA 4 Chicken Tacos,£2.50,£2.50,£2.50/100g,Each
1000362424849,5057172845149,Chilled Food,"Party Food, Pies, Salads & Dips",ASDA 6 Vegetable Tempura Nests with a Sweet Chilli Dip,£2.50,£2.50,£16.67/kg,Each
1000364145681,5057172845279,Chilled Food,"Party Food, Pies, Salads & Dips",ASDA Turkish Inspired 6 Courgette & Sweetcorn Fritters,£2.50,£2.50,£1.19/100g,Each
1000373536182,5057172845699,Chilled Food,"Party Food, Pies, Salads & Dips",ASDA King Prawns with Chorizo in a Red Pepper Marinade,£3.30,£3.30,£2.54/100g,Each
1000211864854,5057172319374,Chilled Food,"Party Food, Pies, Salads & Dips",ASDA Spanish Style Tortilla,£2.85,£2.85,57.0p/100g,Each
1000369321616,5057172845590,Chilled Food,"Party Food, Pies, Salads & Dips",ASDA Mushroom Shawarma,£2.50,£2.50,£1.92/100g,Each
1000369321672,5057172845606,Chilled Food,"Party Food, Pies, Salads & Dips",ASDA Italian Inspired Chargrilled Vegetables,£2.20,£2.20,£1.47/100g,Each
1000369321686,5057172845620,Chilled Food,"Party Food, Pies, Salads & Dips",ASDA Morrocan Inspired Three Bean Tagine,£2.20,£2.20,£1.29/100g,Each
1000362425240,5057172845101,Chilled Food,"Party Food, Pies, Salads & Dips",ASDA Chicken Gyoza,£2.50,£2.50,£20.83/kg,Each
1000362425446,5057172845125,Chilled Food,"Party Food, Pies, Salads & Dips",ASDA 6 Thai Inspired King Prawn Lollipops,£3.30,£3.30,£30.56/kg,Each
1000362425059,5057172845132,Chilled Food,"Party Food, Pies, Salads & Dips",ASDA Thai Inspired 6 Coconut King Prawns,£3.30,£3.30,£27.50/kg,Each
1000362424978,5057172845163,Chilled Food,"Party Food, Pies, Salads & Dips",ASDA Korean Inspired 4 Gochujang Chicken Skewers,£2.75,£2.75,£1.53/100g,Each
1000362425185,5057172845170,Chilled Food,"Party Food, Pies, Salads & Dips",ASDA Japanese Inspired 4 Katsu Chicken Skewers,£2.75,£2.75,£1.53/100g,Each
1000362425258,5057172845194,Chilled Food,"Party Food, Pies, Salads & Dips",ASDA Mediterranen Inspired Deli Platter,£2.50,£2.50,£1.82/100g,Each
1000374531686,5057172845200,Chilled Food,"Party Food, Pies, Salads & Dips",ASDA American Inspired Chicken Bites,£2.50,£2.50,£1.32/100g,Each
41770,23064232,"Fruit, Veg & Flowers",Vegetables & Potatoes,ASDA Grower's Selection Organic Vine Tomatoes,£1.85,£1.85,£1.85/each,Each
38007,23064171,"Fruit, Veg & Flowers",Salads & Stir Fry,ASDA Grower's Selection Organic Lettuce (Variety may vary),£1.25,£1.25,£1.25/each,Each
31786,23060005,"Fruit, Veg & Flowers",Salads & Stir Fry,ASDA Grower's Selection Organic Garlic 40mm+,£0.75,£0.75,25.0p/each,Each
833050,27330678,"Fruit, Veg & Flowers",Vegetables & Potatoes,ASDA Grower's Selection Organic Leeks,£1.90,£1.90,£4.75/kg,Each
910003101807,5054781593430,"Fruit, Veg & Flowers",Fruit,ASDA Grower's Selection Organic Raspberries,£2.15,£2.15,£17.20/kg,Each
41695,23064096,"Fruit, Veg & Flowers",Vegetables & Potatoes,ASDA Grower's Selection Seasonal Organic Cabbage (Colour and Variety may vary),£1.30,£1.30,£1.30/each,Each
1000036011452,5054781859857,"Fruit, Veg & Flowers",Vegetables & Potatoes,ASDA Grower's Selection Organic Vine Ripened Cherry Tomatoes,£1.60,£1.60,£8.00/kg,Each
1000231565879,5057172445233,"Fruit, Veg & Flowers",Fruit,ASDA Grower's Selection Organic Kiwi,£1.25,£1.25,31.2p/each,Each
34162,23037021,"Fruit, Veg & Flowers",Vegetables & Potatoes,ASDA Grower's Selection Organic Cauliflower,£1.80,£1.80,£1.80/each,Each
1000364391696,5057172818884,"Fruit, Veg & Flowers",Fruit,ASDA Sweet & Juicy Fruit Platter,£3.29,£3.29,£3.87/kg,Each
1000371302550,5057172818945,"Fruit, Veg & Flowers",Fruit,"ASDA Sweet & Juicy Apple, Strawberry, Mango and Raspberry",£2.00,£2.00,£9.52/kg,Each
1000371302560,5057172818969,"Fruit, Veg & Flowers",Fruit,ASDA Extra Special Limited Edition Hand Picked Summer Berry Selection,£3.29,£3.29,£11.75/kg,Each
2140792,5052449518429,"Fruit, Veg & Flowers",Fruit,ASDA Grower's Selection Large Mango (Typically 350g),£0.85,£0.85,85.0p/each,Each
1000375279813,5057172924363,"Fruit, Veg & Flowers",Fruit,ASDA Goji Berries,£1.25,£1.25,£1.25/100g,Each
1000336288559,5057172765539,"Fruit, Veg & Flowers",Fruit,ASDA Extra Special Ripe & Ready Giant Avocado,£2.00,£2.00,£2.00/each,Each
910003095377,5054781580805,"Fruit, Veg & Flowers",Fruit,ASDA Farm Stores Kiwis,£0.82,£0.82,13.7p/each,Each
32811,23066755,"Fruit, Veg & Flowers",Fruit,ASDA Creamy & Nutty Avocados,£1.29,£1.29,64.5p/each,Each
1000130076419,5057172125395,"Fruit, Veg & Flowers",Fruit,ASDA Farm Stores Avocados,£1.19,£1.19,29.8p/each,Each
37988,23064652,"Fruit, Veg & Flowers",Vegetables & Potatoes,ASDA Firm & Flavoursome Baby Potatoes,£0.90,£0.90,90.0p/kg,Each
1000150186056,5057172194315,"Fruit, Veg & Flowers",Vegetables & Potatoes,ASDA Extra Special British Baby Potatoes,£0.60,£0.60,£1.20/kg,Each
1000377031786,5057172877850,"Fruit, Veg & Flowers",Vegetables & Potatoes,ASDA Extra Special Jersey Royal New Potatoes,£1.50,£1.50,£2.00/kg,Each
1000377031682,5057172877874,"Fruit, Veg & Flowers",Vegetables & Potatoes,ASDA Extra Special Jersey Royal New Potatoes,£1.35,£1.35,£3.00/kg,Each
1000058298958,5054781860365,"Fruit, Veg & Flowers",Vegetables & Potatoes,ASDA Extra Special Baby Potatoes,£1.10,£1.10,£1.10/kg,Each
24335,23057142,"Fruit, Veg & Flowers",Vegetables & Potatoes,ASDA Herby Baby Potatoes with Butter,£0.90,£0.90,£2.50/kg,Each
1000371302488,5057172845477,Chilled Food,"Party Food, Pies, Salads & Dips",ASDA Spanish Inspired 4 Cheese & Ham Croquettes,£2.50,£2.50,£2.08/100g,Each
1000364145712,5057172845262,Chilled Food,"Party Food, Pies, Salads & Dips",ASDA Turkish Inspired 8 Chicken & Chorizo Koftas,£2.50,£2.50,£16.45/kg,Each
1000364145715,5057172845293,Chilled Food,"Party Food, Pies, Salads & Dips",ASDA Mexican Inspired 4 Chilli Beef Empanadas,£2.50,£2.50,£2.31/100g,Each
1000364145765,5057172845309,Chilled Food,"Party Food, Pies, Salads & Dips",ASDA Greek Inspired Spinach & Feta Parcels,£2.00,£2.00,£1.56/100g,Each
1000373536097,5057172845705,"Fruit, Veg & Flowers",Salads & Stir Fry,ASDA King Prawns with a Ginger & Chilli Marinade 130g,£3.30,£3.30,£2.54/100g,Each
1000364145708,5057172845286,Chilled Food,"Party Food, Pies, Salads & Dips",ASDA Classic 4 Coronation Chicken Parcels,£2.50,£2.50,£2.31/100g,Each
1000374282665,5057172845736,Chilled Food,"Party Food, Pies, Salads & Dips",ASDA 7 Mini Pork & Apple Sausage Rolls 168g,£2.50,£2.50,£1.49/100g,Each
1000374282595,5057172845804,Chilled Food,"Party Food, Pies, Salads & Dips",ASDA 30 Savoury Mini Eggs 360g,£2.50,£2.50,69.4p/100g,Each
910001068511,5052449923230,Chilled Food,"Party Food, Pies, Salads & Dips",ASDA Family Quiche Lorraine,£2.30,£2.30,57.5p/100g,Each
910002726285,5054781303091,Chilled Food,"Party Food, Pies, Salads & Dips",ASDA 9 Mini Pork Pies,£2.50,£2.50,0.6p/g,Each
910003043896,5054781525431,Chilled Food,"Party Food, Pies, Salads & Dips",ASDA Stuffed Peppers with Cream Cheese,£2.20,£2.20,£1.38/100g,Each
1000020585346,5054781872504,Chilled Food,"Party Food, Pies, Salads & Dips",ASDA 8 Iberico Cheese & Chorizo Rollitos,£2.20,£2.20,£2.50/100g,Each
1000374282575,5057172845781,Chilled Food,"Party Food, Pies, Salads & Dips",ASDA 8 Mini Pork & Chorizo Pies,£2.50,£2.50,£1.25/100g,Each
1000362180279,5057172845255,Chilled Food,"Party Food, Pies, Salads & Dips",ASDA Mediterranean Inspired Mini Dips 3x,£1.50,£1.50,83.3p/100g,Each
910003010781,5054781442028,Chilled Food,"Party Food, Pies, Salads & Dips",ASDA 10 Sweet Potato Falafels,£2.20,£2.20,£1.00/100g,Each
1000375030158,5057172845835,Chilled Food,"Party Food, Pies, Salads & Dips",ASDA Burger Slaw & Potato Salad 2 x 250g (500g),£2.25,£2.25,45.0p/100g,Each
910001068103,5052449923223,Chilled Food,"Party Food, Pies, Salads & Dips",ASDA Family Cheese & Onion Quiche,£2.30,£2.30,57.5p/100g,Each
910001813706,5054070683224,Chilled Food,"Party Food, Pies, Salads & Dips",ASDA Family Crustless Quiche Lorraine,£2.30,£2.30,67.7p/100g,Each
1000125109591,5057172121823,Chilled Food,"Party Food, Pies, Salads & Dips",ASDA Garlic and Herb Olives,£2.00,£2.00,£1.33/100g,Each
910002250162,5054070951675,Chilled Food,"Party Food, Pies, Salads & Dips",ASDA Egg Mayonnaise,£2.10,£2.10,51.2p/100g,Each
1000125109501,5057172103737,Chilled Food,"Party Food, Pies, Salads & Dips",ASDA Coronation Chicken,£2.10,£2.10,51.2p/100g,Each
1000125109665,5057172121816,Chilled Food,"Party Food, Pies, Salads & Dips",ASDA Soft Cheese & Herb Olives,£2.00,£2.00,£1.33/100g,Each
1000294840960,5057172567461,Chilled Food,"Party Food, Pies, Salads & Dips",ASDA Mozzarella Pearls with Pesto,£2.20,£2.20,£1.47/100g,Each
1000212268940,5057172319282,Chilled Food,"Party Food, Pies, Salads & Dips",ASDA 10 Moroccan Style Falafels,£2.20,£2.20,£1.00/100g,Each
1000125109613,5057172103782,Chilled Food,"Party Food, Pies, Salads & Dips",ASDA Rich Sun-Dried Tomatoes Antipasti,£1.75,£1.75,£1.17/100g,Each
910003043580,5054781525493,Chilled Food,"Party Food, Pies, Salads & Dips",ASDA Pimento Olives with Iberico Cheese,£2.00,£2.00,£1.25/100g,Each
910003043634,5054781525455,Chilled Food,"Party Food, Pies, Salads & Dips",ASDA Semi-Dried Tomatoes & Mozzarella,£2.00,£2.00,£1.33/100g,Each
1000212268931,5057172341191,Chilled Food,"Party Food, Pies, Salads & Dips",ASDA Tomato Basil Pasta Salad,£2.20,£2.20,44.0p/100g,Each
1000374282608,5057172845811,Chilled Food,"Party Food, Pies, Salads & Dips",ASDA Meat Free Chicken Style Bites,£2.50,£2.50,£1.74/100g,Each
1000374282684,5057172845798,Chilled Food,"Party Food, Pies, Salads & Dips",ASDA Cauliflower Cheese Quiche,£2.30,£2.30,57.5p/100g,Each
910003043686,5054781525523,Chilled Food,"Party Food, Pies, Salads & Dips",ASDA Greek Salad with Mixed Olives,£2.00,£2.00,£1.25/100g,Each
910003043679,5054781525462,Chilled Food,"Party Food, Pies, Salads & Dips",ASDA Garlic Olives,£2.00,£2.00,£1.25/100g,Each
1000114612668,5057172010554,Chilled Food,"Party Food, Pies, Salads & Dips",ASDA Smoky Paprika & Chilli Halkidiki Olives,£2.00,£2.00,£1.25/100g,Each
1000211864903,5057172319411,Chilled Food,"Party Food, Pies, Salads & Dips",ASDA Chilli Olives,£2.40,£2.40,£1.09/100g,Each
17558466,5050854287862,"Fruit, Veg & Flowers",Vegetables & Potatoes,ASDA British Fluffy & Golden Baking Potatoes,£1.35,£1.25,50.0p/kg,Each
1000364391625,5057172818891,"Fruit, Veg & Flowers",Fruit,ASDA Crisp & Fragrant Drink Infusions,£1.75,£1.75,£8.33/kg,Each
1000364391730,5057172818907,"Fruit, Veg & Flowers",Fruit,ASDA Sweet & Fruity Drink Infusions,£1.75,£1.75,£7.61/kg,Each
910001413503,5054070299173,"Fruit, Veg & Flowers",Fruit,ASDA Apple Slices & Grapes,£0.40,£0.40,£5.00/kg,Each
910000297738,5050854626494,"Fruit, Veg & Flowers",Fruit,ASDA Tropical & Sweet Mangoes (Each Mango Typically 300g),£1.60,£1.60,80.0p/each,Each
910003106330,5054781593737,"Fruit, Veg & Flowers",Fruit,ASDA Extra Special 4 Hand Picked Golden Kiwi,£2.00,£2.00,50.0p/each,Each
910000931586,5052449734355,"Fruit, Veg & Flowers",Fruit,ASDA Grower's Selection Pomegranate Seeds,£1.00,£1.00,£12.50/kg,Each
910000357365,5052449024913,"Fruit, Veg & Flowers",Fruit,ASDA Grower's Selection Mango Fingers,£1.40,£1.40,£10.00/kg,Each
2141895,27618868,"Fruit, Veg & Flowers",Fruit,ASDA Soft & Sweet Kiwi Fruit,£1.50,£1.50,37.5p/each,Each
32834,27430392,"Fruit, Veg & Flowers",Fruit,ASDA Delicate & Smooth Papaya (Typically 250g),£1.75,£1.75,£1.75/each,Each
910002857440,5054781315995,"Fruit, Veg & Flowers",Fruit,ASDA Grower's Selection Mango Chunks,£2.20,£2.20,£8.00/kg,Each
910001511842,5051413595992,"Fruit, Veg & Flowers",Fruit,ASDA Sharp & Sweet Passion Fruit,£1.20,£1.20,40.0p/each,Each
910003101308,5054781593683,"Fruit, Veg & Flowers",Fruit,ASDA Large Avocado,£0.95,£0.95,95.0p/each,Each
24932,23013575,"Fruit, Veg & Flowers",Vegetables & Potatoes,ASDA British Fluffy & Golden Large Baking Potatoes,£0.45,£0.45,11.2p/each,Each
910000338845,5051413651919,"Fruit, Veg & Flowers",Vegetables & Potatoes,ASDA Extra Special Marabel Baking Potatoes,£1.25,£1.25,31.2p/each,Each
1000328867938,5057172765348,"Fruit, Veg & Flowers",Vegetables & Potatoes,ASDA Garlic Butter Mini Jacket Potatoes,£1.35,£1.35,£3.91/kg,Each
9999999111883,,Dropped & Locked,View All Dropped & Locked,Chicken & Mixed Vegetable Hot Pot Bundle,£7.95,£7.95,,
910001413502,5054070299166,"Fruit, Veg & Flowers",Fruit,ASDA Apple Slices,£0.40,£0.40,£5.00/kg,Each
910003003923,5054781443629,"Fruit, Veg & Flowers",Fruit,"ASDA Strawberry, Apple & Grapes",£1.00,£1.00,£7.69/kg,Each
910001290204,5050854807206,"Fruit, Veg & Flowers",Fruit,ASDA Grower's Selection Pomegranate,£1.00,£1.00,£1.00/each,Each
1069617,5051413764336,"Fruit, Veg & Flowers",Fruit,ASDA Grower's Selection Physalis,£0.79,£0.79,£7.90/kg,Each
30694,7313,"Fruit, Veg & Flowers",Fruit,ASDA Refreshing & Crunchy Coconut,£0.75,£0.75,75.0p/each,Each
1000009535950,5054781796879,"Fruit, Veg & Flowers",Fruit,ASDA Pomegranate Seeds,£1.75,£1.75,£8.75/kg,Each
910001461718,5054070412770,"Fruit, Veg & Flowers",Fruit,ASDA Grower's Selection Figs,£2.00,£2.00,£14.29/kg,Each
910001117787,5011773052412,Home & Entertainment,Kitchen,Breville Blend Active Blender,£25.00,£25.00,£25.00/each,Each
910002501722,5054781129578,"Fruit, Veg & Flowers",Fruit,ASDA Grower's Selection Sharon Fruit,£1.20,£1.20,40.0p/each,Each
1000232167452,5022014310109,Home & Entertainment,Kitchen,Scoville Neverstick Medium Roaster,£10.00,£10.00,£10.00/each,Each
910001413504,5054070299180,"Fruit, Veg & Flowers",Fruit,ASDA Grapes,£0.40,£0.40,£5.00/kg,Each
910000426024,5052449215045,"Fruit, Veg & Flowers",Fruit,ASDA Apple Grapes & Cheese,£1.40,£1.40,£9.33/kg,Each
1000054991360,5054781744856,"Fruit, Veg & Flowers",Fruit,ASDA Berry Medley,£2.00,£2.00,£9.09/kg,Each
1000207494944,5057172285778,"Fruit, Veg & Flowers",Fruit,ASDA Coconut Chunks,£1.00,£1.00,£12.50/kg,Each
1000260439570,5057172521098,"Fruit, Veg & Flowers",Fruit,ASDA Fruit Salad,£2.00,£2.00,40.0p/100g,Each
1000204585074,5057172285747,"Fruit, Veg & Flowers",Fruit,ASDA Sweet & Juicy Seedless Mixed Grapes (Colours may vary),£1.30,£1.30,£3.25/kg,Each
1000371302528,5057172818983,"Fruit, Veg & Flowers",Fruit,ASDA Extra Special Snowball Melon & Black Sable Grape,£2.50,£2.50,£8.33/kg,Each
1000076345132,5057172013937,"Fruit, Veg & Flowers",Fruit,ASDA Refreshing & Sweet Seedless Red Grapes ,£1.20,£1.20,£3.00/kg,Each
1000076345235,5057172013944,"Fruit, Veg & Flowers",Fruit,ASDA Crisp & Juicy Seedless Green Grapes,£1.20,£1.20,£3.00/kg,Each
1000076345176,5057172013951,"Fruit, Veg & Flowers",Fruit,ASDA Sweet & Crisp Seedless Black Grapes,£1.20,£1.20,£3.00/kg,Each
1000300721143,5057172689231,"Fruit, Veg & Flowers",Fruit,ASDA Farm Stores Seedless Grapes,£1.27,£1.27,£2.54/kg,Each
1000303807011,5057172688333,"Fruit, Veg & Flowers",Fruit,ASDA Extra Special Season's Best Grapes,£2.50,£2.50,£6.25/kg,Each
910003095036,5054781580812,"Fruit, Veg & Flowers",Fruit,ASDA Farm Stores Apples (Colour and Variety may vary),£0.72,£0.65,£1.30/kg,Each
910002849510,5054781401285,"Fruit, Veg & Flowers",Fruit,ASDA Royal Gala Apples,£1.50,£1.50,25.0p/each,Each
1000308693040,5057172689620,"Fruit, Veg & Flowers",Fruit,Pink Lady Apples,£2.50,£2.50,41.7p/each,Each
910002849529,5054781401186,"Fruit, Veg & Flowers",Fruit,ASDA Soft & Sweet Golden Delicious Apples,£1.50,£1.50,25.0p/each,Each
910003070232,5054781556879,"Fruit, Veg & Flowers",Fruit,ASDA Tangy & Crisp Jazz Apples,£2.00,£2.00,50.0p/each,Each
