Product ID,Barcode,Category,Sub Category,Product,Price,Base Price,Promotion,Offer ends,RRP,POR,VAT,Pack Size
971663,07613035910522,Confectionery,Confectionery Take Home,Nestle Smarties Hanging Bag Pm £1 87g,£ 7.69,,,,£ 1,23.1,20.00,1 x 12
114346,05000159533034,Confectionery,Confectionery Single Serve,Galaxy Smooth Orange Pm £1.00 110g,£ 15.99,,,,£ 1,20.1,20.00,1 x 24
116714,15059630001750,Confectionery,Confectionery Single Serve,Go Local Wine Gums Pm £1 150g,£ 4.59,£ 4.99,SAVE 0.4,2022/04/24,£ 1,44.9,20.00,1 x 10
151132,5014594102038,Confectionery,Mouthrefreshing  / Medicated,Uncle Joes Mint Balls Large Jar 1.4kg,£ 9.69,,,,£ 1.05,20.9,20.00,1 x 14
113763,05000281035307,Spirits,Rum,Captain Morgan Original Spiced Gold Rum 1ltr,£ 94.99,,,,£ 23.99,20.8,20.00,6 x 1
113763,05000281035307,Spirits,Rum,Captain Morgan Original Spiced Gold Rum 1ltr,£ 15.99,,,,£ 23.99,20,20.00,1 x 1
114474,05000281060958,Spirits,Rum,Captain Morgan Tiki 70cl,£ 68.49,,,,£ 17.49,21.7,20.00,6 x 1
114474,05000281060958,Spirits,Rum,Captain Morgan Tiki 70cl,£ 11.49,,,,£ 17.49,21.2,20.00,1 x 1
115559,08003405180072,Spirits,Vodka,Roberto Cavalli Mango Vodka 1l,£ 79.99,£ 149.49,SAVE 69.5,2022/04/22,£ 39.99,60,20.00,6 x 1
115559,08003405180072,Spirits,Vodka,Roberto Cavalli Mango Vodka 1l,£ 24.99,£ 24.99,SAVE 0.0,2022/04/22,£ 39.99,25,20.00,1 x 1
541040,05013668007750,Spirits,Gin,Prince Consort Gin 20cl,£ 18.49,,,,£ 4.79,22.8,20.00,6 x 1
541040,05013668007750,Spirits,Gin,Prince Consort Gin 20cl,£ 3.29,,,,£ 4.79,17.6,20.00,1 x 1
541040,05013668007750,Spirits,Gin,Prince Consort Gin 20cl,£ 147.49,,,,£ 4.79,23,20.00,48 x 1
956354,05021932010832,Spirits,Low Strength,V-kat Schnapps 1ltr,£ 35.99,£ 37.49,SAVE 1.5,2022/04/23,£ 9.49,24.2,20.00,6 x 1
956354,05021932010832,Spirits,Low Strength,V-kat Schnapps 1ltr,£ 6.29,£ 6.29,SAVE 0.0,2022/04/23,£ 9.49,20.5,20.00,1 x 1
104278,05024993859297,Spirits,Alcholic-Ready-To- Drinks,Wkd Iron Brew 10 Pack 275ml,£ 8.49,,,,£ 12.49,18.4,20.00,1 x 1
116401,7610113017180,Spirits,Rum,Bacardi Spiced Rum Pm £14.49 70cl,£ 60.99,,,,£ 14.49,15.8,20.00,6 x 1
116401,7610113017180,Spirits,Rum,Bacardi Spiced Rum Pm £14.49 70cl,£ 10.29,,,,£ 14.49,14.8,20.00,1 x 1
267663,4016683023027,Spirits,Shots,Cool Shots Vodka Carousel 20ml,£ 27.79,,,,£ 1,45.3,20.00,1 x 61
271655,0503267007345,Spirits,Alcholic-Ready-To- Drinks,Vk Blue 4 Pack Pm £4.49 275ml,£ 16.99,,,,£ 4.49,24.3,20.00,1 x 6
273055,05000289932257,Spirits,Gin,Gordons Sicilian Lemon 70cl,£ 74.49,,,,£ 17.99,17.2,20.00,6 x 1
273055,05000289932257,Spirits,Gin,Gordons Sicilian Lemon 70cl,£ 12.49,,,,£ 17.99,16.7,20.00,1 x 1
988545,05410316982498,Spirits,Vodka,Smirnoff Raspberry Vodka 70cl,£ 79.99,,,,£ 19.19,16.6,20.00,6 x 1
988545,05410316982498,Spirits,Vodka,Smirnoff Raspberry Vodka 70cl,£ 13.49,,,,£ 19.19,15.6,20.00,1 x 1
993827,14620006995280,Spirits,Vodka,Green Mark Vodka 1ltr,£ 81.99,,,,£ 19.99,18,20.00,6 x 1
993827,14620006995280,Spirits,Vodka,Green Mark Vodka 1ltr,£ 13.79,,,,£ 19.99,17.2,20.00,1 x 1
100959,05018970007931,Wine,Wine,Three Mills Reserve White 75cl,£ 18.49,,,,£ 4.79,22.8,20.00,6 x 1
100959,05018970007931,Wine,Wine,Three Mills Reserve White 75cl,£ 3.29,,,,£ 4.79,17.6,20.00,1 x 1
104170,28410302022024,Wine,Wine,Campo Viejo Tempranillo 187ml,£ 21.49,,,,£ 2.99,28.1,20.00,1 x 12
148817,08410302622855,Wine,Wine,Campo Viejo Garnacha 75cl,£ 40.99,,,,£ 10.99,25.4,20.00,6 x 1
148817,08410302622855,Wine,Wine,Campo Viejo Garnacha 75cl,£ 6.99,,,,£ 10.99,23.7,20.00,1 x 1
717825,05010057004130,Wine,Fortified,Qc Medium Dry Fortified Wine 1ltr,£ 31.49,,,,£ 8.49,25.8,20.00,6 x 1
717825,05010057004130,Wine,Fortified,Qc Medium Dry Fortified Wine 1ltr,£ 5.39,,,,£ 8.49,23.8,20.00,1 x 1
729635,05010186111921,Wine,Wine,Hardys Stamp Cabernet Merlot 75cl,£ 28.49,,,,£ 7.49,23.9,20.00,6 x 1
729635,05010186111921,Wine,Wine,Hardys Stamp Cabernet Merlot 75cl,£ 4.89,,,,£ 7.49,21.7,20.00,1 x 1
880873,25601012001253,Wine,Wine,Mateus Rose 250ml,£ 6.89,,,,£ 2.79,25.9,20.00,4 x 1
880873,25601012001253,Wine,Wine,Mateus Rose 250ml,£ 1.79,,,,£ 2.79,23,20.00,1 x 1
880873,25601012001253,Wine,Wine,Mateus Rose 250ml,£ 40.99,,,,£ 2.79,26.5,20.00,24 x 1
114450,05011166049265,Wine,Perry,Lambrini Rhubarb & Ginger 75cl,£ 6.99,£ 12.49,SAVE 5.5,2040/12/31,£ 2.25,37.9,20.00,1 x 6
144909,09312088002151,Wine,Wine,Wolf Blass Eaglehawk Shiraz 75cl,£ 27.99,,,,£ 7.49,25.3,20.00,6 x 1
144909,09312088002151,Wine,Wine,Wolf Blass Eaglehawk Shiraz 75cl,£ 4.79,,,,£ 7.49,23.3,20.00,1 x 1
145548,05013626000519,Wine,Fortified,Taylors Lbv Port 75cl,£ 52.99,,,,£ 13.99,24.2,20.00,6 x 1
145548,05013626000519,Wine,Fortified,Taylors Lbv Port 75cl,£ 8.89,,,,£ 13.99,23.7,20.00,1 x 1
155158,05010186107467,Wine,Wine,Jack Rabbit White Zinfandel 75cl,£ 26.99,,,,£ 0,,20.00,6 x 1
155158,05010186107467,Wine,Wine,Jack Rabbit White Zinfandel 75cl,£ 4.69,,,,£ 0,,20.00,1 x 1
155161,05010186112119,Wine,Wine,Jack Rabbit Sauvignon Blanc 75cl,£ 26.99,,,,£ 0,,20.00,6 x 1
155161,05010186112119,Wine,Wine,Jack Rabbit Sauvignon Blanc 75cl,£ 4.69,,,,£ 0,,20.00,1 x 1
272088,05011932011533,Wine,Wine,Carta Roja Crianza 75cl,£ 24.49,,,,£ 6.49,24.5,20.00,6 x 1
272088,05011932011533,Wine,Wine,Carta Roja Crianza 75cl,£ 4.19,,,,£ 6.49,22.5,20.00,1 x 1
629591,05000117900854,Retail Grocery,Table Top Sauces / Condiments / Pickles,Sarsons Glass Table Bottle Brown Malt 250ml,£ 8.99,,,,£ 1.15,34.9,0.00,1 x 12
974123,15010477353303,Retail Grocery,Breakfast Cereals,Jordans Country Crisp Chunky Nuts Pm2.69 400g,£ 10.99,,,,£ 2.69,31.9,0.00,1 x 6
985676,05000117912321,Retail Grocery,Savoury Ingredients,Bisto Curry Sauce 185g,£ 6.49,£ 8.19,SAVE 1.7,2022/04/23,£ 1.99,45.6,0.00,1 x 6
23164,05015612402024,Retail Grocery,Table Top Sauces / Condiments / Pickles,Blue Dragon Sweet Chilli Hot Sauce 190ml,£ 6.69,,,,£ 1.59,29.9,0.00,6 x 1
23164,05015612402024,Retail Grocery,Table Top Sauces / Condiments / Pickles,Blue Dragon Sweet Chilli Hot Sauce 190ml,£ 1.15,,,,£ 1.59,27.7,0.00,1 x 1
36025,05000385016042,Retail Grocery,Savoury Ingredients,Millstone Bicarbonate Of Soda 100g,£ 1.79,,,,£ 0.59,49.4,0.00,1 x 6
56427,05011308039703,Retail Grocery,Cooking Sauce / Paste / Accessories,Pataks Pappadums Original 10's,£ 14.99,,,,£ 1.69,26.1,0.00,12 x 1
56427,05011308039703,Retail Grocery,Cooking Sauce / Paste / Accessories,Pataks Pappadums Original 10's,£ 1.29,,,,£ 1.69,23.7,0.00,1 x 1
106844,05000117403492,Retail Grocery,Soups,Batchelors Cup A Soup Beef & Tomato 4pk 88g,£ 10.49,,,,£ 1.59,26.7,0.00,1 x 9
110590,36003770000190,Retail Grocery,Table Top Sauces / Condiments / Pickles,Nandos Garlic Peri Peri Sauce 125ml,£ 8.79,,,,£ 2.25,34.9,0.00,1 x 6
113158,05056036506486,Retail Grocery,Baking Ingredients,Borwicks Dried Yeast 30gm,£ 4.15,,,,£ 1,30.8,0.00,1 x 6
115815,05059321004308,Retail Grocery,Biscuits,Rice Krispie Squares Chocolate Caramel Pm £1.99 4x36g,£ 12.89,,,,£ 1.99,29.3,20.00,1 x 11
115547,05010029227352,Retail Grocery,Breakfast Cereals,Weetabix Weetos Pm £2.69 350g,£ 15.59,,,,£ 2.69,27.6,0.00,1 x 8
115997,04017100025730,Retail Grocery,Biscuits,Bahlsen Pick Up Singles 28g,£ 5.29,,,,£ 0.4,44.9,0.00,1 x 24
272923,15056079900811,Soft Drinks,Soft Drinks Single Serve,Boost Coffee Double Shot Espresso £1 250ml,£ 6.19,£ 7.15,SAVE 1.0,2022/04/24,£ 1,48.4,0.00,1 x 12
116992,05000177497424,Soft Drinks,Soft Drinks Single Serve,Emerge Sport Isotonic Tropical Berry Pm 59p 500ml,£ 3.99,,,,£ 0.59,32.4,20.00,1 x 12
117208,04060800306661,Soft Drinks,Soft Drinks Single Serve,Pepsi Diet 6 Pack £3.19 330ml,£ 8.25,,,,£ 3.19,22.4,20.00,1 x 4
272733,3057640535123,Soft Drinks,Soft Drinks Take Home,Volvic Touch Of Fruit Mango Passionfruit S/f 75cl,£ 3.99,£ 4.39,SAVE 0.4,2022/04/23,£ 1.3,38.6,20.00,1 x 6
997800,15056079900538,Soft Drinks,Soft Drinks Single Serve,Boost Energy Exotic Fruit Can Pm 59p 250ml,£ 5.69,,,,£ 0.59,51.8,20.00,1 x 24
151265,05000232018724,Soft Drinks,Soft Drinks Take Home,Princes Orange Juice 1ltr,£ 6.99,,,,£ 1.39,24.6,20.00,1 x 8
270541,05010102230347,Soft Drinks,Soft Drinks Single Serve,Tango S/f Strawberry/watermelon Pm 59p Or 2 For £1 330ml,£ 6.85,,,,£ 0.59,41.9,20.00,1 x 24
988900,05010663815731,Soft Drinks,Soft Drinks Single Serve,Just Juice Orange Pm£1.19 500ml,£ 3.99,,,,£ 1.19,32.9,20.00,1 x 6
115336,06009694631051,Soft Drinks,Soft Drinks Single Serve,Dragon Energy Red 89p 500ml,£ 3.55,£ 4.99,SAVE 1.4,2022/04/24,£ 0.89,60.1,20.00,1 x 12
115966,05010102233683,Soft Drinks,Soft Drinks Take Home,Robinsons Creations Blackberry & Blueberr Pm £1.99 1ltr,£ 6.49,£ 6.59,SAVE 0.1,2022/04/23,£ 1.99,34.8,20.00,1 x 6
117324,05000112658170,Soft Drinks,Soft Drinks Single Serve,Lilt Pm£1.15 500ml,£ 7.69,,,,£ 1.15,33.1,20.00,1 x 12
997598,09002490247089,Soft Drinks,Soft Drinks Single Serve,Red Bull Tropical Pm £1.35 250ml,£ 8.15,£ 8.99,SAVE 0.8,2022/04/24,£ 1.35,39.6,20.00,1 x 12
116407,05039378004087,Crisps & Snacks,Single Serve Snacks,Mackie's Boxing Day Curry Crisps 150g,£ 8.75,,,,£ 1.75,50,20.00,1 x 12
116554,05000328375380,Crisps & Snacks,Multipacks,Walkers Cheese & Onion Multipack 6pk 6pk,£ 40.25,,,,£ 2.35,31.5,20.00,1 x 30
116599,5000328312484,Crisps & Snacks,Crisps,210smiths Frazzels Bacon Multipack Crisps 6pk 18g,£ 17.49,,,,£ 1.01,20.1,20.00,1 x 26
116657,,Crisps & Snacks,Crisps,Mackie's Ridged Sweet Chilli 40g,£ 6.59,,,,£ 0.41,19.6,20.00,1 x 24
116658,05039378003172,Crisps & Snacks,Crisps,Mackie's Ridged Paprika 150g,£ 8.49,,,,£ 1.59,19.9,20.00,1 x 8
116661,,Crisps & Snacks,Crisps,Mackie's Ridged Prawn Cocktail 150g,£ 8.49,,,,£ 1.59,19.9,20.00,1 x 8
116662,,Crisps & Snacks,Crisps,Taylors Welsh Sea Salt 40g,£ 10.99,,,,£ 0.69,20.4,20.00,1 x 24
116663,,Crisps & Snacks,Crisps,Taylors Sea Salt & Vinegar 40g,£ 10.99,,,,£ 0.69,20.4,20.00,1 x 24
116664,05039378000775,Crisps & Snacks,Crisps,Taylors Chedder & Onion 40g,£ 10.99,,,,£ 0.69,20.4,20.00,1 x 24
116665,05039378000904,Crisps & Snacks,Crisps,Taylors Crispy Bacon 40g,£ 10.99,,,,£ 0.69,20.4,20.00,1 x 24
116666,05039378000768,Crisps & Snacks,Crisps,Taylors Beef & Horseradish 40g,£ 10.99,,,,£ 0.69,20.4,20.00,1 x 24
116667,05039378000751,Crisps & Snacks,Crisps,Taylors Lamb & Mint 40g,£ 10.99,,,,£ 0.69,20.4,20.00,1 x 24
836595,05055028331341,Health & Beauty,Toiletries,Enliven Coco & Vanilla Conditioner 400ml,£ 3.79,,,,£ 1,24.2,20.00,1 x 6
952159,752754011794,Health & Beauty,Skin Care,Supermax Mens Kelly Pack ,£ 4.29,,,,£ 1.19,27.9,20.00,1 x 6
980979,05012008561310,Health & Beauty,Soaps & Sundries,Cuticura Original Crisp & Fresh Anti Bac Hand Gel 100ml,£ 6.89,,,,£ 1.99,30.8,20.00,1 x 6
99606,05029054536018,Health & Beauty,Fem Care,Kotex Pant-liners 35's,£ 9.29,,,,£ 1.15,32.7,0.00,1 x 12
103730,05055028320215,Health & Beauty,Soaps & Sundries,Enliven Luxury Refreshing Hand Wash 500ml,£ 2.19,,,,£ 1.19,26.4,20.00,1 x 3
107107,05000158420656,Health & Beauty,Medicines,Lemsip Max Cold & Flu Lemon Sachets 10's,£ 10.99,,,,£ 4.29,23.1,20.00,1 x 4
109850,5031413904321,Health & Beauty,Fem Care,Pretty Intimate Ultra Plus Super Wing Towels 8's,£ 5.99,,,,£ 1,50.1,0.00,1 x 12
114989,04005805318271,Health & Beauty,Skin Care,Nivea Biodegradable Wipes Dry 40's,£ 9.49,,,,£ 3.99,28.6,20.00,4 x 1
114989,04005805318271,Health & Beauty,Skin Care,Nivea Biodegradable Wipes Dry 40's,£ 2.39,,,,£ 3.99,28.1,20.00,1 x 1
155949,5013405651598,Health & Beauty,Shaving,Super Max X 4 Him 2's,£ 4.79,,,,£ 1.29,25.7,20.00,1 x 6
269302,05017353111425,Health & Beauty,Medicines,Galpharm Day & Night Max Cold Flu Relif Capsules 16's,£ 7.19,,,,£ 1.49,42.1,20.00,1 x 10
109721,05010622017985,Health & Beauty,Toiletries,Oral B Satin Tape 25m,£ 10.49,,,,£ 1.39,24.5,20.00,1 x 12
109734,5013405440017,Health & Beauty,,Supermax 5 Piece Manicure Set ,£ 7.99,,,,£ 1.19,32.9,20.00,12 x 1
109734,5013405440017,Health & Beauty,,Supermax 5 Piece Manicure Set ,£ 0.69,,,,£ 1.19,30.4,20.00,1 x 1
153272,,Fresh & Chilled / Bread & Cakes,Bread And Cakes,Tasty Bake Genoa Cake ,£ 0.89,,,,£ 1.19,25.2,0.00,1 x 1
272010,9417986934488,Fresh & Chilled / Bread & Cakes,Bread And Cakes,Auntys Ginger Syrup Pudding 2x95g,£ 1.19,,,,£ 1.49,20.1,0.00,1 x 1
797182,5000221001119,Fresh & Chilled / Bread & Cakes,Bread And Cakes,Mr Kipling French Fancies 8's,£ 1.79,,,,£ 2.39,25.1,0.00,1 x 1
797225,5000221001201,Fresh & Chilled / Bread & Cakes,Bread And Cakes,Mr Kipling Manor House ,£ 1.69,,,,£ 2.29,26.2,0.00,1 x 1
797522,5010044001234,Fresh & Chilled / Bread & Cakes,Bread And Cakes,Warburton Medium White Sliced 400g,£ 0.85,,,,£ 1.19,28.6,0.00,1 x 1
797544,5010044000312,Fresh & Chilled / Bread & Cakes,Bread And Cakes,Warburton Milk Roll 400g,£ 0.95,,,,£ 1.29,26.4,0.00,1 x 1
963909,05410438037823,Fresh & Chilled / Bread & Cakes,Milks & Creams,Yazoo Chocolate Pm £1.00 400ml,£ 5.99,,,,£ 1,40.1,0.00,1 x 10
672717,05000168106236,Fresh & Chilled / Bread & Cakes,Bread And Cakes,Mcvities Milky Way Cake Bar 5's,£ 13.55,,,,£ 1.49,24.2,0.00,12 x 1
672717,05000168106236,Fresh & Chilled / Bread & Cakes,Bread And Cakes,Mcvities Milky Way Cake Bar 5's,£ 1.15,,,,£ 1.49,22.8,0.00,1 x 1
987297,5000221604150,Fresh & Chilled / Bread & Cakes,Bread And Cakes,Mr Kipling Hot Cross Slice 6's,£ 0.9,£ 0.95,SAVE 0.0,2022/04/23,£ 1.29,30.2,0.00,1 x 1
997608,8410087800011,Fresh & Chilled / Bread & Cakes,Bread And Cakes,Dulcesol Farmhouse Loaf 500g,£ 1.39,,,,£ 1.79,22.3,0.00,1 x 1
103285,5000221502654,Fresh & Chilled / Bread & Cakes,Bread And Cakes,Mr Kipling Trifle Bakewells 6's,£ 1.55,,,,£ 2.09,25.8,0.00,1 x 1
115376,5098715005392,Fresh & Chilled / Bread & Cakes,Bread And Cakes,Coolmore Lemon & Elderflower ,£ 1.79,,,,£ 2.25,20.4,0.00,1 x 1
962993,5021419114527,Non Foods,Stationery,Powell No Smoking Self Adhesive Nss75,£ 1.19,,,,£ 2.04,30,20.00,1 x 1
969640,05012594442307,Non Foods,DIY,3 In 1 Flexi Can Oil 100ml,£ 1.39,,,,£ 2.19,23.8,20.00,1 x 1
985613,5022822195622,Non Foods,Electrical & Batteries,Status 2 X Usb Car Charger 2.4ma 34g,£ 2.79,,,,£ 4.99,32.9,20.00,1 x 1
986817,5060082931994,Non Foods,Stationery,U Dinner Money Envelopes 70pk,£ 5.99,,,,£ 1,40.1,20.00,1 x 12
986834,5060082931154,Non Foods,Stationery,U Address Labels On Roll 150,£ 5.99,,,,£ 1,40.1,20.00,1 x 12
992657,05022822206724,Non Foods,Electrical & Batteries,Status 1 Usb Mixed Colour Powerbank ,£ 13.99,,,,£ 2.19,36.1,20.00,12 x 1
992657,05022822206724,Non Foods,Electrical & Batteries,Status 1 Usb Mixed Colour Powerbank ,£ 1.29,,,,£ 2.19,29.3,20.00,1 x 1
995146,5020133131230,Non Foods,Seasonal,Rjm Mens Thinsulate Ski Glove Gl123,£ 2.79,,,,£ 0,,20.00,1 x 1
998845,5022822216600,Non Foods,Electrical & Batteries,Status 12w Led Gls Bc Pearl 1055 Lumens 1pk,£ 1.59,,,,£ 2.99,36.2,20.00,1 x 1
999682,5060135050009,Non Foods,,Clinova Covaflu Face Mask ,£ 15.99,£ 18.99,SAVE 3.0,2040/12/31,£ 2.99,35.8,20.00,1 x 10
999807,,Non Foods,,Covid - 19 Floor Vinyl 400mm,£ 0.75,£ 2.49,SAVE 1.7,2040/12/31,£ 0,,20.00,1 x 1
116330,05024004917404,Non Foods,Seasonal,Christmas Diy Ornament ,£ 15.99,,,,£ 1.29,38,20.00,24 x 1
116330,05024004917404,Non Foods,Seasonal,Christmas Diy Ornament ,£ 0.69,,,,£ 1.29,35.8,20.00,1 x 1
116331,5012128554230,Non Foods,Seasonal,Christmas Colour Book ,£ 15.99,,,,£ 1.29,48.4,0.00,24 x 1
116331,5012128554230,Non Foods,Seasonal,Christmas Colour Book ,£ 0.69,,,,£ 1.29,46.5,0.00,1 x 1
628660,30054288,Cigarettes & Tobacco,Smoking Requisites,Zig Zag Slim Blue Papers King Size ,£ 7.85,£ 9.85,SAVE 2.0,2040/12/31,£ 0.29,35,20.00,1 x 50
628857,30051430,Cigarettes & Tobacco,Smoking Requisites,Zig Zag Liquorice  Regular Papers ,£ 9.89,,,,£ 0.39,39.1,20.00,1 x 50
629261,3057069006129,Cigarettes & Tobacco,Smoking Requisites,Zig Zag Rolling Machine ,£ 9.89,,,,£ 1.83,46,20.00,1 x 12
719643,5000435002360,Cigarettes & Tobacco,Cigars,Castella Classic  10's,£ 54.19,,,,£ 15.1,13.9,20.00,1 x 5
740892,5010891041261,Cigarettes & Tobacco,Smoking Requisites,Rizla Regular Rolling Machine ,£ 13.5,,,,£ 2.29,29.3,20.00,1 x 10
825023,01050004350129,Cigarettes & Tobacco,Cigarettes,Woodbine Virginia Blend 20's,£ 109.46,,,,£ 14.05,6.5,20.00,2 x 5
825023,01050004350129,Cigarettes & Tobacco,Cigarettes,Woodbine Virginia Blend 20's,£ 55.28,,,,£ 14.05,5.6,20.00,1 x 5
960445,5000143825145,Cigarettes & Tobacco,E-Cigs & Liquids,Logic Pro Tobacco Capsules 18mg,£ 14.99,,,,£ 4.5,33.4,20.00,1 x 6
976650,716165179696,Cigarettes & Tobacco,Smoking Requisites,Raw 12ins Papers ,£ 15.99,£ 19.25,SAVE 3.3,2040/12/31,£ 1.19,19.4,20.00,1 x 20
978287,4030700115410,Cigarettes & Tobacco,Smoking Requisites,Rizla Ultra Slim Menthol Filters ,£ 5.86,,,,£ 0.79,55.5,20.00,1 x 20
984820,05055521149450,Cigarettes & Tobacco,E-Cigs & Liquids,Edge Replacement Coils 2 Pack,£ 14.49,,,,£ 6,42,20.00,1 x 5
