Category,Product Code,EAN Code,Product Name,Product Size,RRP,Price,VAT,Stock Service,Brand,Description,On Promo
"Household, Cleaning & Pet Care",763445,5010394003780	,PEDIGREE JUMBONE CHICK&LAMB,12 x 180grm,£1.49,£10.59,20.0%,In Stock,Mars Pet Care UK Ltd,Pedigree Jumbone Adult Medium Dog Treat Chicken & Lamb 2 Chews 180g,No
"Household, Cleaning & Pet Care",688256,8710447398166	,COMFORT SUNSHINE DAYS 36WASH,6X1.2LTR,£2.69,£9.99,20.0%,In Stock,Unilever Ireland Homecare,Comfort Sunshiny Days Fabric Conditioner 36 Wash 1.26  l,No
"Household, Cleaning & Pet Care",550100,7322540092950	,VELVET WHITE,5X9PK,£5.29,£16.29,20.0%,In Stock,Velvet,Velvet Comfort 9 Toilet Rolls,No
"Household, Cleaning & Pet Care",441193,5010708006148	,CAT CLUB CIJ VARIETY 6P,4 x 400grm,£5.39,£12.99,20.0%,In Stock,Cat Club,Find us on: facebook/catclubcatfood,No
"Household, Cleaning & Pet Care",915679,8445290076496	,FELIX AGAIL TUNA 3F1.29,20 x 100grm,£0.43,£5.49,20.0%,In Stock,Nestle Purina UK Commerical Op,www.catslikefelix.co.uk,No
"Household, Cleaning & Pet Care",441192,5010708006155	,CAT CLUB CIG VARIETY 6PK,4 x 400grm,£5.39,£12.99,20.0%,In Stock,Cat Club,Find us on: facebook/catclubcatfood,No
"Household, Cleaning & Pet Care",915678,8445290076472	,FELIX AGAIL CHICK 3F1.29,20 x 100grm,£0.43,£5.49,20.0%,In Stock,Nestle Purina UK Commerical Op,Felix As Good As It Looks with Chicken in Jelly 100g,No
"Household, Cleaning & Pet Care",915672,8445290076274	,FELIX AGAIL FAVOURITES 4.49 12PK,4 x 100grm,£4.49,£10.99,20.0%,In Stock,Nestle Purina UK Commerical Op,"To find out more about Felix, play games, join promotions and much more go to: www.catsfelix.co.uk",No
"Household, Cleaning & Pet Care",915671,8445290076243	,FELIX AGAIL OCEAN 4.49,4 x 100grm,£4.49,£10.99,20.0%,In Stock,Nestle Purina UK Commerical Op,"To find out more about Felix play games, join promotions and much more go to: www.catslikefelix.co.uk",No
"Household, Cleaning & Pet Care",915645,8445290023193	,GOURMET PERLE SALMON 2F1.00,26X85GRM,£0.50,£8.39,20.0%,In Stock,Nestle Purina UK Commerical Op,Gourmet Perle Cat Food Duo with Salmon & Saithe 85g,No
"Household, Cleaning & Pet Care",409066,8711600339743	,COMFORT BLUE 1.99,8 x 750mls,£1.99,£7.29,20.0%,In Stock,Comfort,Comfort  Blue skies Fabric Conditioner 21 Wash 750ml,No
"Household, Cleaning & Pet Care",916583,5000101506512	,MORNING FRESH APPLE 50%,6X675MLS,£1.19,£4.29,20.0%,In Stock,Johnson Brothers,NA,No
"Household, Cleaning & Pet Care",915643,7613035550001	,GOURMET PERLE BEEF 2F1.00,26X85GRM,£0.50,£8.39,20.0%,In Stock,Nestle Purina UK Commerical Op,Gourmet Perle Mini Fillets in Gravy with Beef 85g,No
"Household, Cleaning & Pet Care",673711,5000101988790	,MORNING FRESH ORIGINAL+50%,6X675MLS,£1.19,£4.29,20.0%,In Stock,Johnson Brothers,Cussons Morning Fresh Original Fresh Dishwashing Liquid 675ml,No
"Household, Cleaning & Pet Care",680011,5000101989421	,MORNING FRESH LEMON+50%,6X675MLS,£1.19,£4.29,20.0%,In Stock,Cussons,Cussons Morning Fresh Lemon Fresh Dishwashing Liquid 675ml,No
