Category,Product Code,EAN Code,Product Name,Product Size,RRP,Price,VAT,Stock Service,Brand,Description,On Promo
"Confectionery, Crisps & Snacks",776207,5012159037511	,TAYTO ROLLERS 8PK,12 x 8pk,£1.25,£10.59,20.0%,In Stock,Tayto Group Ltd,NA,No
"Confectionery, Crisps & Snacks",503705,84196859	,CHUPA CHUPS XXL LOLLY,25X29GRM,£0.45,£4.99,20.0%,In Stock,Tennant & Ruttle,Chupa Chups XXL Lollipops Assorted Flavour Bubble Gum  Filled Lollipop 29g,No
"Confectionery, Crisps & Snacks",751632,4009900522120	,SKITTLES FRUITS,36 x 45grm,£0.55,£9.99,20.0%,In Stock,Mars Wrigley DAP UK Ltd,Skittles Fruits Sweets Bag 45g,No
"Confectionery, Crisps & Snacks",751631,4009900522106	,SKITTLES SOURS,36 x 45grm,£0.55,£9.99,20.0%,In Stock,Mars Wrigley DAP UK Ltd,Skittles Crazy Sours Sweets Bag 45g,No
"Confectionery, Crisps & Snacks",751951,5010478850040	,DRUMSTICK BUBBLEGUM BAR,360X18GRM,£0.10,£20.07,20.0%,In Stock,Swizzels Matlow,Swizzels Drumstick Bubblegum Flavour,No
"Confectionery, Crisps & Snacks",744868,4009900514323	,STARBURST 49P,24 x 45grm,£0.49,£6.69,20.0%,In Stock,Mars Wrigley DAP UK Ltd,Starburst Original Fruit Chews Sweets £0.49 PMP 45g,No
"Confectionery, Crisps & Snacks",744862,4009900514910	,SKITTLES FRUIT 49P,36 x 45grm,£0.49,£9.69,20.0%,In Stock,Mars Wrigley DAP UK Ltd,49p RRP****Recommended Retail Price,No
"Confectionery, Crisps & Snacks",775587,84196675	,CHUPA CHUPS FRUIT DISPLAY BOX,100 x 12grm,£0.25,£11.49,20.0%,In Stock,Tennant & Ruttle,NA,No
"Confectionery, Crisps & Snacks",744088,5010478614895	,SWIZZEL STINGER CHEW BAR,360X18GRM,£0.10,£20.07,20.0%,In Stock,Swizzels Matlow,Swizzels Stinger,No
"Confectionery, Crisps & Snacks",744092,5010478548978	,SWIZZEL STINGER CHEW BAR,60 x 18grm,£0.10,£3.39,20.0%,In Stock,Swizzels Matlow,Swizzels Stinger,No
"Confectionery, Crisps & Snacks",180139,5021202551546	,ALMA SPINNING TOPS,120 x 7grm,£0.05,£3.79,20.0%,In Stock,Rob Roberts NI Ltd,Alma Spinning Tops 120 Pieces,No
"Confectionery, Crisps & Snacks",445482,90111334	,STARBURST ORIGINAL STICK,24 x 45grm,£0.59,£6.99,20.0%,In Stock,Starburst,Starburst Original Fruit Chews Sweets 45g,No
"Confectionery, Crisps & Snacks",445481,4009900489997	,STARBURST FAVE REDS,24 x 45grm,£0.59,£6.99,20.0%,In Stock,Starburst,Starburst Fave Reds Fruit Chews Sweets 45g,No
"Confectionery, Crisps & Snacks",180063,5010478649811	,SWIZZELS DRUMSTICK LOLLI#S 10P,60X1PK,£0.10,£3.39,20.0%,In Stock,Swizzels Matlow,Swizzels Drumstick Lolly Raspberry and,No
"Confectionery, Crisps & Snacks",177932,5010478100213	,DRUMSTICK CHEW BAR 10P,60X1PK,£0.10,£3.39,20.0%,In Stock,Swizzels Matlow,Swizzels Drumstick Original Raspberry and,No
"Confectionery, Crisps & Snacks",177914,5010478506015	,REFRESHER ORIG CHEW BAR,360X21GRM,£0.10,£20.07,20.0%,In Stock,Swizzels Matlow,Swizzels Refreshers Original Lemon Flavour,No
"Confectionery, Crisps & Snacks",177930,5010478100213	,DRUMSTICK CHEW BAR 10P,360X1PK,£0.10,£20.07,20.0%,In Stock,Swizzels Matlow,Swizzels Drumstick Original Raspberry and,No
"Confectionery, Crisps & Snacks",177915,5010478506015	,REFRESHER ORIG CHEW BAR,60 x 21grm,£0.10,£3.39,20.0%,In Stock,Swizzels Matlow,Swizzels Refreshers Original Lemon Flavour,No
"Confectionery, Crisps & Snacks",177913,5010478922501	,REFRESHER S/BERRY BAR 10P,60 x 21grm,£0.10,£3.39,20.0%,In Stock,Swizzels Matlow,Swizzels Refreshers Strawberry Flavour,No
"Confectionery, Crisps & Snacks",177911,5010478922501	,REFRESHER S/BERRY BAR 10P,360X21GRM,£0.10,£20.07,20.0%,In Stock,Swizzels Matlow,Swizzels Refreshers Strawberry Flavour,No
"Confectionery, Crisps & Snacks",754416,4008400836423	,KINDER HAPPY HIPPO COCOA5 PACK,10X103GRM,£1.19,£9.49,0.0%,In Stock,Ferrero Uk Ltd,Be Treatwise.netFor more information visit: www.kinder.co.uk,No
"Confectionery, Crisps & Snacks",764188,7622201124830	,BOURNVILLE ORANGE 1.00,18 x 100grm,£1.00,£11.99,20.0%,In Stock,Kraft Foods UK Ltd,BeTreatwise.netCocoa LifePartnering with Fairtrade FoundationCocoa Life helps farmers get the most from their cocoa trees through environmentally friendly farmingwww.cocoalife.org,No
"Confectionery, Crisps & Snacks",754027,7622210594662	,CADBURY BOURNVILLE 1.00,18 x 100grm,£1.00,£11.99,20.0%,In Stock,Kraft Foods UK Ltd,BeTreatwise.netCocoa LifePartnering with Fairtrade FoundationThanks to cocoa life we are helping farms to protect  the forests around themwww.cocoalife.org,No
"Confectionery, Crisps & Snacks",763838,5010478602304	,SWIZZEL RHUB/CUST CHEW BAR,60 x 18grm,£0.10,£3.39,20.0%,In Stock,Swizzels Matlow,Swizzels Drumstick Rhubarb & Custard Flavour Chew Bar,No
"Confectionery, Crisps & Snacks",763837,5010478602304	,SWIZZEL RHUB/CUST CHEW BAR,360X18GRM,£0.10,£20.07,20.0%,In Stock,Swizzels Matlow,Swizzels Drumstick Rhubarb & Custard Flavour Chew Bar,No
"Confectionery, Crisps & Snacks",751952,5010478850040	,DRUMSTICK BUBBLEGUM BAR,60 x 18grm,£0.10,£3.39,20.0%,In Stock,Swizzels Matlow,Swizzels Drumstick Bubblegum Flavour,No
"Confectionery, Crisps & Snacks",408694,5010478481039	,SWIZZELS LOVE HEART LIPSTICKS,60X1PK,£0.13,£4.99,20.0%,In Stock,Swizzels,Swizzels Love Hearts Lipstick,No
"Confectionery, Crisps & Snacks",752786,7622210400079	,CADBURY ECLAIRS BAG,7X166GRM,£1.89,£8.79,20.0%,In Stock,Kraft Foods UK Ltd,Cadbury Eclairs Classic Chocolate Bag 166g,No
"Confectionery, Crisps & Snacks",408693,5010478481039	,SWIZZELS LOVE HEART LIPSTICKS,360X1PK,£0.13,£29.92,20.0%,In Stock,Swizzels,NA,No
