Category,Product Code,EAN Code,Product Name,Product Size,RRP,Price,VAT,Stock Service,Brand,Description,On Promo
Packaging & Disposables,508350,17779079014	,TRAY KRAFT PAPER SMALL 1LB/454G,4 x 250pce,NA,£57.99,20.0%,In Stock,Catering Disposables Ltd,250 1lb Food Tray,No
"Health, Beauty & Baby",423797,8004260157438	,NICKY ALOE VERA POCKET PACK TISSUES,48X23PCE,£0.59,£15.69,20.0%,In Stock,Nicky,Nicky Aloe Vera 4 Ply 9 Tissues,No
Packaging & Disposables,914692,5098749150877	,WOODEN SPOON 160MM,20 x 100pce,NA,£39.05,20.0%,In Stock,PaardeKooper,NA,No
Packaging & Disposables,914693,5098749150877	,WOODEN SPOON 160MM,1 x 100pce,NA,£2.19,20.0%,In Stock,PaardeKooper,NA,No
Alcohol & Tobacco,237999,9414024678861	,BRANCOT CABERNET MERLOT,6 x 750mls,£10.17,£40.99,20.0%,In Stock,Dillon Bass Ltd,Brancott Estate Hawkes Bay Merlot Red Wine 75cl,No
Fresh & Chilled Goods,116449,5099839287237	,M/EXCELLENCE BLACK PUDDING CHUBB,10X1.36KGM,NA,£39.90,0.0%,In Stock,Musgrave Excellence,Musgrave Excellence Chubb Pudding Black 1.36kg,No
Catering Equipment,408351,5010699523464	,EVERYDAY GLOVES RUBBER LARGE,1 x 6pk,NA,£3.99,20.0%,In Stock,Everyday,NA,No
Packaging & Disposables,916914,5391527799993	,G/SPIRIT 16OZ P/F PAPER CUPS,20 x 25pce,NA,£85.45,20.0%,In Stock,Catering Disposables Ltd,NA,No
Fresh & Chilled Goods,310397,5010386095007	,DROMONA COUNTRY GOLD,1 x 2kgm,£8.02,£6.55,0.0%,In Stock,Dromona,Country Gold 2kg,No
Packaging & Disposables,916910,5391527799955	,G/SPIRIT 8OZ P/F PAPER CUPS,NA,NA,NA,20.0%,Out of Stock,Catering Disposables Ltd,NA,No
