Category,Product Code,EAN Code,Product Name,Product Size,RRP,Price,VAT,Stock Service,Brand,Description,On Promo
"Household, Cleaning & Pet Care",775527,5098732007218	,GREEN AWARE HANDY BAGS,35X10PK,£1.99,£38.99,20.0%,In Stock,Boyne Valley Foods Limited,GreenAware 100% Compostable Reusable Handy Bags 10 x 30L,No
"Household, Cleaning & Pet Care",401420,834554005491	,SUNNY JIM 80/60,12X80PK,£3.59,£26.99,20.0%,In Stock,Tennant & Ruttle,Sunny Jim 80 Big Value Firelighters,No
"Household, Cleaning & Pet Care",765889,8710908375620	,CIF ANTIBAC MULTI PINK,6X450MLS,£1.39,£4.99,20.0%,In Stock,Unilever Ireland Homecare,Cif Ultrafast Antibacterial Cleaner Spray 450 ml,No
"Household, Cleaning & Pet Care",763089,8710847994166	,CIF WILD ORCHID FLOOR CLEANER,8X950MLS,£1.29,£6.79,20.0%,In Stock,Unilever Ireland Homecare,Cif Wild Orchid Floor Cleaner 950 ml,No
"Household, Cleaning & Pet Care",500711,5011417561928	,DETTOL A/BAC SURFACE CLEANSER,6 x 500mls,£1.00,£3.99,20.0%,In Stock,SHS Distributors,www.cleanright.euwww.rbeuroinfo.com,No
"Household, Cleaning & Pet Care",438969,8712561599337	,CIF BATHROOM TRIGGER,6X450MLS,£1.39,£4.99,20.0%,In Stock,Cif,Cif Ultrafast Bathroom Spray 450 ml,No
"Household, Cleaning & Pet Care",438959,8712561600026	,CIF MULTI TRIGGER & BLEACH,6X450MLS,£1.39,£4.99,20.0%,In Stock,Cif,Cif Ultrafast Multi-Purpose Spray with Bleach 450 ml,No
Alcohol & Tobacco,546758,5601083001363	,SANDEMAN 3 STAR PORT,6 x 750mls,£10.43,£44.65,20.0%,In Stock,Sandeman,Sandeman 3 Star Ruby Port 750ml,No
"Biscuits, Bread & Cakes",916025,5010035068666	,FOXS PARTY RINGS 99P,12 x 125grm,£0.99,£7.29,0.0%,In Stock,GM Marketing,Fox's Party Rings 125g,No
"Health, Beauty & Baby",543508,105435080	,KLEENEX MANSIZE TISSUES COMPACT,12X1PK,£1.19,£9.19,20.0%,In Stock,Kimberley Clark Ltd,Kleenex® Mansize Compact TissuesSingle Box2 ply Tissue,No
