ProductDescription,TescoProductID,BaseID,SpecialOffer,OfferStartDate,OfferEndDate,WebLink,CurrentlyAvailable,Barcode,Price,UnitOfMeasure,DateScraped
Lindt Lindor Milk Chocolate Multipack 4X25g,297057651,83363872,NA,NA,NA,https://www.tesco.ie/groceries/Product/Details/?id=297057651,True,4000539139802	,2.69,g,2022-01-27
Cadbury Dairy Milk Oreo Chocolate Bar 120G,275248124,72569375,NA,NA,NA,https://www.tesco.ie/groceries/Product/Details/?id=275248124,True,7622300754136	,2.00,g,2022-01-27
Lindt Excellence Mint Iintense Chocolate Bar 100G,260670257,59360709,SAVE 69c Was  2.69 Now  2.00,5/1/2022,1/2/2022,https://www.tesco.ie/groceries/Product/Details/?id=260670257,True,3046920028417	,2.00,g,2022-01-27
Cadbury Dairy Milk Extra Large Easter Egg 515G,265923654,65250543,SAVE 4.00 Was  16.00 Now  12.00,12/1/2022,27/3/2022,https://www.tesco.ie/groceries/Product/Details/?id=265923654,True,7622210316936	,12.00,g,2022-01-27
Milkybar Combos 110G,309777385,89428827,SAVE 55c Was  3.55 Now  3.00,5/1/2022,1/2/2022,https://www.tesco.ie/groceries/Product/Details/?id=309777385,True,7613287578310	,3.00,g,2022-01-27
Cadbury Dairy Milk Chocolate Easter Hollow Bunny 100G,295065955,82383262,SAVE 75c Was  3.75 Now  3.00,1/1/2022,17/4/2022,https://www.tesco.ie/groceries/Product/Details/?id=295065955,True,0000096139455	,3.00,g,2022-01-27
Cadbury Twirl Chocolate Bars 11 X 21.5G,292215294,80965280,NA,NA,NA,https://www.tesco.ie/groceries/Product/Details/?id=292215294,False,7622210989215	,3.00,g,2022-01-27
Hershey's Cookie N Creme Chocolate Bar 43G,292215173,80965202,NA,NA,NA,https://www.tesco.ie/groceries/Product/Details/?id=292215173,True,0034000239450	,1.00,g,2022-01-27
Lindt Milk Chocolate Egg With Milk Lndor Truffels 260G,307354537,88627870,SAVE 99c Was  12.99 Now  12.00,17/1/2022,17/4/2022,https://www.tesco.ie/groceries/Product/Details/?id=307354537,True,5012454063932	,12.00,g,2022-01-27
Cadbury Oreo Chocolate Egg 5X31g,302808706,86243589,SAVE 50c Was  3.00 Now  2.50,1/1/2022,17/4/2022,https://www.tesco.ie/groceries/Product/Details/?id=302808706,True,7622210975119	,2.50,g,2022-01-27
Nestle Quality Street Salted Caramel Truffles 200G,306388280,87974079,NA,NA,NA,https://www.tesco.ie/groceries/Product/Details/?id=306388280,True,8000300398892	,7.00,g,2022-01-27
