ProdCode,Description,WS Size,Pack Size,Price,RRP,POR,Min Shelf Life (days),Marked as Promo,In Stock,Inner Barcode,Outer Barcode,Product Group,Category
115582,My Blu Intense Liquidpods Strawberry Mint 18gm,5,1pc,£19.00,£6.35,28.19,0,N,In Stock,8719743213203	,8719743213272	,Cigs And Tobacco, Ambient
103697,Nomadic Oat Clusters Raspberry Yogurt,6,169g,£7.00,£1.55,24.73,13,Y,NA,5391115000074	,05391115216307	,Dairy Products, Ambient
115581,My Blu Intense Liquidpods Goldentobacco 18mg,5,1pc,£19.00,£6.35,28.19,0,N,In Stock,8719743213173	,8719743213241	,Cigs And Tobacco, Ambient
103413,Denny Traditional Rashers Bacon 5 S,12,150g,£14.50,£2.49,51.47,16,Y,NA,5011069164218	,05011069164201	,Chilled Foods," Chilled, Fresh & Frozen"
115584,My Blu Intense Liquidpods Blueberry 18mg,5,1pc,£19.00,£6.35,28.19,0,N,In Stock,8719743213180	,8719743213258	,Cigs And Tobacco," Chilled, Fresh & Frozen"
103420,Denny Trad Back Bacon Rashers 8 S Pmp,10,240g,£25.23,£3.29,23.31,16,N,NA,5011069091781	,05011069162900	,Chilled Foods," Chilled, Fresh & Frozen"
107264,Sterling Ks Red 20 S Eutpd,10,20,£89.65,£11.30,4.80,0,N,In Stock,5000143914726	,05000143957761	,Cigs And Tobacco," Chilled, Fresh & Frozen"
910618,Nomadic Blueberry B Currant Yogurt And Clusters,6,169g,£7.00,£1.55,24.73,13,Y,NA,5029617001328	,15029617001325	,Dairy Products," Chilled, Fresh & Frozen"
103699,Nomadic Oat Clusters Choc Natural Yogurt,6,169g,£7.00,£1.55,24.73,13,Y,NA,5391115000821	,05391115216499	,Dairy Products," Chilled, Fresh & Frozen"
107260,Sterling Ks Blue 20 S Eutpd,10,20,£89.65,£11.30,4.80,0,N,In Stock,5000143977219	,5000143925241	,Cigs And Tobacco," Chilled, Fresh & Frozen"
109387,Sterling Dual Leaf Wrapped Cigarillo 10 Pmp £4.90,20,10,£75.63,£4.90,7.39,0,N,Out Of Stock,5000143922912	,05000143969740	,Cigs And Tobacco," Chilled, Fresh & Frozen"
104021,Hulls Vegetable  Roll Pmp £1.25,8,232g,£8.50,£1.25,15.00,5,Y,NA,5018315002805	,05018315002812	,Chilled Foods," Chilled, Fresh & Frozen"
118258,Sterling Dual Leafwrapped Cigarillo  20 S Pm£9.85,10,20,£76.40,£9.85,6.92,0,N,In Stock,5000143927139	,05000143918144	,Cigs And Tobacco," Chilled, Fresh & Frozen"
913776,Hulls Platinum Premium Pork Sausages,6,400g,£15.50,£3.25,20.51,5,Y,NA,5018315003505	,05018315003512	,Chilled Foods," Chilled, Fresh & Frozen"
103827,Magnum Classic Milk Choc 4 Pack,10,400ml,£24.00,£3.99,27.82,0,Y,NA,8712566328352	,8000920966730	,Frozen Retail," Chilled, Fresh & Frozen"
104022,Hulls Vegetable Roll Slices 6 S,6,350g,£12.00,£2.49,19.68,3,Y,NA,5018315002447	,05018315002454	,Chilled Foods," Chilled, Fresh & Frozen"
