Station,Postcode,Latitude,Longitude,Owner
Elsenham (Essex),CM22 6HA,51.92054346,0.22807027,Greater Anglia
Elstree and Borehamwood,WD6 3LS,51.65306812,-0.28008154,Govia Thameslink Railway (Thameslink)
Eltham,SE9 6SL,51.45564173,0.052472331,Southeastern
Elton and Orston,NG19 9LH,52.952136,-0.855512438,East Midlands Railway
Ely,CB7 4BS,52.3912277,0.266827583,Greater Anglia
Emerson Park,RM11 2JP,51.56864036,0.220113229,London Overground
Emsworth,PO10 7PN,50.85161413,-0.938429764,Govia Thameslink Railway (Southern)
Energlyn and Churchill Park,CF83 2QR,51.58321643,-3.228796066,TfW Rail
Enfield Chase,EN2 7AA,51.65325253,-0.090696371,Govia Thameslink Railway (Great Northern)
Enfield Lock,EN3 6HA,51.67092044,-0.028532466,Greater Anglia
Enfield Town,EN1 1YX,51.65202399,-0.079327643,London Overground
Entwistle,BL7 0NG,53.65597869,-2.414545055,Northern Trains
Epsom,KT19 8EW,51.33439146,-0.26877768,Govia Thameslink Railway (Southern)
Epsom Downs,KT17 4JX,51.32368619,-0.23895485,Govia Thameslink Railway (Southern)
Erdington,B23 6UB,52.52828549,-1.83950909,West Midlands Trains (West Midlands Railway)
Eridge,TN3 9LE,51.08896359,0.201431713,Govia Thameslink Railway (Southern)
Erith,DA8 1TY,51.48166893,0.175054449,Southeastern
Esher,KT10 8DY,51.37988998,-0.353337838,South Western Railway
Eskbank,EH22 3NX,55.88180574,-3.083073537,ScotRail
Essex Road,N1 2SU,51.5407038,-0.09627606,Govia Thameslink Railway (Great Northern)
Etchingham,TN19 7PA,51.01054371,0.442356267,Southeastern
Euston,NW1 2RT,51.52813476,-0.133923636,Network Rail
Euxton Balshaw Lane,PR7 6DX,53.66048197,-2.672023858,Northern Trains
Evesham,WR11 4EQ,52.09839855,-1.947313706,Great Western Railway
Ewell East,KT17 1QR,51.34529823,-0.241529639,Govia Thameslink Railway (Southern)
Ewell West,KT17 1TU,51.35004357,-0.25698662,South Western Railway
Exeter Central,EX4 3SB,50.72648824,-3.533277091,Great Western Railway
Exeter St David's,EX4 4NT,50.72927898,-3.543286863,Great Western Railway
Exeter St Thomas,EX4 1AJ,50.71715187,-3.538836983,Great Western Railway
Exhibition Centre (Glasgow),G3 8LD,55.86155608,-4.283589731,ScotRail
Exmouth,EX8 1BZ,50.62163873,-3.414972275,Great Western Railway
Exton,EX3 0PR,50.66830751,-3.444096849,Great Western Railway
Eynsford,DA4 0HP,51.3627183,0.204393121,Southeastern
Fairbourne,LL38 2AQ,52.69604646,-4.049414266,TfW Rail
Fairfield,M43 6TT,53.47129555,-2.145775199,Northern Trains
Fairlie,KA29 0DJ,55.75194843,-4.853268686,ScotRail
Fairwater,CF5 3QE,51.49391017,-3.23383999,TfW Rail
Falconwood,SE9 2RN,51.45915264,0.079304477,Southeastern
Falkirk Grahamston,FK2 7EZ,56.00261773,-3.785046885,ScotRail
Falkirk High,FK1 5QX,55.99181958,-3.792244892,ScotRail
Falls Of Cruachan,PA33 1AN,56.3938894,-5.112479119,ScotRail
Falmer,BN1 9PU,50.86212747,-0.087385507,Govia Thameslink Railway (Southern)
Falmouth Docks,TR11 4LT,50.15071428,-5.056029481,Great Western Railway
Falmouth Town,TR11 4AZ,50.14834734,-5.064936286,Great Western Railway
Fareham,PO16 0UT,50.85303383,-1.192037242,South Western Railway
Farnborough (Main),GU14 7NL,51.29660488,-0.755725725,South Western Railway
Farnborough North,GU14 8AQ,51.30204445,-0.743026929,Great Western Railway
Farncombe,GU7 3NF,51.19715312,-0.604548878,South Western Railway
Farnham,GU9 8AD,51.21190423,-0.792427196,South Western Railway
Farningham Road,DA4 9JB,51.40166348,0.235452056,Southeastern
Farnworth,BL4 7QZ,53.55000609,-2.387849972,Northern Trains
Farringdon,EC1M 6BY,51.52016556,-0.10520467,London Underground
Fauldhouse,EH47 9DJ,55.82247773,-3.719319365,ScotRail
Faversham,ME13 8EB,51.31171054,0.891044849,Southeastern
Faygate,RH12 4SJ,51.09588935,-0.263018671,Govia Thameslink Railway (Southern)
Fazakerley,L9 9EW,53.46908788,-2.936723701,Merseyrail
Fearn,IV20 1RS,57.77814701,-3.993936549,ScotRail
Featherstone,WF7 7HJ,53.67906692,-1.358444244,Northern Trains
Felixstowe,IP11 9UD,51.96706843,1.350434991,Greater Anglia
Feltham,TW13 4BY,51.44789734,-0.409838241,South Western Railway
Fenchurch Street,EC3M 4AJ,51.51164426,-0.078896769,c2c
Feniton,EX14 3BT,50.78668058,-3.285418297,South Western Railway
Fenny Stratford,MK1 1BP,52.00006835,-0.715997362,West Midlands Trains (London Northwestern Railway)
Fernhill,CF45 3DP,51.68649881,-3.395883281,TfW Rail
Ferriby,HU14 3DJ,53.7171538,-0.507830473,Northern Trains
Ferryside,SA17 5TD,51.76837253,-4.369459177,TfW Rail
Ffairfach,SA19 6UL,51.87247927,-3.992860276,TfW Rail
Filey,YO14 9PE,54.20985721,-0.293849398,Northern Trains
Filton Abbey Wood,BS34 7JW,51.50494148,-2.562430924,Great Western Railway
Finchley Road and Frognal,NW3 6EP,51.55026446,-0.183140601,London Overground
