Station,Postcode,Latitude,Longitude,Owner
Hatfield (Herts),AL9 5AB,51.76387815,-0.215588611,Govia Thameslink Railway (Great Northern)
Hatfield and Stainforth,DN7 4EQ,53.58871537,-1.02337734,Northern Trains
Hatfield Peverel,CM3 2DX,51.7798617,0.592123687,Greater Anglia
Hathersage,S32 1DT,53.32577416,-1.651718788,Northern Trains
Hattersley,SK14 3HG,53.44528419,-2.04031079,Northern Trains
Hatton,CV35 7LE,52.29527887,-1.672975327,Chiltern Railways
Havant,PO9 1PP,50.85442697,-0.981611528,South Western Railway
Havenhouse,PE24 4AR,53.11446634,0.273167404,East Midlands Railway
Haverfordwest,SA61 1TY,51.80263841,-4.960204539,TfW Rail
Hawarden,CH5 1PY,53.18536181,-3.032081241,TfW Rail
Hawarden Bridge,CH5 1PY,53.21807723,-3.032717952,TfW Rail
Hawkhead,PA2 7BB,55.84219572,-4.398851909,ScotRail
Haydon Bridge,NE47 6LL,54.97517773,-2.247587987,Northern Trains
Haydons Road,SW19 8SL,51.42544655,-0.188814711,Govia Thameslink Railway (Thameslink)
Hayes,BR2 7EN,51.37633212,0.010556706,Southeastern
Hayes and Harlington,UB3 4BX,51.5030946,-0.420683555,TfL Rail
Hayle,TR27 4NG,50.1855698,-5.419837798,Great Western Railway
Haymarket,EH12 5EY,55.94581132,-3.218450017,ScotRail
Haywards Heath,RH16 1DJ,51.00568014,-0.105077782,Govia Thameslink Railway (Southern)
Hazel Grove,SK7 4EX,53.37754489,-2.122019621,Northern Trains
Headcorn,TN27 9SD,51.16571149,0.627481713,Southeastern
Headingley,LS5 3LD,53.81797491,-1.594188178,Northern Trains
Headstone Lane,HA2 6NB,51.60264787,-0.357219843,London Overground
Heald Green,SK8 3DY,53.36941767,-2.236667634,Northern Trains
Healing,DN37 7RY,53.58179754,-0.16062993,Northern Trains
Heath High Level,CF23 5QT,51.51643391,-3.181541987,TfW Rail
Heath Low Level,CF23 5QT,51.5156653,-3.181968859,TfW Rail
Heathrow Terminal 4,TW6 3AA,51.45826668,-0.445463475,Heathrow Express
Heathrow Terminal 5,TW6 2GA,51.47005165,-0.490589046,Heathrow Express
Heathrow Terminals 2 and 3 (Rail Station Only),TW6 1WD,51.47140472,-0.454332698,Heathrow Express
Heaton Chapel,SK4 4NX,53.42556179,-2.179041787,Northern Trains
Hebden Bridge,HX7 6JE,53.73758911,-2.009058953,Northern Trains
Heckington,NG34 9UJ,52.97731656,-0.293944437,East Midlands Railway
Hedge End,SO30 2RZ,50.93231995,-1.294503452,South Western Railway
Hednesford,WS12 1AZ,52.71011287,-2.001778182,West Midlands Trains (West Midlands Railway)
Heighington,DL5 6PX,54.59696131,-1.581765236,Northern Trains
Helensburgh Central,G84 7QF,56.00421398,-4.732759028,ScotRail
Helensburgh Upper,G84 9LG,56.01236908,-4.729805223,ScotRail
Hellifield,BD23 4HN,54.01086439,-2.227844904,Northern Trains
Helmsdale,KW8 6HH,58.11744294,-3.658688305,ScotRail
Helsby,WA6 0AE,53.27520419,-2.771207041,TfW Rail
Hemel Hempstead,HP3 9BQ,51.74233209,-0.490773824,West Midlands Trains (London Northwestern Railway)
Hendon,NW4 4PT,51.58006665,-0.238674142,Govia Thameslink Railway (Thameslink)
Hengoed,CF82 7LT,51.64741238,-3.224128492,TfW Rail
Henley-In-Arden,B95 5JF,52.29148839,-1.783991224,West Midlands Trains (West Midlands Railway)
Henley-On-Thames,RG9 1AY,51.53417987,-0.900212251,Great Western Railway
Hensall,DN14 0QN,53.698545,-1.114518749,Northern Trains
Hereford,HR1 1BB,52.06116493,-2.708210593,TfW Rail
Herne Bay,CT6 8PJ,51.36458945,1.11772577,Southeastern
Herne Hill,SE24 0JW,51.4533035,-0.102289173,Southeastern
Hersham,KT12 4SQ,51.37681098,-0.389959264,South Western Railway
Hertford East,SG14 1SB,51.79903329,-0.072941429,Greater Anglia
Hertford North,SG14 1NB,51.79885516,-0.09178855,Govia Thameslink Railway (Great Northern)
Hessle,HU13 0EL,53.71743712,-0.441823202,Northern Trains
Heswall,CH60 1XQ,53.32972038,-3.07370325,TfW Rail
Hever,TN8 7ER,51.18140927,0.095069323,Govia Thameslink Railway (Southern)
Heworth,NE10 0NE,54.95156904,-1.555766273,Northern Trains
Hexham,NE46 1EU,54.97346083,-2.094794838,Northern Trains
Heyford,OX6 8UL,51.91919073,-1.299270105,Great Western Railway
Heysham Port,LA3 2XE,54.03314691,-2.913114793,Northern Trains
High Brooms,TN2 3XE,51.14940278,0.277332197,Southeastern
High Street (Glasgow),G1 1PZ,55.85956921,-4.240118935,ScotRail
High Wycombe,HP13 6NN,51.62958549,-0.745409901,Chiltern Railways
Higham,ME3 7JQ,51.42655664,0.466277692,Southeastern
Highams Park,E4 9LA,51.60834848,-0.000222271,London Overground
Highbridge and Burnham,TA9 3BT,51.21815994,-2.972153911,Great Western Railway
Highbury and Islington,N5 1RA,51.54617562,-0.103763719,London Underground
Hightown,L38 3RX,53.52510909,-3.057068462,Merseyrail
Hildenborough,TN11 8LX,51.21448406,0.227589893,Southeastern
Hillfoot,G61 3PG,55.92009771,-4.320275166,ScotRail
Hillington East,G52 2LL,55.85418779,-4.355011262,ScotRail
Hillington West,G52 4NQ,55.85602649,-4.371581045,ScotRail
Hillside,PR8 4QR,53.62210934,-3.024716883,Merseyrail
Hilsea,PO3 5FT,50.82827662,-1.05879744,South Western Railway
Hinchley Wood,KT10 0SR,51.37499712,-0.340524541,South Western Railway
Hinckley (Leics),LE10 1UE,52.53499905,-1.371923359,East Midlands Railway
Hindley,WN2 2QJ,53.54223925,-2.575502023,Northern Trains
Hinton Admiral,BH23 7DW,50.75264113,-1.714126714,South Western Railway
Hitchin,SG4 9UL,51.95328128,-0.263480843,Govia Thameslink Railway (Great Northern)
Hither Green,SE13 5NF,51.45202357,-0.000944253,Southeastern
Hockley,SS5 4BG,51.60355343,0.659001062,Greater Anglia
Hollingbourne,ME17 1TX,51.26517616,0.627848162,Southeastern
Holmes Chapel,CW4 8AA,53.19893321,-2.351140108,Northern Trains
Holmwood,RH5 4RB,51.18119453,-0.320808989,Govia Thameslink Railway (Southern)
Holton Heath,BH16 6JT,50.71141023,-2.077845039,South Western Railway
Holyhead,LL65 2BT,53.30768964,-4.631003588,TfW Rail
Holytown,ML1 4HD,55.81290273,-3.97392977,ScotRail
Homerton,E9 5SB,51.54701043,-0.042359836,London Overground
Honeybourne,WR11 6RD,52.1016017,-1.833742916,Great Western Railway
Honiton,EX14 2DA,50.79658465,-3.186718407,South Western Railway
Honley,HD9 6LD,53.60822953,-1.780965503,Northern Trains
Honor Oak Park,SE23 1EB,51.44998735,-0.045505455,London Overground
Hook,RG27 9HS,51.2799981,-0.961635809,South Western Railway
Hooton,CH66 7NL,53.29720199,-2.977009778,Merseyrail
Hope (Derbyshire),S33 6RD,53.34611132,-1.729886912,Northern Trains
Hope (Flintshire),LL12 9NJ,53.11736072,-3.036876302,TfW Rail
Hopton Heath,SY7 0QD,52.39141891,-2.912060083,TfW Rail
Horley,RH6 7NL,51.16877387,-0.161053584,Govia Thameslink Railway (Southern)
Hornbeam Park,HG2 8QT,53.97986979,-1.526822414,Northern Trains
Hornsey,N8 9DJ,51.58645943,-0.111975065,Govia Thameslink Railway (Great Northern)
Horsforth,LS18 5NL,53.84770672,-1.630228545,Northern Trains
Horsham,RH12 1RD,51.06606378,-0.319269498,Govia Thameslink Railway (Southern)
Horsley,KT24 6QX,51.27934598,-0.435408675,South Western Railway
Horton-In-Ribblesdale,BD24 0HH,54.14938803,-2.302032979,Northern Trains
Horwich Parkway,BL6 6LB,53.5781084,-2.539666312,Transport for Greater Manchester
Hoscar,L40 4BL,53.59777105,-2.804421314,Northern Trains
Hough Green,WA8 7XU,53.3723942,-2.775066368,Northern Trains
Hounslow,TW3 2DQ,51.46194502,-0.362276956,South Western Railway
Hove,BN3 3RU,50.83521491,-0.170687399,Govia Thameslink Railway (Southern)
Hoveton and Wroxham,NR12 8UR,52.71556726,1.407996985,Greater Anglia
How Wood (Hertfordshire),AL2 2NG,51.717741,-0.344670453,West Midlands Trains (London Northwestern Railway)
Howden,DN14 7SE,53.76471101,-0.860463099,Northern Trains
Howwood (Renfrewshire),PA9 1AZ,55.8105699,-4.563059126,ScotRail
Hoxton,E2 8FF,51.53151009,-0.075681576,London Overground
Hoylake,CH47 4AA,53.39021381,-3.178831344,Merseyrail
Hubberts Bridge,PE20 3SG,52.97535145,-0.110528766,East Midlands Railway
Hucknall,NG15 7TD,53.03828435,-1.19581159,East Midlands Railway
Huddersfield,HD1 1JB,53.64850356,-1.784690399,TransPennine Express
Hull,HU1 3QX,53.74414935,-0.345680032,TransPennine Express
Humphrey Park,M32 9PP,53.45223041,-2.32753802,Northern Trains
Huncoat,BB5 6LT,53.77177925,-2.34756165,Northern Trains
Hungerford,RG17 0DY,51.41491103,-1.512287133,Great Western Railway
Hunmanby,YO14 0LR,54.1739247,-0.314556822,Northern Trains
Huntingdon,PE29 3BP,52.3286476,-0.192068059,Govia Thameslink Railway (Great Northern)
Huntly,AB54 5HS,57.44449115,-2.775740438,ScotRail
Hunts Cross,L25 0NN,53.36071396,-2.855861411,Merseyrail
Hurst Green,RH8 0LL,51.24442896,0.003939324,Govia Thameslink Railway (Southern)
Hutton Cranswick,YO25 5HP,53.95585412,-0.433861592,Northern Trains
Huyton,L36 5XE,53.40968699,-2.842989278,Northern Trains
Hyde Central,SK14 1AA,53.45188507,-2.08525039,Northern Trains
Hyde North,SK16 5RH,53.46480135,-2.085457096,Northern Trains
Hykeham,LN6 9AT,53.19500438,-0.600196479,East Midlands Railway
Hyndland,G12 9PP,55.87975927,-4.314669434,ScotRail
Hythe (Essex),CO2 8JR,51.88563629,0.927527517,Greater Anglia
Ifield,RH11 0JP,51.11562153,-0.214772156,Govia Thameslink Railway (Southern)
Ilford,IG1 4DU,51.55911571,0.069679447,TfL Rail
Ilkeston,DE7 5TE,52.97959244,-1.294931917,East Midlands Railway
Ilkley,LS29 8HF,53.92476563,-1.8220277,Northern Trains
Imperial Wharf,SW6 2ZH,51.47494769,-0.182822757,London Overground
Ince (Manchester),WN2 2DA,53.53891451,-2.611520048,Northern Trains
Ince and Elton (Cheshire),CH2 4NG,53.2766104,-2.816522749,Northern Trains
Ingatestone,CM4 0BW,51.66704075,0.384246718,Greater Anglia
Insch,AB52 6PU,57.33750113,-2.617112583,ScotRail
Invergordon,IV18 0RY,57.68902346,-4.174841319,ScotRail
Invergowrie,DD2 5DS,56.45647658,-3.057398231,ScotRail
Inverkeithing,KY11 1NJ,56.03468085,-3.396187511,ScotRail
Inverkip,PA16 0AS,55.9061105,-4.872587427,ScotRail
Inverness,IV2 3PY,57.47987489,-4.223361989,ScotRail
Invershin,IV27 4ET,57.92487436,-4.399478885,ScotRail
Inverurie,AB51 4TN,57.28626945,-2.373559857,ScotRail
Ipswich,IP2 8AL,52.05058875,1.144425499,Greater Anglia
Irlam,M44 5AB,53.43431222,-2.433230467,Northern Trains
Irvine,KA12 8NU,55.61087991,-4.675146616,ScotRail
Isleworth,TW7 4BX,51.47476167,-0.336906804,South Western Railway
Islip,OX5 2TQ,51.82575359,-1.238181764,Chiltern Railways
Iver,SL0 9AU,51.50850195,-0.50672603,TfL Rail
Ivybridge,PL21 0DQ,50.39341686,-3.904204959,Great Western Railway
James Cook University Hospital,TS4 3BW,54.5520309,-1.208569475,Northern Trains
Jewellery Quarter,B18 6LE,52.48943609,-1.913212973,West Midlands Trains (West Midlands Railway)
Johnston (Pembs),SA62 3PL,51.7567531,-4.996329626,TfW Rail
Johnstone (Renfrewshire),PA5 8HE,55.8347142,-4.503638356,ScotRail
Jordanhill,G13 1QL,55.8827117,-4.324918875,ScotRail
Kearsley (Manchester),BL4 8DU,53.54414133,-2.375119969,Northern Trains
Kearsney (Kent),CT17 0RN,51.14937179,1.272061214,Southeastern
Keighley,BD21 4HP,53.86796434,-1.9016497,Northern Trains
Keith,AB55 3DR,57.55090227,-2.954069283,ScotRail
Kelvedon,CO5 9NP,51.84069946,0.702385545,Greater Anglia
Kelvindale,G20 0TB,55.89356104,-4.309573586,ScotRail
Kemble,GL7 6AW,51.67699717,-2.022817332,Great Western Railway
Kempston Hardwick,MK43 9NT,52.09221748,-0.503913836,West Midlands Trains (London Northwestern Railway)
Kempton Park Racecourse,TW16 5AE,51.42098211,-0.409751334,South Western Railway
Kemsing,TN15 6NT,51.29718503,0.247428327,Southeastern
Kemsley,ME10 2ST,51.36243733,0.735357659,Southeastern
Kendal,LA9 6BT,54.33209867,-2.739647005,Northern Trains
Kenilworth,CV8 1JJ,52.34270617,-1.572738399,West Midlands Trains (West Midlands Railway)
Kenley,CR8 5DF,51.3247754,-0.100925423,Govia Thameslink Railway (Southern)
Kennett,CB8 7QD,52.27726176,0.490464403,Greater Anglia
Kennishead,G46 8HP,55.81332096,-4.325247171,ScotRail
Kensal Green,NW10 5JT,51.53053887,-0.225087665,London Underground
Kensal Rise,NW10 3JN,51.53455266,-0.219957116,London Overground
Kensington (Olympia),W14 0NE,51.49789745,-0.21036414,London Overground
Kent House,BR3 1JF,51.41221358,-0.045247452,Southeastern
Kentish Town,NW5 2AA,51.55049343,-0.140364989,London Underground
Kentish Town West,NW5 3LR,51.54654638,-0.146655517,London Overground
Kenton,HA3 0AZ,51.58180036,-0.316980931,London Underground
Kents Bank,LA11 7BG,54.17290541,-2.925229661,Northern Trains
Kettering,NN15 7HJ,52.39355452,-0.731562286,East Midlands Railway
Kew Bridge,TW8 9QS,51.48951162,-0.287107629,South Western Railway
Kew Gardens,TW9 3BZ,51.4770721,-0.285053593,London Underground
Keyham,PL2 2BP,50.38988503,-4.179600144,Great Western Railway
Keynsham,BS31 2BN,51.41797934,-2.495629265,Great Western Railway
Kidbrooke,SE3 9PL,51.46211954,0.02749754,Southeastern
Kidderminster,DY10 1QZ,52.38448442,-2.238471021,West Midlands Trains (West Midlands Railway)
Kidsgrove,ST7 1BX,53.08656736,-2.24481613,East Midlands Railway
Kidwelly,SA17 4UH,51.73434714,-4.316986486,TfW Rail
Kilburn High Road,NW6 5UA,51.53727608,-0.192237499,London Overground
Kildale,YO21 2RT,54.47775772,-1.068143535,Northern Trains
Kildonan,KW8 6HY,58.17081394,-3.8691069,ScotRail
Kilgetty,SA68 0UF,51.73211242,-4.71515691,TfW Rail
Kilmarnock,KA1 2AF,55.61212313,-4.498685853,ScotRail
Kilmaurs,KA3 2QX,55.63721348,-4.530491491,ScotRail
Kilpatrick,G60 5LX,55.92470683,-4.453413032,ScotRail
Kilwinning,KA13 6NT,55.65595702,-4.710019813,ScotRail
Kinbrace,KW11 6UB,58.25831726,-3.941208772,ScotRail
King's Cross,N1 9AL,51.53088184,-0.122925992,Network Rail
Kingham,OX7 6UP,51.90225059,-1.628786365,Great Western Railway
Kinghorn,KY3 9RA,56.06934099,-3.174154635,ScotRail
Kings Langley,WD4 8LF,51.7063549,-0.43842195,West Midlands Trains (London Northwestern Railway)
Kings Lynn,PE30 1NX,52.75392169,0.403446572,Govia Thameslink Railway (Great Northern)
Kings Norton,B30 3EG,52.41429213,-1.932325959,West Midlands Trains (West Midlands Railway)
Kings Nympton,EX37 9EU,50.93607877,-3.905411529,Great Western Railway
Kings Park,G44 5UT,55.81954819,-4.246517923,ScotRail
Kings Sutton,OX17 3RR,52.02135172,-1.280930679,Chiltern Railways
Kingsknowe,EH14 2JX,55.91881706,-3.264966758,ScotRail
Kingston,KT1 1UJ,51.41275003,-0.301165787,South Western Railway
Kingswood,KT20 6EN,51.29472336,-0.211247561,Govia Thameslink Railway (Southern)
Kingussie,PH21 1EN,57.07778651,-4.05219309,ScotRail
Kintbury,RG17 9UT,51.40252264,-1.445988998,Great Western Railway
Kirby Cross,CO13 0LU,51.84139416,1.21499248,Greater Anglia
Kirk Sandall,DN3 1LL,53.56387823,-1.074061139,Northern Trains
Kirkby (Merseyside),L32 2AE,53.48619373,-2.902829669,Merseyrail
Kirkby Stephen,CA17 4LE,54.4548592,-2.36859692,Northern Trains
Kirkby-in-Ashfield,NG17 8EJ,53.1000992,-1.253056761,East Midlands Railway
Kirkby-In-Furness,LA17 7UB,54.2327128,-3.187376262,Northern Trains
Kirkcaldy,KY1 1YL,56.11206153,-3.16702889,ScotRail
Kirkconnel,DG4 6NL,55.38830808,-3.998501145,ScotRail
Kirkdale,L20 2BN,53.4409021,-2.981117305,Merseyrail
Kirkham and Wesham,PR4 3AA,53.78691826,-2.882941254,Northern Trains
Kirkhill,G72 8NL,55.81391846,-4.167105609,ScotRail
Kirknewton,EH27 8BP,55.88869474,-3.432512233,ScotRail
Kirkstall Forge,LS5 3NF,53.82372071,-1.622479447,Northern Trains
Kirkwood,ML5 5RS,55.8541933,-4.048399145,ScotRail
Kirton Lindsey,DN21 4BD,53.48483927,-0.59391344,Northern Trains
Kiveton Bridge,S26 8QP,53.3409583,-1.26717949,Northern Trains
Kiveton Park,S26 6PB,53.33671537,-1.23984463,Northern Trains
Knaresborough,HG5 9AA,54.00902453,-1.470416315,Northern Trains
Knebworth,SG3 6AT,51.86685345,-0.187288792,Govia Thameslink Railway (Great Northern)
Knighton,LD7 1DT,52.34507589,-3.042196213,TfW Rail
Knockholt,TN14 7HR,51.34578762,0.130847054,Southeastern
Knottingley,WF11 8ED,53.70653773,-1.259178277,Northern Trains
Knucklas,LD7 1PN,52.35986484,-3.096877948,TfW Rail
Knutsford,WA16 0PA,53.30179274,-2.371790932,Northern Trains
Kyle Of Lochalsh,IV40 8AH,57.27977944,-5.713814398,ScotRail
Ladybank,KY15 7JS,56.2737849,-3.122275693,ScotRail
Ladywell,SE13 7XB,51.45624265,-0.019040694,Southeastern
Laindon,SS15 6AB,51.56752118,0.424288908,c2c
Lairg,IV27 4EX,58.00183455,-4.399889864,ScotRail
Lake,PO36 8PJ,50.64647709,-1.16634859,South Western Railway (Island Line)
Lakenheath,IP27 9AD,52.44739817,0.535197605,Greater Anglia
Lamphey,SA17 5NR,51.66719276,-4.873257596,TfW Rail
Lanark,ML11 7JP,55.67361179,-3.773290995,ScotRail
Lancaster,LA1 5NW,54.04873286,-2.80745804,Avanti West Coast
Lancing,BN15 8AG,50.82708208,-0.323109265,Govia Thameslink Railway (Southern)
Landywood,WS6 6JE,52.65654176,-2.020727932,West Midlands Trains (West Midlands Railway)
Langbank,PA14 6PD,55.92452516,-4.585275657,ScotRail
Langho,BB6 8EZ,53.80483412,-2.448659349,Northern Trains
Langley,SL3 6DB,51.50806148,-0.541756169,TfL Rail
Langley Green,B69 4LZ,52.49387283,-2.004964287,West Midlands Trains (West Midlands Railway)
Langley Mill,NG16 4AT,53.01806082,-1.331244509,East Midlands Railway
Langside,G43 2JH,55.82113815,-4.277341047,ScotRail
Langwathby,CA10 1NZ,54.6943601,-2.663684091,Northern Trains
Langwith-Whaley Thorns,NG20 9HS,53.23184057,-1.20934369,East Midlands Railway
Lapford,EX17 6QU,50.85700709,-3.810639614,Great Western Railway
Lapworth,B94 6JJ,52.34225213,-1.725691417,Chiltern Railways
Larbert,FK5 4AN,56.02270858,-3.830581475,ScotRail
Largs,KA30 8AN,55.7927493,-4.867198782,ScotRail
Larkhall,ML9 1DP,55.73860003,-3.975512501,ScotRail
Laurencekirk,AB30 1BE,56.83634924,-2.465925912,ScotRail
Lawrence Hill,BS5 9JJ,51.45801376,-2.564430067,Great Western Railway
Layton (Lancs),FY2 0SX,53.83527115,-3.029990967,Northern Trains
Lazonby and Kirkoswald,CA10 1DL,54.75043945,-2.703209024,Northern Trains
Lea Bridge,E10 7PG,51.56654616,-0.03667261,Greater Anglia
Lea Green,WA9 3BZ,53.42681231,-2.724977912,Northern Trains
Lea Hall,B33 8JU,52.48064413,-1.786012013,West Midlands Trains (West Midlands Railway)
Leagrave,LU4 9BA,51.90515805,-0.458502653,Govia Thameslink Railway (Thameslink)
Lealholm,YO21 2AG,54.4605916,-0.825715346,Northern Trains
Leamington Spa,CV31 3NS,52.28449122,-1.536210159,Chiltern Railways
Leasowe,CH46 1QN,53.40804912,-3.099594232,Merseyrail
Leatherhead,KT22 7SQ,51.29881665,-0.333231977,Govia Thameslink Railway (Southern)
Ledbury,HR8 1AR,52.04525244,-2.425860636,West Midlands Trains (West Midlands Railway)
Lee,SE12 9JG,51.44975308,0.01349279,Southeastern
Leeds,LS1 4DY,53.79562745,-1.548025674,Network Rail
Leicester,LE2 0QB,52.63142532,-1.125275566,East Midlands Railway
Leigh (Kent),TN11 8RU,51.1938988,0.210494917,Govia Thameslink Railway (Southern)
Leigh-On-Sea,SS9 2ET,51.54127048,0.640411252,c2c
Leighton Buzzard,LU7 2LY,51.91630519,-0.677007376,West Midlands Trains (London Northwestern Railway)
Lelant,TR26 3DS,50.18413146,-5.436548269,Great Western Railway
Lelant Saltings,TR26 3DL,50.17878376,-5.440927384,Great Western Railway
Lenham,ME17 2HR,51.23448321,0.707758977,Southeastern
Lenzie,G66 4UA,55.92132327,-4.15389137,ScotRail
Leominster,HR6 8AR,52.22568467,-2.730341481,TfW Rail
Letchworth Garden City,SG6 3AN,51.97996269,-0.229264161,Govia Thameslink Railway (Great Northern)
Leuchars (For St. Andrews),KY16 0AA,56.37510566,-2.893713515,ScotRail
Levenshulme,M19 3PJ,53.44416479,-2.19266994,Northern Trains
Lewes,BN7 2UP,50.87063028,0.011330516,Govia Thameslink Railway (Southern)
Lewisham,SE13 7RY,51.46569006,-0.014024424,Southeastern
Leyland,PR25 3NN,53.69885719,-2.687145497,Northern Trains
Leyton Midland Road,E10 6JT,51.56972368,-0.008050635,London Overground
Leytonstone High Road,E11 4RE,51.56355278,0.008416391,London Overground
Lichfield City,WS13 6HX,52.68014786,-1.825419898,West Midlands Trains (West Midlands Railway)
Lichfield Trent Valley,WS13 6HE,52.6868953,-1.800229096,West Midlands Trains (West Midlands Railway)
Lidlington,MK43 0SA,52.04153569,-0.558928401,West Midlands Trains (London Northwestern Railway)
Limehouse,E14 7JD,51.51253505,-0.039802867,c2c
Lincoln,LN5 7EW,53.22608639,-0.539921947,East Midlands Railway
Lingfield,RH7 6EF,51.17645107,-0.00716463,Govia Thameslink Railway (Southern)
Lingwood,NR13 4AU,52.62209791,1.489944322,Greater Anglia
Linlithgow,EH49 7DH,55.97645647,-3.595852831,ScotRail
Liphook,GU30 7DR,51.07131582,-0.800228494,South Western Railway
Liskeard,PL14 4DX,50.44687021,-4.469576129,Great Western Railway
Liss,GU33 7AA,51.04357083,-0.892867192,South Western Railway
Lisvane and Thornhill,CF14 0UE,51.54458239,-3.185602358,TfW Rail
Little Kimble,HP17 0XP,51.75223145,-0.808452429,Chiltern Railways
Little Sutton,CH66 1PA,53.28551797,-2.943292868,Merseyrail
Littleborough,OL15 8AR,53.64299699,-2.094651617,Northern Trains
Littlehampton,BN17 5BS,50.81010807,-0.545994825,Govia Thameslink Railway (Southern)
Littlehaven,RH12 4PB,51.07975002,-0.307980537,Govia Thameslink Railway (Southern)
Littleport,CB6 1JL,52.46237834,0.31655922,Govia Thameslink Railway (Great Northern)
Liverpool Central,L1 1JT,53.40460292,-2.979168601,Merseyrail
Liverpool James Street,L2 7PQ,53.40476702,-2.991958136,Merseyrail
Liverpool Lime Street,L1 1JD,53.40731142,-2.977726519,Network Rail
Liverpool South Parkway,L19 5NE,53.357747,-2.889143252,Merseyrail
Liverpool Street,EC2M 7PY,51.51798946,-0.081426026,Network Rail
Livingston North,EH54 7EE,55.90138767,-3.544351537,ScotRail
Livingston South,EH54 9AP,55.87169698,-3.501569816,ScotRail
Llanaber,LL42 1AZ,52.74150794,-4.07717664,TfW Rail
Llanbedr,LL45 2LR,52.82085593,-4.110198329,TfW Rail
Llanbister Road,LD1 5UW,52.33642863,-3.213421327,TfW Rail
Llanbradach,CF83 3NE,51.6032595,-3.233048153,TfW Rail
Llandaf,CF14 2FG,51.50844205,-3.228612872,TfW Rail
Llandanwg,LL46 2SB,52.83616679,-4.123857621,TfW Rail
Llandecwyn,LL47 6YL,52.92068974,-4.05703557,TfW Rail
Llandeilo,SA19 6ND,51.88534914,-3.986890668,TfW Rail
Llandovery,SA20 0BG,51.99531697,-3.802829643,TfW Rail
Llandrindod,LD1 5BB,52.24236348,-3.379138574,TfW Rail
Llandudno,LL30 2AF,53.32092099,-3.827001967,TfW Rail
Llandudno Junction,LL31 9NB,53.28394834,-3.809102638,TfW Rail
Llandybie,SA18 3UN,51.8210403,-4.003648139,TfW Rail
Llanelli,SA15 2RN,51.67387176,-4.161304429,TfW Rail
Llanfairfechan,LL33 0BP,53.2572921,-3.98320346,TfW Rail
Llanfairpwll,LL61 5UJ,53.22095018,-4.209216301,TfW Rail
Llangadog,SA19 9LU,51.9402177,-3.893147851,TfW Rail
Llangammarch,LD4 4EE,52.11430251,-3.554817264,TfW Rail
Llangennech,SA14 8UY,51.69114111,-4.07893029,TfW Rail
Llangynllo,LD7 1SY,52.3496286,-3.161369748,TfW Rail
Llanharan,CF72 9QA,51.53758966,-3.440778927,TfW Rail
Llanhilleth,NP13 2HT,51.70030435,-3.135188128,TfW Rail
Llanishen,CF14 5UW,51.53274973,-3.181978892,TfW Rail
Llanrwst,LL26 0AD,53.13885474,-3.794401827,TfW Rail
Llansamlet,SA7 9RY,51.66150724,-3.884686051,TfW Rail
Llantwit Major,CF61 1ST,51.40975175,-3.481617841,TfW Rail
Llanwrda,SA19 8EH,51.96259135,-3.871674679,TfW Rail
Llanwrtyd,LD5 4RW,52.10471512,-3.63216407,TfW Rail
Llwyngwril,LL37 2JS,52.66678642,-4.087679865,TfW Rail
Llwynypia,CF40 2JJ,51.63400651,-3.453514098,TfW Rail
Loch Awe,PA33 1AQ,56.40202239,-5.041976744,ScotRail
Loch Eil Outward Bound,PH33 7NN,56.85527425,-5.191577978,ScotRail
Lochailort,PH38 4LZ,56.88097054,-5.663396665,ScotRail
Locheilside,PH33 7PN,56.85541355,-5.290037961,ScotRail
Lochgelly,KY5 9EP,56.13533332,-3.312940336,ScotRail
Lochluichart,IV23 2PZ,57.62176279,-4.809050052,ScotRail
Lochwinnoch,PA12 4JF,55.78716164,-4.616076425,ScotRail
Lockerbie,DG11 2HA,55.12305688,-3.353533431,ScotRail
Lockwood,HD1 3UB,53.63473452,-1.800790949,Northern Trains
London Bridge,SE1 3QX,51.50501748,-0.086092086,Network Rail
London Fields,E8 3PH,51.54115137,-0.057753374,London Overground
London Road (Brighton),BN1 4QS,50.83666142,-0.136502345,Govia Thameslink Railway (Southern)
London Road (Guildford),GU1 4DQ,51.24064892,-0.565068976,South Western Railway
Long Buckby,NN6 7QA,52.2947163,-1.086466876,West Midlands Trains (London Northwestern Railway)
Long Eaton,NG10 3GS,52.88498817,-1.287520634,East Midlands Railway
Long Preston,BD23 4NH,54.0168393,-2.255592269,Northern Trains
Longbeck,TS11 6HD,54.58921815,-1.030472968,Northern Trains
Longbridge,B31 2TW,52.39641975,-1.981291771,West Midlands Trains (West Midlands Railway)
Longcross,GU25 4JR,51.38517211,-0.594570008,South Western Railway
Longfield,DA3 7QA,51.39615304,0.300364141,Southeastern
Longniddry,EH32 0LS,55.97648736,-2.888343513,ScotRail
Longport,ST6 4ND,53.04188367,-2.216448136,East Midlands Railway
Longton,ST3 1EZ,52.98995456,-2.137010832,East Midlands Railway
Looe,PL13 1HN,50.35923095,-4.456164804,Great Western Railway
Lostock,BL6 4JP,53.57292954,-2.494266448,Northern Trains
Lostock Gralam,CW9 7NU,53.26766702,-2.46520333,Northern Trains
Lostock Hall,PR5 5NF,53.72424714,-2.687483746,Northern Trains
Lostwithiel,PL22 0EW,50.40718373,-4.665966954,Great Western Railway
Loughborough,LE11 1EX,52.77895479,-1.195928609,East Midlands Railway
