Product ID,UPC ID,Category,Department,Product,Price,Sale Price,Unit Price,Unit,Home Bargains,Promotion
1.00001E+12,5.03858E+12,Laundry & Household,Air Fresheners & Home Fragrance,Yankee Candle Car Jar Black Cherry,£2.50,£2.50,£2.50/each,Each,NO,
1.00017E+12,76171103123,Home & Entertainment,DIY & Car Care,Little Tree Strawberry Car Air Freshener,£1.00,£1.00,£1.00/each,Each,NO,
1.00001E+12,5.03858E+12,Laundry & Household,Air Fresheners & Home Fragrance,Yankee Candle Car Jar Ultimate Black Coconut,£4.00,£4.00,£4.00/each,Each,NO,
1.00015E+12,8.00184E+12,Home & Entertainment,DIY & Car Care,Febreze Air Freshener Car Blossom & Breeze ,£4.00,£4.00,£2.00/each,Each,NO,
1.00001E+12,5.03858E+12,Laundry & Household,Air Fresheners & Home Fragrance,Yankee Candle Car Jar Clean Cotton,£2.50,£2.50,£2.50/each,Each,NO,
1.00015E+12,8.00184E+12,Home & Entertainment,DIY & Car Care,Febreze Air Freshener Car Cotton ,£4.00,£4.00,£2.00/each,Each,NO,
1.00001E+12,5.03858E+12,Laundry & Household,Air Fresheners & Home Fragrance,Yankee Candle Car Jar Fluffy Towels,£2.25,£2.25,£2.25/each,Each,NO,
1.00015E+12,8.00109E+12,Home & Entertainment,DIY & Car Care,Febreze Air Freshener Car Clip Spring Awakening,£2.50,£2.50,£2.50/each,Each,NO,
1.00023E+12,7.61272E+12,Home & Entertainment,DIY & Car Care,Little Trees Air Freshener Orange Juice Fragrance,£1.00,£1.00,£1.00/each,Each,NO,
1.00001E+12,5.03858E+12,Laundry & Household,Air Fresheners & Home Fragrance,Yankee Candle Car Jar Pink Sands,£2.25,£2.25,£2.25/each,Each,NO,
1.00006E+12,5.01056E+12,Laundry & Household,Air Fresheners & Home Fragrance,Jelly Belly Vent Tutti Fruiti,£4.00,£4.00,£2.00/each,Each,NO,
1.00017E+12,7.61272E+12,Home & Entertainment,DIY & Car Care,Little Tree Bubble Gum Car Air Freshener,£1.00,£1.00,£1.00/each,Each,NO,
9.10003E+11,5.01499E+12,Home & Entertainment,DIY & Car Care,Equip L Plates,£2.50,£2.50,£1.25/each,Each,NO,
1.0003E+12,5.05717E+12,Home & Entertainment,DIY & Car Care,Auto Drive Seat Cover,£16.00,£16.00,£16.00/each,Each,NO,
1.0003E+12,5.05717E+12,Home & Entertainment,DIY & Car Care,Auto Drive Car Mat Set,£10.00,£10.00,£10.00/each,Each,NO,
9.10002E+11,7.61272E+12,Laundry & Household,Air Fresheners & Home Fragrance,Little Trees Mai Tai Air Freshener,£1.00,£1.00,£1.00/each,Each,NO,
1E+12,76171103116,Home & Entertainment,DIY & Car Care,Little Trees Air Freshener Wild Cherry,£1.00,£1.00,£1.00/each,Each,NO,
1.00023E+12,8.00184E+12,Home & Entertainment,DIY & Car Care,Febreze Unstoppables Car Air Freshener,£3.00,£3.00,£3.00/each,Each,NO,
1715568,76171101051,Home & Entertainment,DIY & Car Care,Little Trees Vanilla Air Freshener,£1.00,£1.00,£1.00/each,Each,NO,
9.10003E+11,7.61272E+12,Laundry & Household,Air Fresheners & Home Fragrance,Little Trees Air Freshener Sherbet Lemon,£1.00,£1.00,£1.00/each,Each,NO,
9.1E+11,5.01056E+12,Laundry & Household,Air Fresheners & Home Fragrance,Jelly Belly Tutti-Frutti Air Freshener,£2.25,£2.25,£2.25/each,Each,NO,
1715566,76171101891,Laundry & Household,Air Fresheners & Home Fragrance,Little Trees New Car Air Freshener,£1.00,£1.00,£1.00/each,Each,NO,
21344017,76171101556,Laundry & Household,Air Fresheners & Home Fragrance,Little Trees Black Ice Air Freshener,£1.00,£1.00,£1.00/each,Each,NO,
9.10001E+11,79118000011,Home & Entertainment,DIY & Car Care,Rain-X Windscreen Repair Kit,£7.50,£7.50,£7.50/each,Each,NO,
1.0003E+12,5.05717E+12,Home & Entertainment,DIY & Car Care,Auto Drive Universal Car Windshield Dashboard Suction Cup 360 degree Mount Holder Stand,£5.00,£5.00,£5.00/each,Each,NO,
1.0003E+12,5.05717E+12,Home & Entertainment,DIY & Car Care,Auto Drive Dashboard Car Phone Holder,£4.00,£4.00,£4.00/each,Each,NO,
1.0003E+12,5.05717E+12,Home & Entertainment,DIY & Car Care,Auto Drive Car Mat Set,£12.00,£12.00,£12.00/each,Each,NO,
1.00019E+12,5.01037E+12,Home & Entertainment,DIY & Car Care,CarPlan Blue Star De-Icer Trigger Spray,£2.00,£2.00,£4.00/lt,Each,NO,
1.0003E+12,5.05717E+12,Home & Entertainment,DIY & Car Care,ASDA Extreme Screenwash,£3.00,£3.00,£1.20/lt,Each,NO,
