GTIN,Category,Sub Category,Product,Brand,Price,Unit Price,Unit,Offer
5017079000102,Frozen,World Foods,Taj Family Cut Okra,Taj,2.75,2.75,per kg,
5010238013814,Step Into Summer,Ice Cream Parlour,Cadbury Flake Ice Cream Tub,Cadbury,2.99,0.623,per 100ml,
5391527075806,Frozen,"Pizza, Garlic Bread & Party",Goodfella's Deep Pan Baked Meat Feast,Goodfella's,2.5,6.02,per kg,
5010251464242,Frozen,Vegetables & Sides,Morrisons Chargrilled Vegetables,Morrisons,1.49,2.98,per kg,
5010525023946,Frozen,Pies,Morrisons Roast Chicken Family Pie,Morrisons,2.6,3.71,per kg,
5010084201038,Frozen,"Ice Cream, Desserts & Fruits",Jus Rol Vol Au Vent 18 Medium,Jus Rol,2.0,6.39,per kg,
5010251755487,Frozen,"Ice Cream, Desserts & Fruits",Morrisons Lemon Tart ,Morrisons,1.6,0.333,per 100g,
5010251777878,Frozen,Easy Meal Times, Morrisons Counted Chicken Curry,Morrisons,1.5,4.29,per kg,
5000204732085,Household,Air Fresheners,Glade Automatic Spray Refill Clean Linen Air Freshener,Glade,3.0,1.12,per 100ml,
8711577004156,Household,Cleaning Cupboard,HG Kitchen Grease Away,HG,2.9,5.8,per litre,
5010303163871,Home & Garden,"Laundry, Cleaning & Storage",Addis Metallic Graphite ComfiGrip Tile and Grout Cleaning Brush  ,Addis,2.49,2.49,each,
5000325051614,Household,Cleaning Cupboard,Bloo Total Bathroom Lemon Trigger Spray ,Bloo,2.0,2.67,per litre,
8001841678368,Household,Laundry,Bold 2 In 1 Washing Liquid Gel Sparkling Bloom & Poppy,Bold,8.0,4.5,per litre,
5010251629801,Frozen,Chicken & Meat,Morrisons 4 Lamb Grills Steaks,Morrisons,2.0,5.88,per kg,
5010251464150,Frozen,Vegetables & Sides,Morrisons 4 White Rice,Morrisons,1.99,2.49,per kg,
5010251733430,Frozen,Ready Meals,Morrisons Chicken Arrabiata & Tomato Pasta Bake ,Morrisons,0.99,2.48,per kg,
5010251733355,Frozen,Ready Meals,Morrisons Chicken Hotpot,Morrisons,0.99,2.48,per kg,
5010251931034,Frozen,"Ice Cream, Desserts & Fruits",Morrisons Blackforest Fruits ,Morrisons,1.99,0.398,per 100g,
5010251881599,Frozen,Easy Meal Times,Morrisons Salted Caramel Ice Cream,Morrisons,1.69,0.188,per 100ml,
5019503023817,Inspiration,Party Shop,Quorn Vegetarian Southern Fried Bites,Quorn,2.0,6.67,per kg,
5023472021828,Frozen,Chicken & Meat,Hank & Joe's Diced Chicken Breast,Hank & Joes,3.0,6.0,per kg,
5010251795155,Frozen,Chicken & Meat,Morrisons Lean Beef Mince 5% Fat ,Morrisons,3.79,7.58,per kg,
5010228005355,Frozen,Chips & Potatoes,Mccain Home Chips Lighter Straight Cut,McCain,3.5,2.19,per kg,
5019312081824,Frozen,"Pizza, Garlic Bread & Party",Chicago Town Deep Dish Mega Meaty Pizzas,Chicago Town,1.25,0.625,each,
8023354080919,"Beer, Wines & Spirits",Wine & Champagne,Masseria Pietrosa Verdeca ,Hallgarten Wines,6.5,6.5,per 75cl,"Offer price £6.50, was £8.50"
5010251608462,Value Shop,Price Cuts,Morrisons Dark Rum,Morrisons,5.75,16.4252,per litre,"Offer price £5.75, was £7.25"
5011885008420,"Beer, Wines & Spirits",Beer,Fullers Organic Honey Dew        ,Fullers,2.0,4.0,per litre,Buy 4 products for the price of 3
5060472970282,"Beer, Wines & Spirits",Craft,Wilde Child Shoot To Thrill Southern Hemisphere Ipa,Wild Child Brewing Company,1.5,3.41,per litre,Buy 4 products for the price of 3
8714800038195,"Beer, Wines & Spirits",Lager,Bavaria Premium Beer,Bavaria,1.5,3.0,per litre,Buy 4 products for the price of 3
4015400680352,Toiletries & Beauty,Feminine Care,Always Dailies Singles Panty Liners Fresh 20 liners,Always,1.0,0.05,each,
4005808230860,Toiletries & Beauty,Deodorants & Body Sprays,"NIVEA Anti-Perspirant Deodorant Spray, Double Effect, 48 Hours Deo",Nivea,1.75,1.17,per 100ml,
5000347090967,Toiletries & Beauty,Dental Care,"Aquafresh Baby Toothpaste Milk Teeth 0-2 Years,",Aquafresh,1.25,2.5,per 100ml,
5060152097018,"Beer, Wines & Spirits",Wine & Champagne,The Signal Post Chenin Blanc,The Signal Post,7.0,7.0,per 75cl,Buy 3 for £15
8594404110110,"Beer, Wines & Spirits",Lager,Pilsner Urquell,Pilsner Urquell,2.0,4.0,per litre,Buy 4 products for the price of 3
7809623804810,"Beer, Wines & Spirits",Wine & Champagne,Zarper Sauvignon Blanc Gran Reserva,Zarper,6.0,6.0,per 75cl,"Offer price £6, was £8.25"
5027342001316,Vegan,"Beers, Wine & Spirits ",Brothers Toffee Apple Premium Cider Bottle,Brothers Cider,2.2,4.4,per litre,Buy 4 products for the price of 3
