Store Postcode,Detatched,Semi-Detatched,Terraced,Flat (Purpose Built),Flat (Converted),Residence in Commercial Building,Owned Outright,Owned with Mortgage,Shared Ownership,Rented: From Council,Rented: Other Social,Rented: Private Landlord,Rented: Other,Rent Free,One Person,Two People,Three People,Four People,Five People,Six People,Seven People,8+ People,AB,C1,C2,DE,Male,Female,0 to 4,5 to 7,8 to 9,10 to 14,15,16 to 17,18 to 19,20 to 24,25 to 29,30 to 44,45 to 59,60 to 64,65 to 74,75 to 84,85 to 89,90+,Single,Married,Divorced,Separated,Widowed,Same Sex,Very Good,Good,Fair,Bad,Very Bad,Degree or similar,Apprenticeship,"HNC, HND or 2+ A Levels","5+ GCSE, an A-Level or 1-2 AS Levels",1-4 GCSEs or Equivalent,No GCSEs or Equivalent,Other,White,Mixed Ethnicity,Indian,Bangladeshi,Chinese,Other Asian,Black African,Other,England,Wales,Scotland,Northern Ireland,Republic of Ireland,European Union,Other,United Kingdom,Republic of Ireland,Europe (including European Union),African Countries,Middle East or Asia,North America or Caribbean,Central America,South America,Oceania,None,Christian,No Religion,Buddhist,Hindu,Jewish,Muslim,Sikh,Other Religion,Not Stated,Full-Time Employee,Part-Time Employee,Self Employed,Unemployed,Full-Time Student,Retired,Looking after Home or Family,Long Term Sick or Disabled,Other
FK4 1TL,14,13,22,5,1,NA,12,21,0,18,0,1,1,0,16,18,9,7,2,0,1,0,4,8,10,14,55,69,3,6,3,7,2,2,3,7,6,25,30,8,17,4,1,0,39,46,9,0,9,0,50,41,14,16,3,18,NA,NA,NA,NA,42,NA,123,NA,1,NA,NA,NA,NA,NA,6,1,116,0,0,0,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,0,0,0,0,1,0,3,27,13,7,6,7,24,7,6,1
YO26 7PY,76,16,21,2,1,3,38,51,0,3,0,23,2,2,25,46,17,24,5,2,0,0,46,23,17,5,151,150,16,12,8,25,9,8,5,7,12,64,74,20,23,14,2,2,37,163,19,2,10,0,178,98,18,6,1,102,9,33,38,20,21,8,298,1,NA,NA,NA,NA,NA,NA,288,2,4,1,0,2,4,288,0,0,0,1,0,0,0,0,12,221,54,0,0,1,0,0,0,25,96,28,35,4,15,28,7,0,0
PA3 4RL,0,0,4,47,0,NA,13,12,0,16,0,0,NA,4,31,12,1,1,0,0,0,0,1,9,9,10,36,26,0,0,0,1,0,2,1,3,1,8,16,8,13,5,4,0,21,22,8,3,7,0,19,24,14,5,0,9,NA,NA,NA,NA,33,NA,61,NA,NA,NA,NA,NA,NA,1,1,0,60,0,0,1,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,0,0,0,0,0,0,3,15,8,1,1,3,18,0,4,2
OX18 3LX,24,51,36,1,1,2,27,44,1,4,21,12,2,3,31,43,22,15,2,1,0,0,18,26,24,16,124,135,13,7,5,13,6,3,7,7,11,53,63,29,22,12,7,1,52,117,24,5,17,0,119,93,34,9,4,50,8,28,34,34,52,9,257,1,NA,NA,NA,1,NA,NA,232,2,4,1,2,7,11,191,2,5,0,1,0,0,0,0,61,189,51,2,0,0,0,0,0,17,95,23,23,4,6,26,10,7,1
YO25 8RH,89,63,32,3,5,1,62,92,1,0,3,26,2,2,53,64,31,30,8,1,1,0,46,55,35,12,236,221,24,23,8,35,10,8,6,17,24,109,105,34,32,16,4,2,84,217,31,5,18,2,264,138,45,8,2,116,24,40,60,51,48,18,450,3,4,NA,NA,NA,NA,NA,433,2,5,2,1,4,10,401,1,5,0,0,1,0,0,1,49,314,98,0,4,0,0,0,6,35,136,46,53,9,14,47,12,13,5
LL55 3LH,16,4,139,1,2,3,47,51,0,3,1,46,2,2,58,44,23,18,7,2,0,0,9,34,31,52,180,154,26,7,4,28,2,8,10,35,22,69,62,26,22,12,1,0,120,96,25,10,16,0,180,85,50,14,5,44,25,30,49,46,60,13,330,3,NA,NA,NA,1,NA,NA,59,269,1,0,1,1,NA,218,1,1,0,1,0,0,0,1,112,203,94,3,0,1,0,0,3,30,90,37,18,19,16,32,12,19,11
DE21 7DJ,29,59,31,9,0,2,46,58,0,2,0,15,1,0,32,46,22,16,5,1,0,0,6,26,34,23,143,142,15,3,8,19,3,12,6,13,23,55,62,17,22,19,5,3,82,112,18,11,14,0,122,111,39,10,3,40,21,42,40,40,49,5,273,5,1,NA,1,NA,3,1,273,2,4,0,0,1,5,223,0,0,3,2,0,0,0,0,57,188,74,2,0,0,0,1,1,19,86,44,19,6,17,27,3,5,3
YO62 5DX,41,41,35,27,0,5,52,14,8,1,18,26,2,2,53,43,12,11,4,0,0,0,15,19,22,21,120,119,11,7,3,12,0,4,7,8,12,41,53,18,27,26,7,3,55,90,29,8,24,0,95,88,43,9,4,73,7,15,33,33,39,6,234,1,NA,NA,NA,NA,4,NA,212,3,5,2,1,5,11,166,1,5,4,0,3,0,0,2,60,167,58,1,0,0,0,0,2,11,61,29,31,6,6,25,5,4,3
M5 4WT,13,29,71,10,0,1,8,32,0,26,26,11,3,3,26,38,31,6,4,4,0,0,17,19,21,38,126,137,10,5,4,26,5,12,12,21,17,62,60,8,12,7,1,1,124,52,20,8,7,2,131,76,35,17,4,50,6,24,39,36,52,6,242,NA,1,NA,5,NA,NA,15,239,4,1,0,0,2,17,217,0,3,8,7,0,0,0,0,34,153,77,1,1,0,11,0,1,19,70,36,8,17,30,13,9,15,6
BT41 3QZ,67,47,18,1,0,NA,49,44,0,17,0,15,3,2,29,27,19,27,15,9,4,0,8,20,38,30,206,199,44,26,17,26,7,9,8,29,21,92,66,11,28,17,4,0,91,149,9,15,21,0,238,103,40,21,3,59,11,29,50,42,84,10,400,3,1,NA,NA,NA,NA,NA,8,0,2,382,2,9,2,163,2,9,0,0,1,0,0,4,123,NA,12,NA,NA,NA,NA,NA,1,11,98,37,35,12,19,28,9,17,9
SA2 8PP,5,10,2,52,0,1,6,5,1,9,0,45,NA,3,33,25,7,4,0,0,0,0,3,9,5,7,477,517,4,3,0,6,0,1,570,267,28,27,14,7,24,29,11,3,878,77,10,1,15,0,575,315,75,23,6,89,5,676,93,17,49,52,865,20,16,2,33,11,21,NA,481,341,5,2,1,32,20,850,1,43,31,42,8,0,1,2,33,393,472,9,13,2,41,3,7,54,28,9,5,4,857,25,3,5,2
YO23 1JJ,1,8,91,39,4,20,22,34,1,24,12,55,2,3,66,54,16,13,3,1,0,0,51,45,15,27,158,137,21,4,3,10,1,5,7,31,38,96,47,12,8,10,2,0,129,83,24,10,8,2,166,85,32,8,4,128,8,30,33,19,30,8,273,6,4,NA,NA,2,6,1,241,3,8,0,2,13,28,211,2,16,0,2,9,3,1,2,51,130,132,4,1,1,2,1,0,24,118,34,10,10,39,15,10,6,2
B65 0NW,11,78,35,1,1,NA,35,38,0,37,0,10,NA,3,22,46,19,15,9,8,1,3,5,26,27,33,179,178,29,17,10,33,6,10,15,23,26,66,59,11,31,16,2,3,104,118,17,6,17,0,176,105,48,22,6,33,10,25,40,39,101,14,233,11,11,20,NA,6,13,10,296,0,0,1,0,7,53,233,0,6,8,11,9,0,0,0,89,196,73,4,0,0,51,20,0,13,77,35,17,11,27,34,19,15,6
BT82 9AF,54,99,222,56,4,5,99,78,0,107,30,71,5,20,183,107,50,43,18,8,0,1,17,50,35,161,436,429,48,33,14,42,11,19,16,60,45,155,165,70,95,75,13,4,308,230,40,40,99,0,300,252,222,68,23,83,17,38,70,76,412,21,851,3,NA,NA,NA,6,NA,5,16,1,5,770,60,3,10,295,60,3,0,5,3,0,0,0,280,NA,22,NA,NA,NA,NA,NA,6,78,133,73,13,71,39,126,30,95,45
PL6 8BH,3,4,13,90,2,1,3,6,0,3,7,15,25,5,58,3,0,2,1,0,0,0,37,11,5,5,228,330,3,0,1,1,0,0,209,227,27,34,16,4,3,5,8,20,481,22,14,6,30,0,324,177,42,13,2,85,7,259,67,43,36,56,440,11,9,1,12,78,2,3,390,9,5,6,4,22,122,375,4,19,3,98,3,0,0,1,63,242,181,8,8,1,68,0,1,49,47,6,1,2,441,3,1,13,6
PL2 2ND,7,103,9,2,0,NA,20,32,0,48,15,4,NA,0,16,40,20,27,10,3,2,1,5,20,24,45,174,180,29,20,11,40,8,16,10,11,16,77,60,21,23,11,1,0,93,96,34,11,12,0,174,100,45,30,5,19,8,24,50,37,100,8,332,11,NA,NA,NA,10,NA,NA,320,6,5,1,2,13,7,185,2,10,0,10,0,0,0,0,149,178,149,0,0,0,5,0,0,22,71,34,10,12,27,36,18,23,3
IP30 9QT,85,35,14,0,1,NA,62,49,0,3,5,9,NA,4,28,62,18,17,4,3,0,0,22,24,20,15,153,159,8,5,1,24,2,9,6,21,11,40,78,29,43,28,6,1,65,162,25,4,16,0,147,119,36,8,2,82,11,36,43,37,53,10,303,6,1,NA,NA,NA,NA,NA,292,2,6,0,0,5,7,249,0,5,1,0,1,0,0,4,57,217,71,1,1,0,0,0,1,21,75,47,35,8,11,50,3,5,3
SO21 2RG,112,18,27,2,1,NA,65,62,3,6,0,12,3,2,24,59,31,31,6,2,0,0,50,35,19,5,286,224,25,12,12,27,7,17,21,35,40,110,110,26,43,17,6,2,144,219,21,15,22,6,305,160,32,6,7,181,14,57,82,44,31,18,468,11,2,NA,1,10,14,NA,415,9,18,2,2,17,47,449,2,13,14,7,6,0,0,2,23,333,134,1,8,0,3,0,1,30,227,51,47,6,15,42,11,1,2
GL20 5EN,5,32,29,56,1,3,18,25,0,10,62,8,1,0,46,45,14,11,6,2,0,0,9,14,27,43,127,137,25,10,5,18,0,3,10,15,16,51,46,23,30,11,1,0,67,75,42,6,16,0,88,106,53,13,4,17,8,15,35,48,77,6,262,1,1,NA,NA,NA,NA,NA,243,6,3,1,0,6,5,163,0,0,0,0,0,0,0,1,101,138,109,1,0,0,0,0,1,15,55,42,13,13,3,37,11,16,4
SY23 3SR,19,38,31,0,6,1,30,21,0,1,6,31,2,4,28,33,13,8,8,3,1,1,12,33,19,12,122,117,7,5,4,8,2,4,7,69,12,36,46,14,15,9,1,0,121,67,13,6,6,0,131,68,33,7,0,54,9,68,21,22,33,6,225,8,3,NA,NA,NA,NA,NA,83,137,1,0,3,7,2,188,3,8,0,1,2,0,0,0,38,139,85,0,0,0,1,0,1,13,76,22,13,3,64,15,5,2,3
ST6 7AH,18,76,13,16,1,NA,53,36,0,10,13,7,1,2,45,43,17,13,1,1,2,0,10,26,20,33,128,137,10,5,2,18,5,5,4,9,7,37,84,25,33,17,2,2,60,124,19,6,16,0,90,112,38,19,6,23,7,27,35,33,91,9,240,6,NA,NA,NA,5,6,1,248,2,2,0,0,1,12,203,0,1,2,1,0,0,0,0,58,190,49,0,0,0,7,4,0,15,69,27,15,11,14,40,7,20,1
BT71 6NR,125,26,5,6,0,1,74,62,0,0,1,12,1,4,23,59,26,22,18,5,1,0,25,29,35,21,220,214,35,19,15,23,4,10,9,18,34,90,80,32,42,19,2,2,93,218,7,4,16,0,218,135,60,14,7,86,18,45,39,37,102,11,434,NA,NA,NA,NA,NA,NA,NA,6,0,3,416,2,3,4,287,2,3,0,0,2,0,0,0,99,NA,10,NA,NA,NA,NA,NA,6,17,130,37,34,8,17,50,12,17,10
BR7 5NP,11,28,41,24,15,6,30,56,0,0,4,26,NA,2,37,40,22,14,4,1,0,0,47,37,7,4,131,134,21,2,4,14,2,2,3,12,20,75,64,9,19,16,2,0,75,112,17,8,10,0,133,102,20,7,3,113,2,37,19,21,22,8,227,8,17,NA,2,1,5,3,205,2,7,2,0,16,33,232,0,16,3,7,2,0,0,6,11,152,68,2,12,2,0,0,5,24,107,18,35,3,11,13,10,2,5
BT45 5PP,70,44,15,8,0,NA,50,52,1,5,0,21,NA,1,26,41,22,24,9,8,0,0,16,20,42,24,184,179,33,17,15,20,4,8,8,21,24,93,60,16,19,19,4,2,73,166,7,13,15,0,166,135,48,14,0,55,15,39,46,30,77,12,356,1,3,NA,2,NA,NA,1,6,0,1,334,1,16,5,221,1,14,0,0,0,0,0,0,108,NA,21,NA,NA,NA,NA,NA,8,10,94,35,32,11,23,23,14,12,5
IV30 5SJ,21,22,11,0,0,3,21,18,0,10,1,4,1,0,18,14,11,7,4,1,0,0,8,14,9,6,62,71,10,0,8,13,2,4,2,4,8,27,28,6,10,9,2,0,23,52,7,3,15,0,72,43,13,4,1,26,NA,NA,NA,NA,27,NA,127,1,NA,NA,1,3,NA,NA,26,1,98,3,0,1,4,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,0,0,0,0,0,0,15,33,21,8,1,7,12,6,0,1
NG7 2UH,18,10,2,11,15,NA,12,5,0,0,23,13,NA,0,23,14,4,4,3,1,4,0,5,12,1,5,75,65,2,2,0,3,0,3,7,39,8,13,14,5,23,19,2,0,71,36,10,1,15,0,53,51,30,6,0,44,3,32,9,2,38,5,91,1,16,8,10,4,NA,4,103,1,0,1,0,3,32,108,0,2,0,14,0,0,0,0,16,58,43,0,14,2,13,4,2,4,17,2,3,3,52,25,3,7,0
B15 3SX,62,7,6,58,2,2,51,32,1,0,5,17,6,3,29,40,15,15,7,5,2,2,40,27,9,5,642,726,21,9,5,19,2,8,662,353,36,51,54,23,36,31,33,25,1076,152,12,5,67,0,808,422,98,26,14,216,3,848,95,29,72,49,991,34,118,3,70,33,32,28,1044,24,13,2,7,44,234,1117,7,38,12,120,19,0,2,8,72,529,470,16,63,58,81,50,6,95,71,22,39,8,1034,32,7,5,5
WR6 6PA,111,19,1,0,4,3,64,39,0,2,1,20,2,1,32,53,11,21,9,3,0,0,34,22,22,9,160,158,12,13,6,27,3,5,9,11,11,49,79,28,36,24,4,1,61,154,14,7,21,0,180,96,30,8,4,90,6,29,39,36,42,15,310,NA,4,1,1,2,NA,NA,292,7,4,0,0,5,10,282,0,3,0,1,0,0,0,3,31,231,68,2,0,0,0,0,0,17,59,34,58,3,12,46,9,4,3
NG25 0UL,129,28,8,2,0,1,82,69,1,0,0,10,1,2,30,76,19,24,12,4,0,0,46,43,14,10,201,218,10,17,11,41,6,11,7,10,11,79,99,25,49,35,7,1,54,238,17,12,13,0,222,135,50,11,1,151,12,38,57,30,37,9,400,9,6,NA,NA,1,NA,1,388,4,8,2,5,3,9,376,5,2,0,1,1,0,0,0,35,307,68,1,6,0,1,0,0,36,104,43,43,4,16,60,13,4,4
BT35 8ND,99,38,1,1,0,NA,62,58,1,1,1,7,3,2,33,35,16,19,19,11,2,0,17,22,35,19,199,203,26,15,7,25,3,26,11,33,19,80,78,19,34,22,3,1,117,171,9,8,21,0,230,107,55,7,3,78,18,39,55,38,81,17,402,NA,NA,NA,NA,NA,NA,NA,9,1,2,363,24,2,1,101,24,2,0,0,1,0,0,0,52,NA,10,NA,NA,NA,NA,NA,1,36,89,40,43,10,43,41,15,15,4
BT61 8EA,122,21,1,0,0,NA,71,46,0,1,0,11,3,8,32,28,31,24,12,9,2,2,16,15,35,23,213,209,33,11,10,22,5,14,14,27,25,77,91,21,42,22,7,1,134,173,8,6,20,0,231,117,52,18,4,71,16,36,44,46,115,13,419,1,NA,NA,2,NA,NA,NA,6,0,2,406,5,1,2,186,5,1,1,0,0,0,0,0,91,NA,14,NA,NA,NA,NA,NA,2,14,101,37,50,13,32,43,11,18,6
B14 6ND,4,77,16,16,2,3,34,37,2,21,2,17,1,2,37,42,20,8,5,3,1,0,19,25,23,22,135,128,14,14,6,23,1,4,3,14,21,49,60,16,26,8,3,1,77,85,20,12,10,1,109,109,34,9,2,46,4,25,35,33,54,8,195,16,6,12,1,2,1,1,221,1,1,2,18,2,18,199,18,0,1,1,2,0,0,1,39,151,53,0,3,1,32,3,1,19,70,32,18,11,12,28,8,5,9
DY9 8LQ,16,34,16,37,23,77,37,19,0,3,0,94,5,0,93,30,17,9,0,6,1,2,14,15,53,60,162,137,13,9,4,18,2,9,9,24,34,74,74,9,8,9,3,0,116,80,30,11,16,0,104,117,45,30,3,31,6,32,49,41,76,18,224,4,13,NA,9,6,NA,4,235,3,10,0,1,9,41,192,1,10,2,13,0,0,0,0,83,129,94,0,4,0,48,6,0,18,99,17,20,28,16,13,13,29,6
TW18 3HF,13,82,18,48,11,1,38,91,0,5,1,28,2,0,54,49,26,27,7,2,0,0,46,53,23,20,198,187,27,12,10,8,5,5,4,26,40,124,73,18,19,10,2,2,138,139,26,3,15,2,232,105,37,11,0,120,13,36,40,42,49,23,331,15,12,NA,2,8,5,11,298,0,8,3,10,16,50,297,10,16,14,8,5,0,2,1,39,249,89,3,8,0,8,8,0,20,165,43,28,9,23,26,7,4,4
M27 5XB,4,12,104,10,0,3,33,43,0,5,19,25,2,2,40,52,22,8,5,2,0,0,10,50,21,23,136,143,19,9,8,18,2,5,8,5,25,69,47,30,22,9,1,2,86,90,33,5,9,0,128,101,37,12,1,53,12,31,30,29,59,9,271,3,NA,1,NA,NA,1,1,266,1,2,0,1,5,4,215,1,2,1,0,1,0,0,0,60,184,74,0,0,0,2,0,5,14,92,21,19,11,14,32,8,10,4
GU10 3PY,95,26,3,19,1,2,76,51,0,1,0,9,2,1,41,45,19,20,11,4,0,0,40,29,8,4,169,178,22,14,10,28,6,10,5,8,11,62,66,22,38,28,13,4,57,160,16,6,28,0,208,111,25,0,3,140,7,27,39,16,26,12,324,8,1,NA,NA,3,NA,NA,290,6,8,3,2,13,25,309,2,10,4,3,2,0,1,1,21,233,83,0,0,0,8,0,3,20,67,32,40,5,16,45,14,0,3
B13 0HD,5,38,13,62,1,3,22,22,0,52,1,16,2,5,51,42,11,7,5,4,0,0,9,20,26,38,124,121,12,6,2,11,1,9,8,21,10,53,64,10,22,11,5,0,92,75,16,10,19,1,88,86,48,16,7,42,4,27,19,35,74,12,172,4,15,NA,1,4,2,8,191,1,0,3,4,6,40,172,4,12,2,3,1,0,0,0,55,114,63,0,11,0,36,0,1,20,71,27,7,11,24,21,14,17,5
TS6 9RX,8,48,60,4,0,4,20,23,0,49,20,9,NA,1,35,43,24,15,5,0,0,0,8,16,13,46,132,146,19,8,5,20,5,14,13,20,21,50,39,11,32,20,1,0,101,67,22,8,23,0,108,83,59,24,4,18,7,16,32,37,97,14,271,7,NA,NA,NA,NA,NA,NA,271,0,4,0,0,1,2,173,0,1,0,0,0,0,0,0,104,196,73,0,0,0,1,0,0,8,58,29,7,21,20,36,12,13,4
AB42 5EH,55,14,1,0,0,NA,42,26,0,0,0,2,NA,0,16,30,9,13,2,0,0,0,6,16,16,7,82,84,7,2,3,8,3,5,5,6,7,27,38,13,24,14,4,0,30,90,9,4,10,0,85,63,12,4,2,27,NA,NA,NA,NA,34,NA,162,1,NA,NA,3,NA,NA,NA,18,0,145,0,0,1,2,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,64,0,0,0,0,0,0,8,53,22,8,5,6,25,4,0,2
BT44 0RS,94,65,55,50,2,7,82,47,0,19,15,28,4,8,75,55,26,24,13,7,2,1,17,42,34,38,250,238,27,8,7,24,7,12,14,30,35,82,111,36,55,33,5,2,160,180,19,21,34,1,195,173,96,11,13,93,18,45,69,49,116,25,486,1,NA,NA,1,NA,NA,NA,13,0,5,444,12,8,6,199,12,9,0,0,3,0,0,1,122,NA,18,NA,NA,NA,NA,NA,1,44,116,39,35,23,31,63,12,37,19
BL9 9LD,27,71,0,23,4,NA,43,41,0,27,1,9,NA,2,53,26,20,19,2,2,1,0,13,35,20,25,145,125,6,6,4,17,6,7,7,19,22,44,69,25,21,10,6,1,79,101,28,5,18,0,128,98,30,13,1,59,14,30,37,31,43,17,235,3,NA,NA,1,3,7,NA,234,5,1,0,6,8,16,212,6,8,1,6,0,0,0,0,44,187,37,0,0,4,26,0,2,14,80,34,21,11,15,29,8,12,4
ST18 0AQ,15,31,1,0,1,NA,10,3,0,0,4,4,18,1,4,15,7,11,3,0,0,0,16,6,11,4,378,83,13,2,4,7,1,4,26,170,103,93,25,7,4,1,0,1,309,83,19,20,2,1,310,137,14,0,0,77,16,98,104,68,47,24,369,10,3,1,5,59,2,2,322,13,26,6,3,16,75,363,3,1,2,60,1,0,0,3,29,287,78,15,37,0,10,2,0,32,359,33,13,2,12,1,7,2,3
WD18 0PR,4,8,8,63,44,47,12,20,1,2,5,114,4,1,74,46,14,14,4,5,2,0,27,48,26,44,179,150,26,3,4,4,2,2,2,33,86,104,43,3,12,3,1,1,127,118,28,12,5,0,155,129,31,11,3,90,1,31,33,23,40,72,188,22,19,NA,1,36,21,14,118,1,3,1,7,79,120,118,7,90,25,43,2,0,3,3,39,157,60,12,30,0,44,4,1,21,138,26,40,14,27,6,12,10,12
CH5 3LZ,73,41,8,0,0,1,38,46,1,12,2,18,1,4,28,42,25,22,5,0,0,0,18,38,20,19,155,165,14,12,11,20,0,5,8,19,16,70,65,19,31,15,5,10,80,113,28,9,33,0,162,94,44,16,4,66,17,34,47,44,49,6,319,NA,NA,NA,1,NA,NA,NA,174,133,3,2,2,4,NA,265,2,0,0,0,0,0,0,1,52,210,82,0,0,1,0,0,1,26,87,38,32,8,13,34,7,9,5
WR4 0DZ,50,67,63,2,1,1,17,70,0,3,47,38,1,2,27,53,37,41,9,8,1,2,46,55,28,38,252,277,62,36,27,57,13,16,12,21,42,154,68,5,8,7,0,1,110,169,35,14,6,0,317,168,33,10,1,110,3,40,69,47,50,15,496,5,9,NA,3,8,NA,NA,476,8,1,0,5,13,26,389,5,12,0,6,0,0,3,1,115,317,160,3,8,0,7,0,1,33,164,58,31,12,27,6,23,1,4
LS24 8AB,7,58,39,6,7,21,18,36,0,1,1,46,4,12,47,31,14,16,8,2,0,0,12,29,17,27,132,135,16,9,7,15,2,7,8,25,7,54,61,11,26,10,6,3,76,90,18,11,23,0,144,76,35,9,3,42,16,27,45,32,52,4,261,NA,NA,NA,NA,NA,6,NA,249,1,4,1,0,2,10,199,0,0,6,0,0,0,0,3,62,191,58,0,0,0,0,0,1,17,89,23,22,10,10,29,7,5,4
HG4 2PE,27,22,47,12,1,NA,34,36,0,21,2,10,NA,1,27,46,13,11,5,2,0,0,6,23,20,23,106,133,16,9,8,18,1,5,8,10,6,50,44,17,24,18,5,0,50,99,17,4,17,0,104,93,30,10,2,23,9,24,38,30,57,6,235,2,NA,NA,NA,NA,2,NA,219,1,5,2,0,2,10,172,0,0,2,0,4,0,0,0,61,158,60,0,0,2,0,0,0,19,67,24,15,5,11,26,9,6,1
TQ12 2BG,5,11,72,18,17,19,27,44,4,1,2,48,5,4,48,47,15,15,3,5,1,1,12,36,26,33,159,148,19,14,6,15,4,10,7,22,19,64,68,18,20,12,7,2,85,107,32,9,15,1,135,118,39,14,1,48,17,37,35,55,51,6,290,5,NA,3,8,NA,NA,1,278,5,8,0,0,8,8,214,0,12,0,0,0,0,0,1,81,172,111,1,0,0,0,0,0,23,100,43,25,7,14,22,7,9,1
CV12 9BG,5,53,44,33,2,4,10,13,0,81,15,13,NA,6,91,35,6,3,3,0,0,0,4,10,12,26,89,117,8,2,1,4,2,0,2,10,4,22,27,20,42,40,16,6,36,69,24,8,52,0,36,58,59,37,16,8,1,11,9,24,132,4,201,3,1,NA,NA,NA,1,NA,189,2,6,2,4,1,2,121,4,1,0,0,0,0,0,0,80,167,30,0,0,0,0,1,0,8,43,11,2,2,4,50,5,7,3
RG24 9NA,8,15,64,29,0,NA,9,61,2,0,14,26,2,0,23,51,23,15,2,0,0,0,44,40,17,11,146,136,36,8,4,5,1,2,2,33,60,95,19,1,5,9,2,0,117,86,12,4,7,2,159,93,9,12,9,90,4,32,40,27,27,8,251,5,11,NA,NA,5,4,1,227,6,5,2,0,20,22,194,0,19,6,11,0,0,0,1,52,129,116,0,7,0,7,4,0,19,148,20,11,2,9,4,9,13,1
SE12 9QL,8,42,11,72,2,2,75,28,0,3,6,12,NA,2,68,28,12,7,5,3,3,0,7,18,10,10,115,137,11,5,2,16,2,6,7,12,8,29,44,10,38,49,3,10,53,88,21,4,48,2,82,99,57,9,5,45,6,23,35,14,71,22,174,8,3,NA,8,4,12,12,182,2,3,2,3,21,39,188,3,19,7,6,0,0,0,1,31,151,51,3,9,0,17,2,4,15,50,21,18,3,9,38,5,7,3
CV1 5FB,3,4,30,53,1,NA,3,4,0,0,11,68,4,0,50,12,16,10,1,1,0,0,3,78,3,5,112,62,3,2,1,0,0,0,34,88,31,12,2,0,1,0,0,0,148,11,2,6,1,0,109,56,7,1,1,47,0,71,12,4,5,29,87,3,33,3,11,2,5,14,75,1,1,0,1,26,70,75,1,30,4,57,1,0,0,0,7,54,53,0,19,1,35,6,0,6,14,3,7,2,138,1,1,1,1
CF37 1SG,13,21,91,16,19,9,21,25,0,1,18,78,4,4,33,53,26,22,9,6,1,1,8,89,10,33,220,182,18,10,6,14,1,5,26,147,45,65,42,8,10,4,0,1,263,63,21,4,2,0,222,116,42,19,3,83,8,122,35,27,43,35,292,7,18,2,18,3,45,NA,74,195,6,1,3,14,14,221,3,16,54,34,2,1,0,6,67,162,171,11,3,3,16,0,5,31,46,23,4,9,215,13,12,21,5
PL31 2HL,2,13,22,35,18,46,9,19,0,4,3,72,6,0,66,25,9,6,3,3,0,1,9,25,25,43,121,89,6,3,5,3,3,8,10,15,23,63,50,7,8,4,2,0,97,44,31,9,9,0,88,86,21,11,4,34,2,21,36,39,36,22,183,5,1,NA,NA,21,NA,NA,139,2,0,0,1,39,29,102,1,35,1,21,0,0,0,1,49,121,73,4,1,0,2,0,0,9,88,20,20,14,14,8,2,12,6
CV22 5NU,6,112,1,1,2,4,33,38,0,2,31,15,2,3,25,52,17,24,5,1,0,0,18,37,24,16,159,156,21,11,8,24,4,8,1,7,23,71,60,27,25,16,9,0,76,126,20,8,17,0,123,119,61,10,2,77,13,35,31,30,46,15,280,4,10,NA,NA,14,3,NA,254,6,4,1,3,14,33,231,3,15,1,10,3,0,0,1,57,193,75,1,15,0,0,4,1,26,93,24,24,10,12,32,11,12,4
PE20 1DT,137,31,17,7,1,1,93,58,0,1,7,24,4,0,47,79,30,25,6,0,0,0,16,33,27,45,217,240,23,5,8,22,7,13,11,19,22,77,82,38,63,42,13,12,96,204,40,5,47,0,183,169,85,16,4,66,16,34,53,50,146,27,446,8,2,NA,NA,NA,NA,1,409,0,9,4,0,29,6,324,0,26,0,1,1,0,0,0,105,328,75,0,1,1,5,0,0,47,131,61,23,12,14,73,5,5,1
OX26 5DQ,78,35,2,0,0,1,55,44,0,1,6,7,2,0,18,48,23,15,9,1,1,0,16,25,24,9,145,156,5,11,7,22,7,8,6,11,8,52,72,25,39,20,6,2,57,158,12,3,19,0,142,117,32,10,0,52,16,31,49,34,53,14,296,1,3,NA,NA,NA,NA,NA,276,4,8,1,0,5,7,264,0,2,0,0,0,0,0,0,35,229,49,0,3,0,0,0,2,18,84,23,43,6,14,39,7,3,2
LE1 9BH,0,3,3,87,5,3,2,2,1,0,44,44,6,0,48,17,12,9,12,1,0,0,6,70,3,20,111,109,4,3,0,5,0,0,41,96,14,49,7,1,0,0,0,0,183,14,7,2,0,2,121,81,14,3,1,59,3,78,27,14,9,18,77,13,20,1,29,27,14,26,106,0,2,1,0,18,93,108,0,19,8,71,1,0,0,0,17,69,68,5,12,1,44,4,0,17,19,8,1,15,157,0,0,4,4
LS29 8NF,21,85,16,1,0,1,33,57,0,10,9,10,3,1,33,41,23,18,5,3,0,0,22,24,21,29,137,162,15,11,10,19,7,7,6,7,20,73,65,18,25,12,2,2,85,104,29,6,13,0,142,114,32,9,2,73,9,24,33,37,51,10,290,1,1,NA,3,NA,NA,1,276,2,3,0,1,3,14,233,1,3,2,2,1,0,1,1,55,169,94,1,1,0,1,1,2,30,101,30,25,12,12,27,7,4,3
