Store Postcode,Detatched,Semi-Detatched,Terraced,Flat (Purpose Built),Flat (Converted),Residence in Commercial Building,Owned Outright,Owned with Mortgage,Shared Ownership,Rented: From Council,Rented: Other Social,Rented: Private Landlord,Rented: Other,Rent Free,One Person,Two People,Three People,Four People,Five People,Six People,Seven People,8+ People,AB,C1,C2,DE,Male,Female,0 to 4,5 to 7,8 to 9,10 to 14,15,16 to 17,18 to 19,20 to 24,25 to 29,30 to 44,45 to 59,60 to 64,65 to 74,75 to 84,85 to 89,90+,Single,Married,Divorced,Separated,Widowed,Same Sex,Very Good,Good,Fair,Bad,Very Bad,Degree or similar,Apprenticeship,"HNC, HND or 2+ A Levels","5+ GCSE, an A-Level or 1-2 AS Levels",1-4 GCSEs or Equivalent,No GCSEs or Equivalent,Other,White,Mixed Ethnicity,Indian,Bangladeshi,Chinese,Other Asian,Black African,Other,England,Wales,Scotland,Northern Ireland,Republic of Ireland,European Union,Other,United Kingdom,Republic of Ireland,Europe (including European Union),African Countries,Middle East or Asia,North America or Caribbean,Central America,South America,Oceania,None,Christian,No Religion,Buddhist,Hindu,Jewish,Muslim,Sikh,Other Religion,Not Stated,Full-Time Employee,Part-Time Employee,Self Employed,Unemployed,Full-Time Student,Retired,Looking after Home or Family,Long Term Sick or Disabled,Other
NP19 9HQ,6,0,15,104,1,7,4,7,0,52,54,0,NA,4,75,26,11,6,2,0,1,0,2,5,7,42,97,104,17,7,5,8,0,2,3,11,15,19,20,21,29,33,7,4,48,38,32,8,38,0,49,57,47,35,13,9,1,7,11,19,108,9,194,2,1,NA,NA,NA,4,NA,15,173,2,0,3,3,NA,86,3,2,2,0,0,0,0,0,110,108,68,0,0,1,2,0,0,22,17,10,3,19,2,42,10,10,7
BT60 2SS,164,8,2,0,1,NA,71,86,0,1,0,6,1,2,21,38,22,33,28,19,5,1,24,29,56,25,310,282,53,33,18,70,8,23,10,38,41,117,104,27,29,18,3,0,143,238,5,6,18,0,370,137,70,10,5,89,23,44,74,51,108,21,590,1,NA,NA,1,NA,NA,NA,18,0,1,566,4,3,0,272,4,4,0,0,0,0,0,0,97,NA,15,NA,NA,NA,NA,NA,1,18,121,50,74,14,41,30,22,26,11
BT4 3EN,24,128,437,138,18,10,65,199,7,45,132,217,16,15,259,210,123,70,23,8,2,1,122,200,94,170,716,798,134,57,29,99,19,32,27,119,212,431,187,39,65,41,21,2,573,366,103,63,69,2,756,465,200,73,20,366,39,136,130,120,296,89,1426,7,39,3,10,11,16,NA,63,6,12,1186,12,148,87,1019,12,140,12,30,10,0,1,2,238,NA,318,NA,NA,NA,NA,NA,50,142,571,114,59,45,74,73,52,93,31
SG19 1BN,4,23,59,52,0,3,13,26,5,10,77,7,NA,1,64,37,19,13,6,0,0,0,11,20,28,36,138,139,12,13,4,13,1,9,8,28,17,66,42,12,23,11,10,8,96,73,39,4,22,0,109,99,46,17,6,33,10,23,42,41,73,12,267,5,3,NA,NA,NA,1,NA,257,1,2,0,0,7,10,166,0,7,5,0,1,0,0,0,103,151,98,1,3,0,0,0,7,17,88,32,10,17,14,25,7,7,5
NR10 5LG,9,27,6,0,2,NA,3,11,0,1,2,23,NA,4,5,16,16,6,1,0,0,0,4,12,13,12,555,54,12,7,0,7,1,5,2,38,76,190,182,46,30,11,0,2,269,122,149,28,9,5,185,265,99,41,19,96,27,65,126,98,131,39,522,16,5,7,NA,3,19,9,485,13,20,4,9,23,55,362,9,11,4,6,3,0,1,1,220,315,182,23,4,4,29,1,22,29,47,27,12,6,20,16,5,8,428
PR8 5EG,12,76,38,0,5,1,49,52,0,0,1,23,2,1,39,35,27,21,4,2,0,0,14,37,19,27,145,161,16,13,3,20,5,16,8,27,26,48,66,15,23,15,4,1,108,95,26,4,14,2,167,85,37,13,4,52,9,35,42,38,58,15,298,4,NA,NA,NA,1,NA,3,282,1,9,2,2,7,3,250,2,4,1,0,1,0,0,0,47,209,73,0,0,0,3,0,2,19,85,42,24,7,26,27,6,12,0
BT11 9AP,15,86,14,2,0,1,57,43,0,0,2,5,3,2,42,32,12,14,5,6,1,0,15,30,10,5,117,149,11,6,6,21,1,5,5,19,14,50,44,10,33,34,5,2,76,108,5,9,23,0,125,82,46,12,1,54,8,34,30,23,67,5,266,NA,NA,NA,NA,NA,NA,NA,2,0,0,247,13,0,4,76,13,0,0,0,2,0,0,0,36,NA,12,NA,NA,NA,NA,NA,0,11,72,25,15,4,18,37,0,3,6
YO62 5DX,41,41,35,27,0,5,52,14,8,1,18,26,2,2,53,43,12,11,4,0,0,0,15,19,22,21,120,119,11,7,3,12,0,4,7,8,12,41,53,18,27,26,7,3,55,90,29,8,24,0,95,88,43,9,4,73,7,15,33,33,39,6,234,1,NA,NA,NA,NA,4,NA,212,3,5,2,1,5,11,166,1,5,4,0,3,0,0,2,60,167,58,1,0,0,0,0,2,11,61,29,31,6,6,25,5,4,3
YO31 8HE,3,6,126,26,1,NA,25,42,0,5,5,75,2,2,48,71,16,15,3,2,1,0,40,53,14,32,151,181,12,10,7,11,2,2,17,62,39,95,47,10,12,3,2,1,176,66,33,9,6,0,173,122,30,7,0,124,5,65,34,20,28,14,293,12,9,NA,NA,4,2,11,271,5,12,1,1,23,19,257,1,18,1,13,0,0,0,3,43,173,116,0,7,1,8,0,3,24,134,33,15,14,59,18,5,3,3
BA3 3SA,43,33,55,1,5,NA,42,60,1,1,0,22,6,3,34,56,18,18,4,3,2,0,22,28,31,26,186,155,21,11,2,19,4,5,11,35,24,67,82,18,23,17,1,1,104,135,23,7,11,4,161,136,36,8,0,72,11,36,60,41,52,12,325,6,9,NA,NA,NA,NA,NA,313,7,1,3,0,2,15,268,0,1,0,9,1,0,0,1,62,191,120,0,4,1,0,0,1,24,118,38,27,10,17,29,8,13,5
SE5 7EW,2,4,20,76,18,5,7,21,3,45,8,38,NA,3,53,18,29,15,4,4,1,1,18,40,21,32,182,226,12,12,3,10,2,5,59,86,41,87,64,6,15,6,0,0,251,81,18,12,7,0,210,150,37,10,1,98,5,102,41,30,36,57,222,35,1,7,7,8,66,24,202,4,5,3,10,39,145,263,10,48,38,9,16,0,12,1,28,170,155,10,2,3,25,0,1,42,80,29,21,34,150,16,6,10,17
BS10 5NB,5,63,61,8,0,NA,40,43,1,25,2,15,5,0,32,41,21,21,10,2,2,2,17,33,20,26,176,177,28,13,9,24,10,10,8,31,23,70,58,21,22,18,7,1,101,117,23,7,21,0,183,118,36,14,2,66,14,31,33,39,61,25,224,7,41,NA,NA,13,20,3,247,10,2,1,1,24,68,239,1,31,2,27,0,0,0,0,55,200,84,2,11,0,34,1,1,20,111,41,14,9,28,21,5,8,6
UB10 9DA,0,22,71,37,3,12,28,48,1,35,6,18,4,0,52,32,21,23,7,3,0,2,17,41,21,32,163,178,37,17,8,17,3,7,5,20,32,96,44,13,23,13,4,2,95,114,30,9,11,0,163,113,46,15,4,55,11,27,44,40,59,23,209,20,39,7,5,8,19,7,253,0,0,1,1,13,73,235,1,16,11,13,0,0,0,0,68,158,78,4,24,0,25,15,0,37,101,19,28,16,18,23,12,17,6
