Product Code,Desc,Wholesale Size,Order Size,Pack Size,Retail EAN,Vat Rate,Brand,Price Promo,Image URL,Subcat,Category,RSP,POR,Calculated Wholesale Price,Calculated Wholesale Price (Corrected VAT),Multi Buy,Multi Buy Mechanic,Date Scraped
455259,Freedom Bathroom Tissue Aloe Vera Fragrance 4pk,4pk × 10 × 1,10,4pk,5060043670344	,Standard,NA,NO,https://www.bestwaywholesale.co.uk/img/products/full/upl/455259.jpg,Paper Wrap Foil & Bags,"Non Food, Paper & Disposables",£1.55,27.30%,11.27,12.72,NO,NA,05-10-2022
331434,Jack Daniel's Old No. 7 Tennessee Whiskey 70 cL £21.99 PMP,70Cl × 6,6,70Cl,15099873009109	,Standard,Jack Daniel's,YES,https://www.bestwaywholesale.co.uk/img/products/1000/9/5099873009109.jpg,Spirits & Fortified Wine,"Beers, Wines & Spirits",£21.99,21.79%,103.19,104.13,NO,NA,05-10-2022
194492,Airwaves Extreme Sugar Free Chewing Gum 10 Pieces,10pce × 30 × 1,30,10pce,4009900454681	,Standard,Wrigley's,NO,https://www.bestwaywholesale.co.uk/img/products/1000/3/42189633.jpg,Chewing Gum,Confectionery,£0.65,39.76%,11.75,15.36,NO,NA,05-10-2022
676541,Black Pudding Chub,170g × 1,1,170g,5054073071769	,Exempt,NA,NO,https://www.bestwaywholesale.co.uk/img/products/full/upl/676541.jpg,Cooked Meats & Pâtés,Fresh Foods,£1.25,20.0%,1.0,1.0,NO,NA,05-10-2022
674067,Tago Wafer Rolls With Nut Cream PM,150g × 1,1,150g,5901356070998	,Exempt,NA,YES,https://www.bestwaywholesale.co.uk/img/products/full/upl/674067.jpg,World Foods,Grocery,NA,NA,NA,NA,NO,NA,05-10-2022
715477,Flipz Milk Chocolate Coated Pretzel Snacks 80g £1 PMP,80g × 6 × 1,6,80g,5000168024073	,Standard,Flipz,NO,https://www.bestwaywholesale.co.uk/img/products/1000/0/5000168024080.jpg,Biscuits,Grocery,£1.00,20.20%,4.79,5.75,NO,NA,05-10-2022
809365,Winalot with Chicken in Jelly 400g,400g × 12 × 1,12,400g,8445290460790	,Standard,Winalot,NO,https://www.bestwaywholesale.co.uk/img/products/1000/6/8445290460806.jpg,Petfoods,Grocery,£1.15,22.18%,10.74,12.61,NO,NA,05-10-2022
170194,Cadbury Dairy Milk Fingers Chocolate Biscuits £1.29 114g,114g × 12 × 1,12,114g,5010049157158	,Standard,Cadbury,YES,https://www.bestwaywholesale.co.uk/img/products/1000/4/72417153044.jpg,Biscuits,Grocery,£1.29,38.07%,9.59,11.07,NO,NA,05-10-2022
738933,"Butterkist Cinema Sweet Popcorn 70g, £1 PMP",70g × 12 × 1,12,70g,5000237126578	,Standard,Butterkist,YES,https://www.bestwaywholesale.co.uk/img/products/1000/2/5000237135402.jpg,Crisps & Snacks,Grocery,£1.00,42.10%,6.95,8.34,NO,NA,05-10-2022
742396,GO-CAT with Herring and Tuna mix with Vegetables Dry Cat Food 340g PMP,340g × 6 × 1,6,340g,7613287624123	,Standard,Go-Cat,YES,https://www.bestwaywholesale.co.uk/img/products/1000/3/7613287624123.jpg,Petfoods,Grocery,£1.19,31.27%,4.91,5.73,NO,NA,05-10-2022
774068,Oreo Double Creme Sandwich Biscuits 99p 157g,157g × 16 × 1,16,157g,7622201635572	,Exempt,Oreo,YES,https://www.bestwaywholesale.co.uk/img/products/1000/6/7622201635596.jpg,Biscuits,Grocery,£0.99,36.94%,9.99,9.99,NO,NA,05-10-2022
779823,Walkers Wotsits Crunchy Really Cheesy Snacks PMP 60g,60g × 15 × 1,15,60g,5000328328737	,Standard,Walkers,YES,https://www.bestwaywholesale.co.uk/img/products/1000/7/5000328328737.jpg,Crisps & Snacks,Grocery,£1.00,36.09%,9.59,11.5,NO,NA,05-10-2022
783397,"Nik Naks Nice 'N' Spicy Crisps 75g, £1 PMP",75g × 20 × 1,20,75g,5000237135709	,Standard,Nik Naks,NO,https://www.bestwaywholesale.co.uk/img/products/1000/9/5000237135709.jpg,Crisps & Snacks,Grocery,£1.00,28.06%,14.39,17.27,NO,NA,05-10-2022
725458,Nordic Spirit Elderflower £6.50,06Mg × 5 × 1,5,06Mg,5000143274363	,Standard,NA,YES,/img/products/no-image.png,Vaping/E-Cigarettes,Cigarettes & Tobacco,£6.50,20.03%,25.99,26.79,NO,NA,05-10-2022
809321,Toffee Crisp Milk Chocolate Bar Multipack 31g 4 Pack PMP £1.25,4pk × 14 × 1,14,4pk,8445290437525	,Standard,Toffee Crisp,NO,https://www.bestwaywholesale.co.uk/img/products/1000/5/8445290437525.jpg,Nestle,Confectionery,£1.25,12.30%,15.35,17.8,NO,NA,05-10-2022
692340,Henry Goode's Superbly Soft Black Liquorice 140g,140g × 12 × 1,12,140g,5010511017553	,Standard,Henry Goode's,YES,https://www.bestwaywholesale.co.uk/img/products/full/upl/692340.jpg,Bagged Sweets,Confectionery,£1.00,40.11%,7.19,8.62,NO,NA,05-10-2022
400815,Alpro Smooth Chocolate Dessert 4x125g,4pk × 1,1,4pk,54051256	,Exempt,Alpro,YES,https://www.bestwaywholesale.co.uk/img/products/1000/6/54051256.jpg,Dairy & Eggs,Fresh Foods,£1.99,24.62%,1.5,1.5,NO,NA,05-10-2022
798188,Delicatessen Fine Eating Hot & Spicy Pepperoni Snack 0.080kg,80g × 1,1,80g,5998001791506	,Exempt,Delicatessen Fine Eating,NO,https://www.bestwaywholesale.co.uk/img/products/1000/6/5998001791506.jpg,Chilled Snacks,Fresh Foods,£1.00,21.0%,0.79,0.79,NO,NA,05-10-2022
783307,"McCoy's Flame Grilled Steak Sharing Crisps 65g, £1 PMP",65g × 20 × 1,20,65g,5000237130926	,Standard,McCoy's,NO,https://www.bestwaywholesale.co.uk/img/products/1000/3/5000237130933.jpg,Crisps & Snacks,Grocery,£1.00,26.86%,14.63,17.55,NO,NA,05-10-2022
777227,Butcher's Beef & Liver Dog Food Tin 400g £1.10,400g × 12 × 1,12,400g,5011792007516	,Standard,Butcher's,NO,https://www.bestwaywholesale.co.uk/img/products/1000/6/5011792007516.jpg,Petfoods,Grocery,£1.10,34.64%,8.63,10.2,NO,NA,05-10-2022
774146,"Discos Cheese & Onion Crisps 70g, £1 PMP",70g × 16 × 1,16,70g,5000237137314	,Exempt,Discos,NO,https://www.bestwaywholesale.co.uk/img/products/1000/1/5000237137321.jpg,Crisps & Snacks,Grocery,£1.00,28.19%,11.49,11.49,NO,NA,05-10-2022
770534,Jacob's Baked Crinklys Cheese & Onion Snacks 90g £1 PMP,90g × 15 × 1,15,90g,5000168030821	,Exempt,Jacob's,NO,https://www.bestwaywholesale.co.uk/img/products/1000/8/5000168030838.jpg,Crisps & Snacks,Grocery,£1.00,30.07%,10.49,10.49,NO,NA,05-10-2022
159164,Walkers Classic Variety Multipack Crisps 12x25g,12pk × 1,1,12pk,5000328377209	,Standard,Walkers,YES,https://www.bestwaywholesale.co.uk/img/products/1000/4/5000328992594.jpg,Crisps & Snacks,Grocery,£3.75,45.92%,2.03,2.14,NO,NA,05-10-2022
770101,Pringles Original PMP Case 6x165g,165g × 6 × 1,6,165g,5053990168248	,Standard,Pringles,NO,https://www.bestwaywholesale.co.uk/img/products/full/upl/770101.jpg,Crisps & Snacks,Grocery,£2.49,20.56%,11.87,12.82,NO,NA,05-10-2022
789861,Wagg Meaty Goodness Adult Complete Beef Dinner 1kg,1Kg × 5 × 1,5,1Kg,5013919004941	,Standard,Wagg,NO,https://www.bestwaywholesale.co.uk/img/products/1000/1/5013919004941.jpg,Petfoods,Grocery,£1.59,32.83%,5.34,6.01,NO,NA,05-10-2022
674080,Tago Wafer Rolls Coconut Cream PM,150g × 1,1,150g,5901356070981	,Exempt,NA,YES,https://www.bestwaywholesale.co.uk/img/products/full/upl/674080.jpg,World Foods,Grocery,NA,NA,NA,NA,NO,NA,05-10-2022
330936,Best-One Instant Coffee Granules 100g,100g × 6 × 1,6,100g,5054073010550	,Exempt,Best-One,NO,https://www.bestwaywholesale.co.uk/img/products/1000/7/5054073040567.jpg,Hot Beverages,Grocery,£1.19,25.92%,5.29,5.29,NO,NA,05-10-2022
799264,Evo Tobacco Sticks Purple Option,20s × 10 × 1,10,20s,5000143939255	,Standard,Evo,YES,https://www.bestwaywholesale.co.uk/img/products/1000/9/5000143944419.jpg,Heat Not Burn,Cigarettes & Tobacco,£4.50,20.0%,36.0,37.6,NO,NA,05-10-2022
799253,EVO Tobacco Sticks Green Option,20s × 10 × 1,10,20s,5000143913514	,Standard,Evo,YES,https://www.bestwaywholesale.co.uk/img/products/1000/4/5000143913514.jpg,Heat Not Burn,Cigarettes & Tobacco,£4.50,20.0%,36.0,37.6,NO,NA,05-10-2022
403502,Cadbury Wispa Chocolate Bar 36g,Std × 48 × 1,48,Std,5034660026921	,Standard,Cadbury,NO,https://www.bestwaywholesale.co.uk/img/products/1000/6/7622210470126.jpg,Cadburys,Confectionery,£0.75,25.04%,26.99,34.18,NO,NA,05-10-2022
