Region,Fascia,Source,Postcode,First Postcode,2 Digit Postcode,Talysis Id,Latitude,Longitude,Station,Owner,Rural/urban,London zone
East Midlands,INDEPENDENT,TP,DE1 2AY,DE1,DE,TP-H02,52.92219,-1.471451,,,,
Yorkshire and the Humber,INDEPENDENT,TP,DN1 1SW,DN1,DN,TP-H01,53.52288,-1.13701,,,,
Northern Ireland,NISA,TP,BT61 7DF,BT61,BT,TP-K09,54.34734,-6.652889,,,,
Scotland,NISA,TP,DG2 9JT,DG2,DG,TP-K34,55.07871,-3.640078,,,,
Northern Ireland,COSTCUTTER,TP,BT51 4RA,BT51,BT,TP-K04,55.16622,-6.789519,,,,
Northern Ireland,COSTCUTTER,TP,BT51 4UR,BT51,BT,TP-K03,55.11727,-6.795984,,,,
South West England,INDEPENDENT,TP,EX5 2QB,EX5,EX,TP-J99,50.75498,-3.356327,,,,
Scotland,INDEPENDENT,TP,DG9 9PS,DG9,DG,TP-L21,54.68993,-4.894495,,,,
Wales,PREMIER,TP,SA10 6UT,SA10,SA,TP-J91,51.66117,-3.840326,,,,
Northern Ireland,NISA,TP,BT60 4AA,BT60,BT,TP-J90,54.341,-6.661246,,,,
Northern Ireland,COSTCUTTER,TP,BT54 6AA,BT54,BT,TP-J89,55.20174,-6.249044,,,,
Wales,PREMIER,TP,CF44 6NG,CF44,CF,TP-J88,51.68796,-3.440196,,,,
East of England,NISA,TP,NR5 8AD,NR5,NR,TP-J85,52.63178,1.240772,,,,
South West England,NISA,TP,TR4 9AZ,TR4,TR,TP-K43,50.31371,-5.032282,,,,
Wales,INDEPENDENT,TP,CF44 0PN,CF44,CF,TP-J81,51.707,-3.421378,,,,
East of England,PREMIER,TP,NR3 4PF,NR3,NR,TP-J79,52.64142,1.299722,,,,
South East England,INDEPENDENT,TP,SO51 5SX,SO51,SO,TP-J78,50.98674,-1.471224,,,,
North West England,LONDIS,TP,L18 1DE,L18,L,TP-J74,53.3875,-2.918647,,,,
Wales,INDEPENDENT,TP,SA15 1AN,SA15,SA,TP-L18,51.67792,-4.162494,,,,
Northern Ireland,MACE,TP,BT44 0QR,BT44,BT,TP-L28,55.06081,-6.059596,,,,
Northern Ireland,UNKNOWN FASCIA,TP,BT30 9AE,BT30,BT,TP-J68,54.35814,-5.753706,,,,
North West England,NISA,TP,PR3 0YD,PR3,PR,TP-J67,53.85415,-2.871981,,,,
London,INDEPENDENT,TP,SW18 5NW,SW18,SW,TP-J66,51.43929,-0.203663,,,,
South West England,PREMIER,TP,PL2 2NH,PL2,PL,TP-L36,50.39606,-4.162351,,,,
South East England,GOODWINS,TP,BN14 9BT,BN14,BN,TP-J65,50.8284,-0.3748908,,,,
South East England,GOODWINS,TP,BN41 1GB,BN41,BN,TP-J64,50.83374,-0.2073139,,,,
South East England,GOODWINS,TP,BN42 4FJ,BN42,BN,TP-J63,50.83445,-0.2366416,,,,
South East England,GOODWINS,TP,BN16 3DR,BN16,BN,TP-J62,50.8102,-0.5074979,,,,
East Midlands,LONDIS,TP,NG24 3TA,NG24,NG,TP-K26,53.0604,-0.8506011,,,,
Scotland,UNKNOWN FASCIA,TP,KW14 7DR,KW14,KW,TP-L06,58.58539,-3.535872,,,,
East Midlands,PREMIER,TP,SK17 7BB,SK17,SK,TP-L07,53.26185,-1.907359,,,,
London,INDEPENDENT,TP,SW1P 4HB,SW1P,SW,TP-L42,51.49313,-0.130225,,,,
Northern Ireland,MACE,TP,BT61 8HZ,BT61,BT,TP-J58,54.40978,-6.601461,,,,
Yorkshire and the Humber,LONDIS,TP,WF6 2HL,WF6,WF,TP-L49,53.7046,-1.404668,,,,
Wales,INDEPENDENT,TP,CH7 2JA,CH7,CH,TP-J57,53.16829,-3.083505,,,,
Wales,INDEPENDENT,TP,SA1 7EN,SA1,SA,TP-L47,51.647,-3.907066,,,,
East of England,SPAR,TP,WD23 3HD,WD23,WD,TP-J56,51.64479,-0.3651349,,,,
East of England,NISA,TP,NR12 9BB,NR12,NR,TP-J55,52.77201,1.514852,,,,
West Midlands,NISA,TP,SY7 9PX,SY7,SY,TP-J54,52.44033,-2.836453,,,,
Yorkshire and the Humber,UNKNOWN FASCIA,TP,S25 2TW,S25,S,TP-L37,53.36176,-1.208113,,,,
Wales,INDEPENDENT,TP,SA1 7JZ,SA1,SA,TP-J51,51.65061,-3.903431,,,,
South East England,UNKNOWN FASCIA,TP,RH17 6BJ,RH17,RH,TP-L50,51.05494,-0.2000836,,,,
West Midlands,INDEPENDENT,TP,SY1 4JP,SY1,SY,TP-J49,52.72804,-2.727026,,,,
South East England,GOODWINS,TP,RH20 4NQ,RH20,RH,TP-J48,50.91817,-0.4518772,,,,
West Midlands,INDEPENDENT,TP,ST1 3ED,ST1,ST,TP-J46,53.01998,-2.171303,,,,
East Midlands,INDEPENDENT,TP,NG18 1LP,NG18,NG,TP-J44,53.14237,-1.199341,,,,
North East England,NISA,TP,DL13 4DH,DL13,DL,TP-J42,54.74495,-1.814587,,,,
East Midlands,NISA,TP,NG5 6FN,NG5,NG,TP-J39,52.99947,-1.146809,,,,
West Midlands,NISA,TP,B67 5RD,B67,B,TP-J37,52.47739,-1.975692,,,,
Wales,PREMIER,TP,CF44 8AD,CF44,CF,TP-J33,51.71693,-3.452003,,,,
Wales,INDEPENDENT,TP,SA19 9AA,SA19,SA,TP-L08,51.93897,-3.883682,,,,
Scotland,SPAR,TP,EH8 7QY,EH8,EH,TP-L24,55.95075,-3.132256,,,,
North West England,NISA,TP,L28 1NR,L28,L,TP-J32,53.43546,-2.868818,,,,
South East England,BUDGENS,TP,TN20 6AA,TN20,TN,TP-J31,51.02042,0.2621645,,,,
Northern Ireland,UNKNOWN FASCIA,TP,BT34 4DT,BT34,BT,TP-J30,54.06645,-6.014386,,,,
East Midlands,UNKNOWN FASCIA,TP,NG11 6HA,NG11,NG,TP-L16,52.89228,-1.149955,,,,
East Midlands,INDEPENDENT,TP,NN7 3PG,NN7,NN,TP-L38,52.20898,-1.010061,,,,
Northern Ireland,MACE,TP,BT49 0PB,BT49,BT,TP-L01,55.0501,-6.926959,,,,
West Midlands,NISA,TP,B67 5RD,B67,B,TP-L31,52.47739,-1.975692,,,,
North East England,INDEPENDENT,TP,SR4 8DR,SR4,SR,TP-J23,54.90207,-1.433614,,,,
West Midlands,NISA,TP,SY11 3AY,SY11,SY,TP-J22,52.92386,-3.00797,,,,
East Midlands,INDEPENDENT,TP,NG19 0ED,NG19,NG,TP-L09,53.15349,-1.160508,,,,
Northern Ireland,NISA,TP,BT47 5NR,BT47,BT,TP-L25,54.99314,-7.300125,,,,
West Midlands,NISA,TP,WV14 8YQ,WV14,WV,TP-L29,52.54268,-2.077383,,,,
East Midlands,NISA,TP,LE12 8BS,LE12,LE,TP-L10,52.74461,-1.167882,,,,
London,INDEPENDENT,TP,IG6 2AJ,IG6,IG,TP-L11,51.59273,0.08386901,,,,
North West England,INDEPENDENT,TP,M16 9NH,M16,M,TP-J16,53.45903,-2.264034,,,,
London,NISA,TP,CR7 6AW,CR7,CR,TP-J15,51.39489,-0.1149997,,,,
South West England,INDEPENDENT,TP,TQ13 0DF,TQ13,TQ,TP-J11,50.62362,-3.582166,,,,
South West England,INDEPENDENT,TP,DT6 5AJ,DT6,DT,TP-J10,50.72997,-2.764098,,,,
West Midlands,INDEPENDENT,TP,B7 4LG,B7,B,TP-L26,52.48695,-1.876225,,,,
South West England,INDEPENDENT,TP,EX18 7BR,EX18,EX,TP-J08,50.91239,-3.868353,,,,
West Midlands,COSTCUTTER,TP,B1 1NG,B1,B,TP-J05,52.47401,-1.902187,,,,
South East England,INDEPENDENT,TP,BH24 1JQ,BH24,BH,TP-J02,50.8515,-1.772391,,,,
South East England,INDEPENDENT,TP,SP11 6HH,SP11,SP,TP-J01,51.24244,-1.476163,,,,
Scotland,SPAR,TP,KA22 8AA,KA22,KA,TP-I99,55.6461,-4.799496,,,,
South West England,INDEPENDENT,TP,BA15 2JN,BA15,BA,TP-I98,51.34949,-2.283324,,,,
West Midlands,INDEPENDENT,TP,B8 2NY,B8,B,TP-L27,52.48796,-1.830436,,,,
South West England,INDEPENDENT,TP,BS23 2US,BS23,BS,TP-I97,51.35115,-2.957935,,,,
South West England,INDEPENDENT,TP,BS22 6US,BS22,BS,TP-I94,51.36691,-2.923731,,,,
South West England,INDEPENDENT,TP,TA4 2JP,TA4,TA,TP-I93,51.04226,-3.313278,,,,
London,BUDGENS,TP,N1 1RL,N1,N,TP-I92,51.54343,-0.1036615,,,,
East Midlands,INDEPENDENT,TP,OX17 2QY,OX17,OX,TP-I91,52.0776,-1.28048,,,,
South West England,INDEPENDENT,TP,BA15 1EG,BA15,BA,TP-I90,51.3424,-2.247245,,,,
South West England,INDEPENDENT,TP,EX1 3HE,EX1,EX,TP-I86,50.72516,-3.486676,,,,
South West England,INDEPENDENT,TP,EX6 8AT,EX6,EX,TP-I85,50.68241,-3.49914,,,,
South East England,INDEPENDENT,TP,GU15 4DQ,GU15,GU,TP-I84,51.34844,-0.7262068,,,,
South West England,INDEPENDENT,TP,TA18 8JN,TA18,TA,TP-I82,50.8758,-2.791752,,,,
South West England,INDEPENDENT,TP,EX34 0DD,EX34,EX,TP-I81,51.20595,-4.036327,,,,
South West England,INDEPENDENT,TP,DT2 9UY,DT2,DT,TP-I79,50.75192,-2.456507,,,,
South West England,INDEPENDENT,TP,TQ9 5BA,TQ9,TQ,TP-L12,50.43116,-3.677303,,,,
South West England,INDEPENDENT,TP,PL1 3BN,PL1,PL,TP-I68,50.36535,-4.14955,,,,
South West England,INDEPENDENT,TP,BH20 6HQ,BH20,BH,TP-I67,50.68428,-2.222123,,,,
South East England,SPAR,TP,GU29 9NB,GU29,GU,TP-I66,50.98535,-0.7404568,,,,
South West England,INDEPENDENT,TP,PL1 3HP,PL1,PL,TP-I65,50.3699,-4.159135,,,,
South West England,INDEPENDENT,TP,PL19 0AA,PL19,PL,TP-I64,50.54915,-4.144024,,,,
North West England,INDEPENDENT,TP,CA7 0AE,CA7,CA,TP-I62,54.81576,-3.210271,,,,
South East England,INDEPENDENT,TP,PO36 9DR,PO36,PO,TP-I61,50.66142,-1.161189,,,,
South East England,INDEPENDENT,TP,PO30 5LE,PO30,PO,TP-I60,50.696,-1.32133,,,,
East of England,BUDGENS,TP,MK43 8PU,MK43,MK,TP-I59,52.14445,-0.5337602,,,,
South East England,BUDGENS,TP,MK11 1BY,MK11,MK,TP-I58,52.05597,-0.851991,,,,
South East England,BUDGENS,TP,MK7 6HH,MK7,MK,TP-I56,52.02534,-0.6953057,,,,
South East England,BUDGENS,TP,MK14 7QB,MK14,MK,TP-I55,52.05367,-0.7482535,,,,
South East England,BUDGENS,TP,MK6 4LP,MK6,MK,TP-I53,52.01735,-0.7346801,,,,
South East England,BUDGENS,TP,MK12 5BT,MK12,MK,TP-I52,52.05967,-0.8228114,,,,
South East England,INDEPENDENT,TP,PO30 1TP,PO30,PO,TP-I51,50.7004,-1.294872,,,,
South East England,INDEPENDENT,TP,SO50 6LS,SO50,SO,TP-I50,50.97083,-1.336618,,,,
South West England,INDEPENDENT,TP,TA24 7DR,TA24,TA,TP-I49,51.13868,-3.54062,,,,
South East England,INDEPENDENT,TP,PO30 5HS,PO30,PO,TP-I48,50.70668,-1.299692,,,,
South East England,INDEPENDENT,TP,PO38 3BU,PO38,PO,TP-I47,50.61466,-1.223773,,,,
West Midlands,INDEPENDENT,TP,HR1 1HW,HR1,HR,TP-I46,52.06804,-2.71182,,,,
South East England,INDEPENDENT,TP,PO38 1AW,PO38,PO,TP-I44,50.59743,-1.215494,,,,
London,NISA,TP,W2 3QA,W2,W,TP-K28,51.51373,-0.1793485,,,,
Wales,UNKNOWN FASCIA,TP,LL44 2EN,LL44,LL,TP-I40,52.78631,-4.095935,,,,
South West England,INDEPENDENT,TP,EX15 1DZ,EX15,EX,TP-I39,50.85108,-3.394558,,,,
South East England,INDEPENDENT,TP,PO32 6JT,PO32,PO,TP-I33,50.74895,-1.276198,,,,
South East England,INDEPENDENT,TP,PO36 9NG,PO36,PO,TP-I32,50.64678,-1.171916,,,,
South West England,INDEPENDENT,TP,EX34 0LZ,EX34,EX,TP-I31,51.19549,-4.016272,,,,
South East England,INDEPENDENT,TP,BH24 1PS,BH24,BH,TP-I30,50.84857,-1.779465,,,,
South West England,INDEPENDENT,TP,PL7 4QF,PL7,PL,TP-I29,50.39589,-4.063215,,,,
East Midlands,INDEPENDENT,TP,NG13 8RW,NG13,NG,TP-I28,52.95072,-0.9707383,,,,
East Midlands,INDEPENDENT,TP,LE3 9QP,LE3,LE,TP-I26,52.65368,-1.179306,,,,
East of England,BUDGENS,TP,MK43 0ST,MK43,MK,TP-I25,52.07522,-0.6273001,,,,
Yorkshire and the Humber,INDEPENDENT,TP,LS2 7HU,LS2,LS,TP-I24,53.79679,-1.535822,,,,
Yorkshire and the Humber,INDEPENDENT,TP,S60 1QB,S60,S,TP-I23,53.4332,-1.356402,,,,
Yorkshire and the Humber,INDEPENDENT,TP,HD1 2JN,HD1,HD,TP-I22,53.6452,-1.786477,,,,
Yorkshire and the Humber,INDEPENDENT,TP,BD1 1TU,BD1,BD,TP-I21,53.79158,-1.750245,,,,
East Midlands,INDEPENDENT,TP,LE8 0HQ,LE8,LE,TP-I15,52.53676,-0.9972812,,,,
East Midlands,INDEPENDENT,TP,NG12 2FH,NG12,NG,TP-I10,52.9471,-1.038958,,,,
Yorkshire and the Humber,INDEPENDENT,TP,LS15 8EU,LS15,LS,TP-I05,53.80601,-1.450959,,,,
Yorkshire and the Humber,INDEPENDENT,TP,HU7 4EE,HU7,HU,TP-I04,53.78666,-0.3220126,,,,
North East England,INDEPENDENT,TP,TS24 7RT,TS24,TS,TP-H99,54.68427,-1.214096,,,,
East Midlands,INDEPENDENT,TP,LE2 5DH,LE2,LE,TP-H98,52.59682,-1.077141,,,,
South West England,INDEPENDENT,TP,TA3 5DP,TA3,TA,TP-H96,51.02693,-3.039273,,,,
North West England,INDEPENDENT,TP,WA13 0RW,WA13,WA,TP-H95,53.36975,-2.445319,,,,
Yorkshire and the Humber,INDEPENDENT,TP,YO32 9QN,YO32,YO,TP-H92,53.99752,-1.057633,,,,
East Midlands,INDEPENDENT,TP,LE15 9QH,LE15,LE,TP-H91,52.5877,-0.7219644,,,,
Yorkshire and the Humber,INDEPENDENT,TP,HG5 8AL,HG5,HG,TP-H89,54.0078,-1.467014,,,,
Yorkshire and the Humber,INDEPENDENT,TP,DL8 1YA,DL8,DL,TP-H87,54.28885,-1.593109,,,,
South West England,INDEPENDENT,TP,BS48 1RS,BS48,BS,TP-H86,51.43374,-2.759011,,,,
South West England,INDEPENDENT,TP,EX2 8RL,EX2,EX,TP-H84,50.70608,-3.528135,,,,
South West England,BUDGENS,TP,BS48 1BN,BS48,BS,TP-H83,51.43837,-2.746916,,,,
East Midlands,INDEPENDENT,TP,LE13 1XH,LE13,LE,TP-H80,52.76473,-0.8842039,,,,
East Midlands,INDEPENDENT,TP,LE7 7LL,LE7,LE,TP-H79,52.70905,-1.138911,,,,
East Midlands,INDEPENDENT,TP,DE11 8JE,DE11,DE,TP-H78,52.77351,-1.555817,,,,
East Midlands,INDEPENDENT,TP,LE15 6DT,LE15,LE,TP-H77,52.66999,-0.7274621,,,,
East Midlands,INDEPENDENT,TP,NG2 7RS,NG2,NG,TP-H76,52.91867,-1.152726,,,,
South West England,INDEPENDENT,TP,DT4 9PG,DT4,DT,TP-H74,50.60044,-2.461016,,,,
South East England,INDEPENDENT,TP,SO17 3SP,SO17,SO,TP-H73,50.93354,-1.382686,,,,
South East England,INDEPENDENT,TP,SO14 2BT,SO14,SO,TP-H71,50.90098,-1.40432,,,,
South West England,INDEPENDENT,TP,DT1 2LN,DT1,DT,TP-H70,50.7109,-2.445855,,,,
East Midlands,INDEPENDENT,TP,LE18 3QW,LE18,LE,TP-H69,52.58342,-1.099974,,,,
South West England,BUDGENS,TP,BS40 5JG,BS40,BS,TP-H67,51.33969,-2.782034,,,,
South West England,INDEPENDENT,TP,TA24 5RE,TA24,TA,TP-H66,51.20351,-3.477951,,,,
North West England,INDEPENDENT,TP,BL1 1NS,BL1,BL,TP-H64,53.57641,-2.427645,,,,
South West England,INDEPENDENT,TP,EX24 6JR,EX24,EX,TP-H63,50.7406,-3.070363,,,,
South West England,INDEPENDENT,TP,EX12 2AD,EX12,EX,TP-H62,50.70641,-3.070406,,,,
South East England,INDEPENDENT,TP,BN25 3PY,BN25,BN,TP-H61,50.77825,0.1157812,,,,
North West England,Pointfour,TP,CW11 3RS,CW11,CW,TP-00001,53.12927,-2.374738,,,,
North West England,UNKNOWN FASCIA,TP,CW12 3JT,CW12,CW,TP-L43,53.15629,-2.191377,,,,
South East England,LONDIS,TP,RG42 2AP,RG42,RG,TP-K15,51.42134,-0.7591158,,,,
South East England,INDEPENDENT,TP,PO37 7JF,PO37,PO,TP-H58,50.6366,-1.178501,,,,
South East England,INDEPENDENT,TP,PO32 6SP,PO32,PO,TP-H57,50.75816,-1.288533,,,,
South West England,INDEPENDENT,TP,TQ12 2EY,TQ12,TQ,TP-H56,50.5306,-3.601261,,,,
South East England,INDEPENDENT,TP,PO37 6EZ,PO37,PO,TP-H55,50.63663,-1.173466,,,,
South East England,INDEPENDENT,TP,PO36 8BN,PO36,PO,TP-H54,50.6574,-1.150254,,,,
South West England,INDEPENDENT,TP,PL5 3HG,PL5,PL,TP-H53,50.40502,-4.150543,,,,
South West England,INDEPENDENT,TP,DT4 9SS,DT4,DT,TP-H52,50.62456,-2.47686,,,,
South West England,INDEPENDENT,TP,EX8 1AS,EX8,EX,TP-H49,50.61757,-3.41926,,,,
South East England,INDEPENDENT,TP,BN3 7LR,BN3,BN,TP-H46,50.846,-0.1901953,,,,
South West England,INDEPENDENT,TP,SN4 8LA,SN4,SN,TP-H45,51.54795,-1.892946,,,,
South West England,INDEPENDENT,TP,GL10 2PB,GL10,GL,TP-H44,51.75086,-2.283426,,,,
South West England,INDEPENDENT,TP,GL2 7PG,GL2,GL,TP-H43,51.75879,-2.336547,,,,
East of England,UNKNOWN FASCIA,TP,NR21 7HP,NR21,NR,TP-L04,52.77881,0.7866307,,,,
South West England,INDEPENDENT,TP,GL11 4BJ,GL11,GL,TP-H41,51.68341,-2.357799,,,,
South West England,INDEPENDENT,TP,TA24 7QP,TA24,TA,TP-H38,51.10761,-3.64948,,,,
North East England,BUDGENS,TP,NE15 7QQ,NE15,NE,TP-H36,54.98358,-1.689187,,,,
East Midlands,PREMIER,TP,DE6 2BN,DE6,DE,TP-H35,53.00863,-1.763994,,,,
North West England,UNKNOWN FASCIA,TP,CW1 3HU,CW1,CW,TP-L05,53.10253,-2.459625,,,,
South West England,BUDGENS,TP,GL54 3EJ,GL54,GL,TP-H34,51.82986,-1.836383,,,,
Scotland,UNKNOWN FASCIA,TP,KA18 4AH,KA18,KA,TP-L51,55.39616,-4.183662,,,,
West Midlands,INDEPENDENT,TP,SY1 2PR,SY1,SY,TP-H33,52.71875,-2.751936,,,,
South West England,LONDIS,TP,TQ2 6AU,TQ2,TQ,TP-H31,50.46642,-3.546209,,,,
South West England,LONDIS,TP,TQ2 5RA,TQ2,TQ,TP-H30,50.46812,-3.532483,,,,
South West England,LONDIS,TP,TQ2 7HP,TQ2,TQ,TP-H29,50.48028,-3.560968,,,,
Scotland,LONDIS,TP,PA34 4HY,PA34,PA,TP-K14,56.40857,-5.470493,,,,
Scotland,COSTCUTTER,TP,HS7 5LA,HS7,HS,TP-K19,57.47174,-7.373281,,,,
South East England,LONDIS,TP,SL1 2NJ,SL1,SL,TP-K23,51.50642,-0.6062897,,,,
London,BUDGENS,TP,N2 8AQ,N2,N,TP-K20,51.58971,-0.1645902,,,,
London,INDEPENDENT,TP,SE22 8HN,SE22,SE,TP-K22,51.46015,-0.07548885,,,,
East of England,INDEPENDENT,TP,CB23 7AW,CB23,CB,TP-K16,52.17759,0.06234929,,,,
Wales,NISA,TP,SY21 8SL,SY21,SY,TP-K24,52.67032,-3.126067,,,,
West Midlands,INDEPENDENT,TP,WS10 0EF,WS10,WS,TP-L13,52.55118,-1.994824,,,,
South West England,LONDIS,TP,TQ3 1NE,TQ3,TQ,TP-K25,50.4551,-3.596921,,,,
East of England,INDEPENDENT,TP,IP19 8BU,IP19,IP,TP-L52,52.34702,1.5042,,,,
South East England,BUDGENS,TP,SO20 8DZ,SO20,SO,TP-K35,51.15856,-1.56151,,,,
London,INDEPENDENT,TP,WC1A 1DG,WC1A,WC,TP-K40,51.51655,-0.127969,,,,
Northern Ireland,NISA,TP,BT70 1EG,BT70,BT,TP-K45,54.50811,-6.7805,,,,
Northern Ireland,NISA,TP,BT70 1EG,BT70,BT,TP-K36,54.50811,-6.7805,,,,
Northern Ireland,NISA,TP,BT71 4LP,BT71,BT,TP-K46,54.5397,-6.700219,,,,
West Midlands,INDEPENDENT,TP,HR1 3LE,HR1,HR,TP-L19,52.1637,-2.675042,,,,
Wales,COSTCUTTER,TP,SY16 1ET,SY16,SY,TP-K38,52.50932,-3.321543,,,,
Wales,COSTCUTTER,TP,SY18 6AS,SY18,SY,TP-K42,52.45086,-3.537067,,,,
Wales,COSTCUTTER,TP,SY17 5EF,SY17,SY,TP-L44,52.51675,-3.430072,,,,
Wales,LONDIS,TP,SA31 2EY,SA31,SA,TP-K47,51.86498,-4.291319,,,,
South West England,UNKNOWN FASCIA,TP,EX35 6PD,EX35,EX,TP-L02,51.21422,-3.840499,,,,
Scotland,UNKNOWN FASCIA,TP,IV4 7EH,IV4,IV,TP-K50,57.4815,-4.464661,,,,
Scotland,COSTCUTTER,TP,PA66 6BL,PA66,PA,TP-L53,56.32467,-6.36329,,,,
South West England,COSTCUTTER,TP,BH20 6EH,BH20,BH,TP-K48,50.67924,-2.227407,,,,
West Midlands,BUDGENS,TP,WV16 5BH,WV16,WV,TP-K53,52.53525,-2.425959,,,,
Yorkshire and the Humber,UNKNOWN FASCIA,TP,S8 7UJ,S8,S,TP-L32,53.32831,-1.474885,,,,
Scotland,INDEPENDENT,TP,ML1 2TN,ML1,ML,TP-L60,55.78309,-3.985211,,,,
Northern Ireland,NISA,TP,BT60 3SL,BT60,BT,TP-K51,54.24713,-6.703823,,,,
East of England,INDEPENDENT,TP,PE37 8EY,PE37,PE,TP-L45,52.64851,0.7766937,,,,
Scotland,TOP CELLAR,TM,EH14 2SW,EH14,EH,TM-E42,55.91538,-3.28487,,,,
Scotland,PREMIER,TM,ML1 5HA,ML1,ML,TM-F32,55.81186,-3.960151,,,,
Scotland,COSTCUTTER,TM,ML6 7JG,ML6,ML,TM-D66,55.87919,-3.926614,,,,
Scotland,LONDIS,TM,G71 7LR,G71,G,TM-A74,55.82092,-4.082535,,,,
Scotland,INDEPENDENT,TM,ML9 2ET,ML9,ML,TM-D67,55.73513,-3.968376,,,,
Scotland,SMARTWAYS,TM,ML2 7EX,ML2,ML,TM-D68,55.78466,-3.91397,,,,
Scotland,SMARTWAYS,TM,ML1 2LS,ML1,ML,TM-F34,55.77372,-3.964773,,,,
Scotland,SPAR,TM,ML1 3NY,ML1,ML,TM-A76,55.7962,-4.007112,,,,
Scotland,PREMIER,TM,ML2 0NP,ML2,ML,TM-E38,55.76683,-3.920636,,,,
Scotland,USAVE,TM,EH47 0RD,EH47,EH,TM-A77,55.86676,-3.682489,,,,
Scotland,PREMIER,TM,ML2 8AG,ML2,ML,TM-F12,55.77129,-3.916121,,,,
Scotland,NISA,TM,ML2 0LR,ML2,ML,TM-A78,55.75925,-3.926097,,,,
Scotland,DAY TODAY,TM,ML3 6PT,ML3,ML,TM-E36,55.77064,-4.047855,,,,
Scotland,SMARTWAYS,TM,EH47 9BS,EH47,EH,TM-F41,55.82605,-3.712596,,,,
Scotland,SMARTWAYS,TM,EH48 3SA,EH48,EH,TM-F42,55.88415,-3.769547,,,,
Scotland,NISA,TM,ML1 2LD,ML1,ML,TM-F13,55.77316,-3.962576,,,,
Scotland,INDEPENDENT,TM,ML4 2QH,ML4,ML,TM-D70,55.81651,-3.997543,,,,
Scotland,PREMIER,TM,EH11 4JN,EH11,EH,TM-F43,55.91976,-3.295512,,,,
Scotland,PREMIER,TM,EH11 4AH,EH11,EH,TM-E34,55.92428,-3.277723,,,,
Scotland,NISA,TM,G69 7SG,G69,G,TM-A80,55.85099,-4.079063,,,,
Scotland,LONDIS,TM,ML6 8BN,ML6,ML,TM-A81,55.8623,-3.950419,,,,
Scotland,SMARTWAYS,TM,G72 0DL,G72,G,TM-F44,55.78543,-4.101295,,,,
Scotland,INDEPENDENT,TM,EH11 2AX,EH11,EH,TM-E41,55.94403,-3.218954,,,,
Scotland,INDEPENDENT,TM,PA15 1SN,PA15,PA,TM-F10,55.94936,-4.762419,,,,
Scotland,HIGH SPIRIT CO,TM,PA20 9DA,PA20,PA,TM-F17,55.83717,-5.053677,,,,
Scotland,DAY TODAY,TM,ML6 7ND,ML6,ML,TM-E46,55.88204,-3.934094,,,,
Scotland,DAY TODAY,TM,EH54 6BA,EH54,EH,TM-D72,55.89319,-3.509532,,,,
Scotland,COSTCUTTER,TM,G73 5AF,G73,G,TM-A82,55.81814,-4.192976,,,,
Scotland,SMARTWAYS,TM,ML6 9EF,ML6,ML,TM-F46,55.85771,-3.987051,,,,
Scotland,INDEPENDENT,TM,G1 3TA,G1,G,TM-D74,55.86029,-4.257355,,,,
Scotland,DAY TODAY,TM,KA30 8LW,KA30,KA,TM-E50,55.79642,-4.867579,,,,
Scotland,SPAR,TM,ML3 9TQ,ML3,ML,TM-A84,55.77333,-4.080283,,,,
Scotland,INDEPENDENT,TM,G53 6AB,G53,G,TM-D77,55.82396,-4.346924,,,,
Scotland,USAVE,TM,G2 6AE,G2,G,TM-E29,55.85955,-4.259517,,,,
Scotland,LIFESTYLE,TM,G65 9HT,G65,G,TM-A85,55.95935,-4.04293,,,,
Scotland,DAY TODAY,TM,PA13 4AE,PA13,PA,TM-E39,55.89406,-4.626868,,,,
Scotland,SMARTWAYS,TM,G69 6DP,G69,G,TM-F51,55.85624,-4.106331,,,,
Scotland,INDEPENDENT,TM,ML8 5JA,ML8,ML,TM-A86,55.75059,-3.883779,,,,
Scotland,INDEPENDENT,TM,G33 2NW,G33,G,TM-D80,55.86525,-4.183581,,,,
Scotland,DAY TODAY,TM,EH47 0QX,EH47,EH,TM-F52,55.86645,-3.68727,,,,
Scotland,DAY TODAY,TM,KY3 9TU,KY3,KY,TM-E44,56.06901,-3.175686,,,,
Scotland,DAY TODAY,TM,KA10 6TP,KA10,KA,TM-A87,55.56426,-4.643059,,,,
Scotland,PREMIER,TM,FK8 1RN,FK8,FK,TM-F54,56.13074,-3.952099,,,,
Scotland,INDEPENDENT,TM,ML7 4BY,ML7,ML,TM-A90,55.82426,-3.803623,,,,
Scotland,INDEPENDENT,TM,FK1 5QX,FK1,FK,TM-F55,55.99416,-3.787959,,,,
Scotland,KEYSTORE,TM,FK10 1QA,FK10,FK,TM-F56,56.11234,-3.782436,,,,
Scotland,DAY TODAY,TM,G21 2AH,G21,G,TM-D84,55.8761,-4.20494,,,,
Scotland,DAY TODAY,TM,PA3 1LW,PA3,PA,TM-F57,55.84805,-4.444345,,,,
Scotland,COSTCUTTER,TM,EH15 1EU,EH15,EH,TM-F29,55.95232,-3.11358,,,,
Scotland,DAY TODAY,TM,EH23 4EU,EH23,EH,TM-F02,55.84505,-3.043833,,,,
Scotland,DAY TODAY,TM,G71 6HF,G71,G,TM-F62,55.82569,-4.057628,,,,
Scotland,DAY TODAY,TM,G75 8AA,G75,G,TM-F11,55.75897,-4.188489,,,,
Scotland,LONDIS,TM,ML6 7EJ,ML6,ML,TM-F14,55.86797,-3.962482,,,,
