Region,Fascia,Source,Postcode,First Postcode,2 Digit Postcode,Talysis Id,Latitude,Longitude,Station,Owner,Rural/urban,London zone
West Midlands,COSTCUTTER,TCC,CV11 6QN,CV11,CV,TCC-Z00308,52.49329,-1.399176,,,,
Wales,COSTCUTTER,TCC,LD3 7RA,LD3,LD,TCC-Z00526,51.94221,-3.365081,,,,
West Midlands,COSTCUTTER,TCC,ST18 0AQ,ST18,ST,TCC-Z00492,52.81584,-2.091504,,,,
West Midlands,COSTCUTTER,TCC,WS14 9PY,WS14,WS,TCC-Z00529,52.66124,-1.775152,,,,
West Midlands,COSTCUTTER,TCC,B26 2TY,B26,B,TCC-Z00309,52.46688,-1.779616,,,,
North West England,COSTCUTTER,TCC,OL6 9RW,OL6,OL,TCC-Z00310,53.49186,-2.071555,,,,
South East England,SIMPLYFRESH,TCC,GU26 6NR,GU26,GU,TCC-Z00311,51.1225,-0.7536925,,,,
South East England,SIMPLYFRESH,TCC,RG1 1YE,RG1,RG,TCC-Z00312,51.4584,-0.9697415,,,,
East Midlands,COSTCUTTER,TCC,LE15 7BL,LE15,LE,TCC-Z00313,52.72611,-0.6502053,,,,
East Midlands,COSTCUTTER,TCC,NG34 8HB,NG34,NG,TCC-Z00314,53.03392,-0.5064234,,,,
East Midlands,COSTCUTTER,TCC,PE8 6HB,PE8,PE,TCC-Z00482,52.61558,-0.4468899,,,,
East Midlands,COSTCUTTER,TCC,PE8 6DL,PE8,PE,TCC-Z00498,52.60812,-0.4392823,,,,
East of England,COSTCUTTER,TCC,PE33 9NR,PE33,PE,TCC-Z00315,52.6588,0.5442967,,,,
East of England,COSTCUTTER,TCC,IP7 7RA,IP7,IP,TCC-Z00316,52.1228,0.9677605,,,,
East of England,COSTCUTTER,TCC,IP12 3LU,IP12,IP,TCC-Z00317,52.08234,1.394165,,,,
East Midlands,COSTCUTTER,TCC,LN5 9NB,LN5,LN,TCC-Z00318,53.1726,-0.5305472,,,,
East of England,COSTCUTTER,TCC,SG17 5PR,SG17,SG,TCC-Z00319,52.04482,-0.3631476,,,,
East of England,COSTCUTTER,TCC,PE28 2EA,PE28,PE,TCC-Z00320,52.34742,-0.1160866,,,,
East Midlands,COSTCUTTER,TCC,LN1 2TR,LN1,LN,TCC-Z00321,53.29893,-0.5519341,,,,
East Midlands,COSTCUTTER,TCC,LN4 3LH,LN4,LN,TCC-Z00322,53.0961,-0.4362566,,,,
East of England,COSTCUTTER,TCC,NR20 4TX,NR20,NR,TCC-Z00323,52.72585,0.9747072,,,,
East Midlands,COSTCUTTER,TCC,LE15 8RL,LE15,LE,TCC-Z00495,52.63524,-0.6184396,,,,
East Midlands,COSTCUTTER,TCC,NG31 7TJ,NG31,NG,TCC-Z00475,52.90334,-0.6105662,,,,
East of England,COSTCUTTER,TCC,CB10 2YA,CB10,CB,TCC-Z00324,51.98757,0.2841643,,,,
East Midlands,COSTCUTTER,TCC,LN4 4SY,LN4,LN,TCC-Z00325,53.0983,-0.1778412,,,,
West Midlands,Costcutter,TCC,CV22 7AS,CV22,CV,TCC-Z00546,52.36702,-1.275656,,,,
East Midlands,COSTCUTTER,TCC,NN16 8UZ,NN16,NN,TCC-Z00328,52.40278,-0.7412931,,,,
Yorkshire and the Humber,COSTCUTTER,TCC,HD3 3EA,HD3,HD,TCC-Z00329,53.65548,-1.816338,,,,
South West England,COSTCUTTER,TCC,GL1 3NN,GL1,GL,TCC-Z00330,51.86639,-2.231042,,,,
East of England,COSTCUTTER,TCC,PE30 4ET,PE30,PE,TCC-Z00332,52.75678,0.4469993,,,,
London,COSTCUTTER,TCC,W6 8RF,W6,W,TCC-Z00333,51.48705,-0.219935,,,,
London,COSTCUTTER,TCC,EN2 8JL,EN2,EN,TCC-Z00334,51.66631,-0.1036391,,,,
South West England,COSTCUTTER,TCC,SN14 8PN,SN14,SN,TCC-Z00336,51.44911,-2.275911,,,,
South West England,COSTCUTTER,TCC,DT11 8RH,DT11,DT,TCC-Z00337,50.86829,-2.125101,,,,
South West England,COSTCUTTER,TCC,BH20 6JA,BH20,BH,TCC-Z00338,50.70167,-2.24077,,,,
South West England,COSTCUTTER,TCC,SN14 6BW,SN14,SN,TCC-Z00481,51.52594,-2.123857,,,,
North East England,COSTCUTTER,TCC,NE1 4LP,NE1,NE,TCC-Z00348,54.97856,-1.618449,,,,
South West England,COSTCUTTER,TCC,BA22 8HT,BA22,BA,TCC-Z00479,51.0124,-2.646938,,,,
South West England,COSTCUTTER,TCC,BA22 8JS,BA22,BA,TCC-Z00339,51.01055,-2.682249,,,,
Yorkshire and the Humber,COSTCUTTER,TCC,YO31 8HE,YO31,YO,TCC-Z00340,53.97055,-1.08364,,,,
North East England,COSTCUTTER,TCC,NE1 4LP,NE1,NE,TCC-Z00345,54.97856,-1.618449,,,,
North West England,COSTCUTTER,TCC,CA2 7HY,CA2,CA,TCC-Z00346,54.89574,-2.955295,,,,
East Midlands,COSTCUTTER,TCC,NG7 2UH,NG7,NG,TCC-Z00012,52.94344,-1.1858,,,,
North East England,COSTCUTTER,TCC,TS19 8PE,TS19,TS,TCC-Z00013,54.58293,-1.34676,,,,
East of England,COSTCUTTER,TCC,PE29 6NT,PE29,PE,TCC-Z00015,52.33335,-0.2026787,,,,
South West England,COSTCUTTER,TCC,BS10 5NB,BS10,BS,TCC-Z00016,51.49733,-2.592949,,,,
South East England,COSTCUTTER,TCC,PO6 3LY,PO6,PO,TCC-Z00019,50.85023,-1.069379,,,,
London,COSTCUTTER,TCC,W12 0HS,W12,W,TCC-Z00020,51.51652,-0.2366584,,,,
South East England,COSTCUTTER,TCC,RG24 9NA,RG24,RG,TCC-Z00022,51.28061,-1.109875,,,,
Northern Ireland,COSTCUTTER,TCC,BT92 0JE,BT92,BT,TCC-Z00029,54.25231,-7.442114,,,,
West Midlands,COSTCUTTER,TCC,B5 7AH,B5,B,TCC-Z00031,52.47158,-1.899321,,,,
South East England,COSTCUTTER,TCC,TN25 6QE,TN25,TN,TCC-Z00033,51.12601,0.9711637,,,,
East Midlands,COSTCUTTER,TCC,LE12 5QW,LE12,LE,TCC-Z00037,52.8095,-1.172014,,,,
East of England,COSTCUTTER,TCC,CM15 9JN,CM15,CM,TCC-Z00038,51.6379,0.278587,,,,
West Midlands,COSTCUTTER,TCC,SY13 1AG,SY13,SY,TCC-Z00039,52.96934,-2.679267,,,,
Wales,COSTCUTTER,TCC,SA48 7JR,SA48,SA,TCC-Z00500,52.10458,-4.117546,,,,
East of England,COSTCUTTER,TCC,NR10 5LG,NR10,NR,TCC-Z00040,52.76174,1.341167,,,,
London,COSTCUTTER,TCC,BR7 5NP,BR7,BR,TCC-Z00041,51.40766,0.05571517,,,,
Scotland,COSTCUTTER,TCC,AB42 5EH,AB42,AB,TCC-Z00042,57.52534,-2.000854,,,,
South East England,COSTCUTTER,TCC,GU10 3PY,GU10,GU,TCC-Z00044,51.19632,-0.7898863,,,,
London,COSTCUTTER,TCC,SE4 2EX,SE4,SE,TCC-Z00045,51.46431,-0.03808364,,,,
South West England,COSTCUTTER,TCC,EX39 5QS,EX39,EX,TCC-Z00046,50.96406,-4.376807,,,,
Northern Ireland,COSTCUTTER,TCC,BT4 3FG,BT4,BT,TCC-Z00047,54.59806,-5.864995,,,,
South East England,SIMPLYFRESH,TCC,KT22 0JP,KT22,KT,TCC-Z00049,51.33204,-0.3569615,,,,
Yorkshire and the Humber,COSTCUTTER,TCC,S65 3AD,S65,S,TCC-Z00516,53.41984,-1.322341,,,,
South East England,COSTCUTTER,TCC,ME12 2AG,ME12,ME,TCC-Z00050,51.43753,0.7668248,,,,
South East England,COSTCUTTER,TCC,DA13 0RQ,DA13,DA,TCC-Z00052,51.34124,0.3457729,,,,
